slug,current_description,fb_org_description,fb_org_useful_points,recommendation,proposed_about_text,proposed_movement_intuition,source_confidence,priority
around-the-world,Circle the bag clockwise with the foot before a toe stall.,Circle the footbag in between toe delays. Either in to out or out to in (both worth the same adds).,"circle the bag between two toe delays; either direction, equal ADD",REWRITE-thin-description,A single dexterity that circles the foot completely around the bag between two toe delays. It can go inside-to-outside or outside-to-inside; both carry the same value.,"Keep the bag floating at toe height and pass the foot fully around it in one smooth loop, recatching on the same toe.",high,1
clipper,Body kick into clipper position.,Delay on the inside surface of the foot with the catching leg tucked behind the support leg. Bend the support leg deeply and lean over it for balance.,inside-surface contact; catching leg tucked behind support leg (cross-body); deep support-leg bend; lean over support leg,ENRICH-from-fborg,"A delay caught on the inside surface of the foot with the catching leg tucked behind the support leg, cross-body. It is a foundational stall surface underpinning a large cross-body family; balance comes from the support leg.",Tuck the catching leg behind the support leg so the inside of the foot meets the bag across your body; bend the support leg deeply and lean over it as the bag settles.,high,1
fairy,opposite of pixie direction; acts as +1 set modifier,From a toe delay circle the bag out to in and catch on the toe of the support leg.,from a toe delay; circle out-to-in; catch on support-leg toe,REWRITE-thin-description,"A dexterity that circles the foot around the bag outside-to-inside, recaught on the toe of the support leg. It is the directional mirror of the pixie.","From a toe delay, swing the foot around the bag outside-to-inside and bring it onto the toe of the supporting leg.",high,1
pixie,leg passes under bag opposite direction; acts as +1 set modifier,From a toe delay circle the bag in to out and catch on the toe of the support leg.,from a toe delay; circle in-to-out; catch on support-leg toe,REWRITE-thin-description,"A dexterity that circles the foot around the bag inside-to-outside, recaught on the toe of the support leg. It is the directional mirror of the fairy.","From a toe delay, sweep the foot around the bag inside-to-outside and bring it onto the toe of the supporting leg.",high,1
legover,Leg-over dexterity.,"Pass the support leg over the bag and catch on a delay (e.g. from a left toe stall, hop off the right leg over the bag to a right toe delay).",support leg passes over the top of the bag; hop to clear it; recatch on a toe delay,ENRICH-from-fborg,A foundational dexterity in which the support leg passes up and over the top of the bag before a delay recatch. It is the root of a broad leg-over family.,"From a toe delay, hop off the support leg and lift it up and over the top of the bag, then bring the bag onto a toe delay with the setting foot.",high,1
mirage,"Toe-set dex outside the supporting leg, recaught on the opposite toe (in-to-out dex).","Set straight up and swing the support leg in to out over the bag, catching on a toe delay. From a toe-set the support leg first swings under then back over.",set straight up; support leg swings in-to-out; from a toe set it passes under then back over; clipper-set easier,ENRICH-from-fborg,"A toe-set dexterity in which the support leg swings over the bag inside-to-outside and the bag is recaught on the opposite toe. It is the reverse of the illusion, settable from a toe or (easier) a clipper delay.","Set straight up and swing the support leg inside-to-outside over the bag; from a toe set, the support leg first passes under the bag then back over it.",high,1
osis,Inside-to-outside delay combination.,"Spin into a clipper delay. Set straight in front waist high, turn so the bag passes behind your back, keep eyes on the bag, then turn quickly and catch on the inside surface (clipper).",it is a SPIN into a clipper; set waist-high in front; bag passes behind the back; eyes on bag; quick recatch cross-body,ENRICH-from-fborg (ACCURACY FIX),"A body-spin that finishes in a clipper delay: the set goes straight up in front, and a turn carries the bag behind the back before a cross-body recatch on the inside of the foot. Anchors the osis family.","Set waist-high and straight in front, turn so the bag passes behind your back keeping your eyes on it, then turn quickly to recatch on the inside surface in a clipper delay.",high,1
whirl,Rotational body-spin dex; anchor of the whirl family.,"Set up, then with the support leg circle the bag from the front up and over. Hop off the setting leg and catch on a clipper. Point toes down to go faster and avoid snagging.",support leg circles bag front-up-over (NOT a body spin); hop off setting leg; clipper catch; toes-down tip,ENRICH-from-fborg (ACCURACY FIX),"A dexterity in which the support leg circles the bag from the front, up and over the top, before a clipper recatch. Anchors the whirl family; led by the support leg, not a body spin.","Circle the support leg around the bag from the front, up and over, then hop off the setting leg and catch on a clipper; point the toes down through the circle to move faster and avoid snagging.",high,1
swirl,Reverse-direction rotational dex; anchor of the swirl family.,Cross-body inside around-the-world; the BACK dexterity brings the foot around the bag from behind then up and over the top.,reverse-direction cross-body around-the-world; foot comes around from behind then up and over,ENRICH-from-fborg,"A cross-body dexterity that circles the bag in the reverse direction of a standard around-the-world, on the clipper surface; the foot travels around the bag from behind, then up and over.","From a clipper, circle the foot around the bag starting from behind it, then up and over the top to recatch cross-body.",high,2
drifter,Mirage-modified clipper stall.,"A miraging clipper delay; plant the setting leg, bring the support leg over in-to-out in one motion close to the other leg, into a clipper on the other side. Turn slightly toward the dex.",mirage into a clipper (not toe); legs stay close; turn toward the dexterity to recover cross-body,ENRICH-from-fborg,A mirage motion that resolves into a clipper delay rather than a toe delay; the support leg crosses the bag inside-to-outside in one continuous motion and lands cross-body. Anchors the drifter cluster.,"From a clipper, plant the setting leg and bring the support leg over the bag inside-to-outside in one motion, keeping it close to the other leg; turn slightly toward the dexterity to land cross-body.",high,2
