"cluster_id","cluster_label","symbolic_normalization","member_trick_slugs","ifpa_decomposition_variance","add_range","anchor_topology_group","notes","review_status"
"barfly-double-loop-cohort","Barfly double-infinity cohort","modifier + barfly","barfly, superfly, nemesis, venom, barfry","Modifier compounds preserving the double-loop pattern; nemesis surfaces §3.2 furious-rotational accounting","4-7","barfly-double-loop-topology","Strongest single-base modifier-bridge cohort outside whirl.","observational"
"blurry-pt12-cluster","Blurry transitive-expansion cluster (pt12 Red-blocked)","blurry + X (transitive)","blur, blurry_whirl, blurry_torque, food_processor, blurriest","All pt12-blocked pending Red Q1 transitive-blurry ruling","4-6","(cross-cuts topology)","Five Red-blocked rows; promotion gated by pt12 resolution.","observational"
"circle-on-atw","Leg circle on around_the_world base","modifier + ATW","around_the_world, double_around_the_world","Self-atoms only; pt8 multiplicity exception (datw); direction variant (reverse-atw)","2-3","atw-leg-circle-topology","Triple-ATW and orbit not in IFPA dictionary. Members not in active IFPA dictionary: reverse-around_the_world.","observational"
"drifter-direction-variants","Drifter direction-variant pair","drifter / reverse_drifter","drifter, reverse_drifter, paradox_drifter, smoke, royale","Direction-canonical rule; same kick shape opposite travel","3-4","drifter-miraging-clipper-topology","Anchor row for direction-variant canonical-row pattern.","observational"
"hippy-in-on-mirage","Hippy-in dex on mirage base","modifier + mirage","mirage, smear, blur, atom_smasher, sumo, witchdoctor, paradox_mirage","pixie/atomic+xdex/nuclear+xdex/stepping+paradox; ADD 2-5","2-5","mirage-topology","Mirage's canonical in-to-out hippy-dex preserved across modifier stacks. Members not in active IFPA dictionary: stepping-paradox_mirage.","observational"
"hippy-out-on-illusion","Hippy-out dex on illusion base","modifier + illusion","illusion, smudge, flail","pixie/symposium; ADD 2-3","2-3","illusion-topology","Mirror of hippy-in family; out-to-in directional travel.","observational"
"leg-pass-on-legover","Leg pass on legover base","modifier + legover","legover, eggbeater, pigbeater, scrambled_eggbeater, smog, flurry","atomic/pixie+atomic/atomic+pickup overlap/barraging; ADD 2-4; flurry surfaces §3.2 data-debt","2-4","legover-topology","Eggbeater = atomic-legover canonical per pt4.","observational"
"multiplicity-doubling-trio","Pt8 stabilized multiplicity doubling trio","double X","double_leg_over, double_around_the_world, double_spin","Three community-stabilized doubling exceptions per pt8 §10","2-3","(cross-cuts topology)","Double-spin remains non-pilot; other two are SCALE-9 / SCALE-11 pilots.","observational"
"policy-3-2-trio","§3.2 stated-ADD-without-stated-structure trio","row-asserted (no modifier+base arithmetic)","nemesis, bullwhip","Published §3.2 policy-class exemplars at pilot tier; row-level ADD assertion","5-6","(cross-cuts topology)","CANONICALIZATION_POLICY §3.2 published list.","observational"
"rotational-on-blender","Rotational dex on blender base","modifier + blender","blender, paradox_blender, spender, food_processor","Blender = whirling-osis canonical; modifiers add rotational mass.","4-6","blender-rotational-topology","Food-processor pt12-blocked pending Red transitive-blurry Q.","observational"
"rotational-on-osis","Rotational dex on osis base","modifier + osis","osis, stepping_osis, ducking_osis, ripped_warrior, spinning_osis","stepping/ducking/spinning + osis; ADD 3-5","3-5","osis-rotational-topology","Osis hippy-in-extended preserved across modifier stacks.","observational"
"rotational-on-torque","Rotational dex on torque base","modifier + torque","torque, spinning_torque, atomic_torque, blurry_torque, mobius","Torque = miraging-osis canonical; modifiers add rotational mass.","4-7","torque-rotational-topology","Mobius surfaces the recursive-equivalence pattern: gyro-torque (folk) = spinning ss torque (Sets-tab) = spinning ss miraging op osis (deep).","observational"
"rotational-on-whirl","Rotational dex on whirl base","modifier + whirl","whirl, spinning_whirl, ducking_whirl, paradox_whirl, stepping_whirl, atomic_whirl, hatchet, symposium_whirl, paradox_symposium_whirl","single-modifier 4-ADD / multi-modifier 5-6-ADD; rotational set","3-6","whirl-rotational-topology","All members preserve whirl's rotational arc; modifier stacking produces compound family of 10+ pilot rows. Members not in active IFPA dictionary: spinning-symposium_whirl.","observational"
"scoop-on-pickup","Under-foot scoop on pickup base","modifier + pickup","pickup, paste, legeater, pigbeater, scrambled_eggbeater","pixie/quantum/atomic/illusioning-pending; ADD 2-3","2-3","pickup-topology","Omelette's illusioning modifier is dictionary-flagged data-debt. Members not in active IFPA dictionary: omelette.","observational"
"unusual-surface-cohort","Unusual-surface recovery cohort","(uptime mechanics) + flapper/sole/cloud","ricochet","UNS flag in operational notation; appears to carry implicit +1 ADD in source rulings","3-5","unusual-surface-topology","Three-row cohort; small but stable. Members not in active IFPA dictionary: buttersole, singularity.","observational"
"walking-family-complete","Walking-family complete cohort","stepping/pixie + butterfly (-walk pattern)","ripwalk, sidewalk, bigwalk, dimwalk, parkwalk","5/5 -walk family pilots; closes the butterfly-walking topology","4-5","butterfly-wing-topology","Complete walking-family cohort at pilot after SCALE-11.","observational"
"whirl-direction-variants","Whirl direction-variant pair","whirl / rev_whirl","whirl, rev_whirl","Direction-canonical rule; same kick shape opposite rotational sense","3","whirl-rotational-topology","Second canonical direction-variant pair (after drifter). Members not in active IFPA dictionary: rev-up.","observational"
"wing-on-butterfly","Wing motion on butterfly base","modifier + butterfly","butterfly, ripwalk, sidewalk, dimwalk, bigwalk, parkwalk, phoenix, dada_curve, matador, tripwalk","stepping/pixie/nuclear/quantum/self-atom; ADD 3-5","3-5","butterfly-wing-topology","All members share butterfly wing-motion mechanic + cross-body clipper recovery. IFPA decompositions vary; symbolic topology is identical. Members not in active IFPA dictionary: arcwalk.","observational"
