id,topic,target_glossary_section,opportunity,source_evidence,risk,priority
PG-1,Pixie dual identity (set modifier AND 2-ADD trick),§6 (modifier feel cards) or §7,"CRITICAL: Document the user's 2026-05-19 clarification with 2003-source precedent. Pixie is BOTH a +1 set modifier AND a 2-ADD trick form (TOE > SAME IN [DEX] > OP TOE [DEL]). The pixie segment is the structural primitive used in 21 source compounds",pixieMoves 21 source compounds + user doctrinal clarification,Low,CRITICAL
PG-2,Pixie uptime vs ATW midtime dex distinction,§3 (dex direction) or §4 (timing clock),"Document the uptime-vs-midtime dex distinction with pixie (uptime) and ATW (midtime) as worked examples. Both are 2-ADD tricks with same toe-start; differ in timing of dex execution",pixieMoves Pixie + fundamentalmoves audit ATW formula,Low,High
PG-3,Folk-name lineage for pixie-family (13 folk-name/structural-reading pairs),§5 (family trees) or §7,"Document the strong pixie-family folk-name lineage: Pixie / Terrage / Smudge / Smear / Magellan / Smog / Dimwalk / Parkwalk / Smoke / Backside Symposium Smear / Yoda / Pixie Eclipse / Pixie Swirl",pixieMoves 13 folk-name/structural-reading pairs,Low,High
PG-4,Pixie segment as base form,§7 (operational notation) or §8 (compositional structure),"Document how the pixie segment (TOE > SAME IN [DEX]) serves as the base for 21 compound variations. Useful pedagogical pattern for showing operator-base composition",pixieMoves 21 source compounds (universal segment),Low,High
PG-5,Direction-flipped pixie compounds (Smear vs Smudge),§3 (dex direction),"Document the Smear (pixie + in-dex) vs Smudge (pixie + out-dex) pair as direction-flipped variants. Source description: 'the reverse dexterity version of Smear'",pixieMoves Smear + Smudge,Low,High
PG-6,Same-side vs opposite-side terminal variants,§3 or §7,"Document the Pixie Opposite Clipper (op-clip terminal) vs Pixie Same Clipper (same-clip terminal) pair; Dimwalk (opposite side) vs Parkwalk (same side); etc. Useful pedagogical pattern",pixieMoves 4+ same/opposite variant pairs,Low,Medium
PG-7,Terrage = Double Pixie historical precedent (CRITICAL),§3 or §6 or §7,"Document Terrage's structural identity as 'Double Pixie' with 2003-source precedent. Cross-link to multiplier doctrine audit MR-2d. Source confirms 3-ADD math (pixie + pixie); modern doctrine has drifted to 4 ADD",pixieMoves Terrage,Medium (gated on PXW2-2 Red answer),High
PG-8,Pixie Eclipse jump-land grammar (NEW),§7 (operational notation),"Document Pixie Eclipse as worked example of body-flight notation requiring jump-land timing markers. UNIQUE source-corpus example",pixieMoves Pixie Eclipse,Medium (gated on PXW2-4 Red answer),Medium
PG-9,Symposium + Pixie compound family,§3 or §7,"Document the Symposium Pixie + Backside Symposium Smear compounds as examples of dual-modifier-stack (symposium + pixie + base)",pixieMoves 2 symposium-pixie compounds,Low,Medium
PG-10,Set-primitive lineage (cross-audit with fairy/atomic/quantum),§6 (modifier feel cards) or §7,"Document pixie's role within the set-primitive family (pixie / fairy / atomic / quantum / blurry / nuclear / shooting). The 2003 source pixieMoves is one of several set-primitive catalogs",pixieMoves + cross-audit references to set primitives in multiplier doctrine audit,Low,Medium
