example_name,ifpa_slug,ifpa_exists,ifpa_compact_notation,ifpa_operational_notation,ifpa_adds,fm_adds,fm_compact_notation,fm_operational_notation,agreement_status,discrepancy_type,missing_ifpa_notation,missing_ifpa_formula,curator_action,notes
Inside Delay,inside-stall,yes,INSIDE STALL,[set] > inside,1,1,(none),(none),exact_agreement,none,no,no,none,"Both compact and operational notation present in DB; FM source provides only flags. Aligned"
Outside Delay,outside-stall,yes,OUTSIDE STALL,[set] > outside,1,1,(none),(none),exact_agreement,none,no,no,none,"Same as above"
Toe Delay,toe-stall,yes,TOE STALL,[set] > toe,1,1,(none),(none),exact_agreement,none,no,no,none,"Same as above"
Clipper,clipper-stall,yes,CLIPPER STALL,[set] > clipper,2,2,(none),CLIP [XBD] [DEL],partial_agreement,operational-form-difference,no,no,"verify token-grammar alignment; current DB form '[set] > clipper' is simpler than FM 'CLIP [XBD] [DEL]'; both are defensible; curator picks","DB uses bracketed [set] + token; FM uses unbracketed CLIP + flags. The FM form encodes the cross-body + delay terminal flags explicitly. Worth considering canonical alignment"
Flying Clipper,flying-clipper,yes,(none),(none),2,2,(none),(none),exact_agreement,missing-ifpa-compact,yes,no,"author IFPA compact notation 'FLYING CLIPPER'","FM source describes the move + names Jester alias (already in DB). No operational form in source. DB compact notation blank — opportunity"
Leg Over,legover,yes,LEGOVER,(none),2,2,(none),SET > OP OUT [DEX] > SAME TOE [DEL],partial_agreement,missing-ifpa-operational,yes,no,"author IFPA operational notation from FM source: SET > OP OUT [DEX] > SAME TOE [DEL]","Direct quick-win: FM source provides the authoritative operational notation"
Mirage,mirage,yes,MIRAGE,(none),2,2,(none),SET > OP IN [DEX] > OP TOE [DEL],partial_agreement,missing-ifpa-operational,yes,no,"author IFPA operational notation from FM source: SET > OP IN [DEX] > OP TOE [DEL]","Direct quick-win"
Butterfly,butterfly,yes,BUTTERFLY,(none),3,3,(none),SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],partial_agreement,missing-ifpa-operational-variation,yes,no,"author IFPA operational notation; resolve the 'SAME or OP' alternation","FM source allows both SAME OUT and OP OUT dex; modern IFPA notation does not typically encode alternation. Curator decision: pick canonical OR preserve alternation marker"
Osis,osis,yes,OSIS,(none),3,3,(none),SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],partial_agreement,missing-ifpa-operational-variation,yes,no,"author IFPA operational notation; resolve spin-direction + terminal alternations","Similar alternation question as butterfly. FM source allows back/front spin + same/op terminal"
Paradox Mirage,paradox-mirage,yes,(none),(none),3,3,(none),CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL],partial_agreement,missing-ifpa-compact-+-operational,yes,no,"author both: compact 'PARADOX MIRAGE'; operational from FM","Both columns blank; FM provides authoritative forms"
Symposium Mirage,symposium-mirage,yes,(none),(none),3,3,(none),SET > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],partial_agreement,missing-ifpa-compact-+-operational,yes,no,"author both","Both columns blank"
Paradon,paradon,yes,(none),(none),4,4,(none),TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],partial_agreement,missing-ifpa-compact-+-operational,yes,no,"author both","Both columns blank. Paradon has no chain reading registered; structurally a TOE-set/CLIP-terminal compound with 2 out-dex. FM description references 'double over down' — investigate canonical relationship"
Spinning Osis,spinning-osis,yes,(none),(none),4,4,(none),"CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL] OR TOE > (back) SPIN [BOD] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL]",partial_agreement,missing-ifpa-compact-+-operational-+-dual-form,yes,no,"author compact 'SPINNING OSIS' + operational (pick one variant)","FM provides TWO operational variants (CLIP-start and TOE-start). Curator picks which is canonical or whether to preserve both"
Torque (Stepping Opposite Osis),torque,yes,TORQUE,(none),4,4,Stepping Opposite Osis,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],partial_agreement,missing-ifpa-operational-+-FM-alternate-reading,yes,no,"author IFPA operational notation; document FM-alternate compact reading 'stepping opposite osis' vs modern chain reading 'miraging osis'","FM parenthetical reading is older / structurally explicit; modern chain reading uses 'miraging' operator. Pedagogical divergence worth surfacing in glossary"
Ripwalk (Stepping Opposite Side Butterfly),ripwalk,yes,STEPPING BUTTERFLY,(none),4,4,Stepping Opposite Side Butterfly,CLIP > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],exact_agreement,missing-ifpa-operational,yes,no,"author IFPA operational notation from FM source","FM source compact 'Stepping Opposite Side Butterfly' is the source for modern 'stepping butterfly' (modern preserves the structure but drops 'Opposite Side' qualifier)"
Blur (Stepping Paradox Mirage),blur,yes,STEPPING PARADOX MIRAGE,CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL],4,4,Stepping Paradox Mirage,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],partial_agreement,operational-token-difference,no,no,"reconcile token form: DB uses '>>' step marker + [PDX] AFTER [DEX]; FM uses single '>' + [PDX] BEFORE [DEX]","Two formal differences: (1) DB doubles arrows between dexes ('>>'); FM uses single '>'. (2) DB places [PDX] AFTER [DEX]; FM places [PDX] BEFORE [DEX]. Curator decides token canonicalization"
Mobius (Gyro Torque),mobius,yes,MOBIUS,(none),5,5,Gyro Torque,CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],exact_agreement,missing-ifpa-operational,yes,no,"author IFPA operational notation from FM source","FM compact 'Gyro Torque' matches modern chain reading exactly. FM operational uses uppercase (BACK) — minor stylistic difference"
Paradox Torque,paradox-torque,yes,(none),(none),5,5,(none),CLIP > SAME IN [PDX] [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],partial_agreement,missing-ifpa-compact-+-operational,yes,no,"author both","Both columns blank. Compact would be 'PARADOX TORQUE' (matching slug); operational from FM"
