"symbolic_group_id","display_name","classification_axis","description","representative_examples","confidence_level","source_basis","review_status"
"directional-reverse-pair","Directional-reverse pair (direction-is-structural)","compositional","Two-row canonical equivalence: same kick mechanics, opposite directional travel. Distinct dictionary rows.","drifter/reverse-drifter, whirl/rev-whirl","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"productive-multiplicity-stabilized","Productive-multiplicity stabilized doubling (pt8 §10)","compositional","Community-stabilized 'double X' exceptions earning their own canonical row.","double-leg-over, double-around-the-world, double-spin","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"stated-ADD-without-stated-structure","Stated-ADD-without-stated-structure (§3.2 policy class)","compositional","Rows whose asserted ADD does not reduce to modifier+base arithmetic; row-level reading.","nemesis, jani-walker, bullwhip","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"same-side-execution","Same-side execution (ss qualifier)","positional","Tricks with same-side execution direction; ss=+0 per pt12.","sidewalk, parkwalk, ripstein, dada-curve","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"no-plant-while-symposium","No-plant-while pre-state (symposium)","temporal","Tricks whose execution holds a support-leg-off-ground beat.","alex-zerbe, montage, superfly, matador, mullet","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"rooted-pre-state","Rooted pre-state (held position)","temporal","Tricks executed without support-leg plant; pt8 rooted set.","railwalk (FM), small cohort","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"recursive-set-name","Recursive set-name substructure","compositional","Notation begins with another canonical trick name as the set-source.","Dragonstein (Dragon-prefix), Arcwalk (Frigidosis-prefix)","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"uptime-dex-downtime-butterfly","Uptime dex + downtime butterfly","compositional","Movement archetype: dex flick in uptime, butterfly wing in downtime; common in stepping/pixie compounds.","ripwalk, dimwalk, sidewalk, parkwalk, phoenix","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"uptime-dex-downtime-osis","Uptime dex + downtime osis","compositional","Movement archetype: dex flick in uptime, osis extended arc in downtime.","stepping-osis, ducking-osis, ripped-warrior","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"double-dex-clipper-ending","Double-dex with clipper ending","compositional","Two-dex chain finishing on cross-body clipper.","barrage, barfly, barfry, bubba-beater","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
"spinning-drifter-rotational","Spinning + drifter rotational topology","compositional","Spinning modifier on drifter base; produces miraging-clipper rotational variant.","alex-zerbe, smoke (when spun)","high","CANONICALIZATION_POLICY §3.2 + §10 + memory pt-rulings + SYMBOLIC-GRAMMAR-1 master operator tags","observational"
