"archetype_id","archetype_label","uptime_pattern","midtime_pattern","downtime_pattern","anchor_topology_group","anchor_modifier_groups","member_examples","min_adds","max_adds","educational_value","notes"
"butterfly-wing-topology-anchor","Butterfly wing-motion topology (no modifier)","set-into-wing-arc","(none)","cross-body-clipper","butterfly-wing-topology","(none — base anchor)","butterfly (3-ADD anchor)","3","3","high — foundation for the largest modifier-cohort in the dictionary","Single-row anchor; modifier compounds branch out from here."
"direction-variant-pair-archetype","Direction-variant pair (canonical-row by direction)","(base mechanic, natural direction)","(none)","(natural recovery)","(anchor + reverse pair)","(none)","drifter/reverse-drifter, whirl/rev-whirl","3","3","high — teaches the direction-is-structural canonical-row rule","Two pilot pairs at SCALE-11 establish the pattern."
"double-dex-clipper-ending","Double dex chain → cross-body clipper","set-dex-dex","(none)","clipper-cross-body-recovery","double-dex-topology","(none; double-dex is the primary signal)","barrage, barfly, barfry, bubba-beater","3","5","high — teaches sequential dex coordination + cross-body recovery","Foundational double-dex pattern; precedent for multi-dex chains."
"multiplicity-doubling-archetype","Stabilized multiplicity doubling","(base-mechanic ×2)","(no reset between)","(opposite-side delay)","(cross-cuts topology)","(none — doubling is the primary signal)","double-leg-over, double-around-the-world, double-spin","2","3","medium — teaches the pt8 community-stabilized doubling exception pattern","Three stabilized cases; productive-multiplicity otherwise rejected."
"policy-3-2-row-asserted","§3.2 row-asserted ADD compound","(complex compound)","(modifier-modifier interaction)","(varies)","(cross-cuts topology)","(varies)","nemesis, jani-walker, bullwhip","5","6","high — teaches the row-level ADD assertion pattern when modifier+base arithmetic does not close cleanly","Three published §3.2 exemplars; trio complete at pilot tier."
"recursive-set-name-substructure","Recursive set-name substructure","(named-trick)-prefix","(varies)","(varies)","(cross-cuts topology)","(varies)","Dragonstein, Arcwalk (FM corpus)","4","6","low (educational) — illustrates that named tricks can function as set-sources for compounds; not commonly named in IFPA","Parser-side observational pattern surfaced in SYMBOLIC-GRAMMAR-1; not enforced in IFPA canonical."
"spinning-drifter-rotational","Spinning + drifter rotational topology","spinning-set","spin-body","miraging-clipper-finish","drifter-miraging-clipper-topology","spinning","alex-zerbe, smoke (when spun), reverse-drifter (mirror)","3","5","medium — teaches spinning on a miraging-clipper base; narrower cohort","Drifter's canonical decomposition is miraging-clipper; spinning adds rotational mass."
"uptime-dex-downtime-butterfly","Uptime dex + downtime butterfly wing","set-into-dex","(none or brief)","butterfly-wing-finish","butterfly-wing-topology","stepping|pixie|ducking|atomic|nuclear|quantum","ripwalk, dimwalk, sidewalk, bigwalk, parkwalk, phoenix, dada-curve, matador, tripwalk","3","5","high — common movement shape; teaches wing-motion + step/dex coordination","All members share butterfly downtime finish; modifier varies uptime expression."
"uptime-dex-downtime-osis","Uptime dex + downtime osis arc","set-into-dex","(modifier mid-arc)","osis-extended-arc","osis-rotational-topology","stepping|ducking|spinning","stepping-osis, ducking-osis, ripped-warrior","4","5","high — teaches osis hippy-in extended pattern with body modifier inserted","Stepping-osis and ducking-osis form a clean cohort."
"whirl-rotational-topology-anchor","Whirl rotational topology (no modifier)","set-into-rotational-dex","(rotation)","toe-stall-finish","whirl-rotational-topology","(none — base anchor)","whirl (3-ADD anchor)","3","3","high — foundation for a 10+ row modifier cohort","Single-row anchor; whirl-family compounds are the largest cohort in pilot tier."
"xdex-named-compound","X-Dex named compound (pt1 narrow)","set-into-hippy-in-dex","(none)","X-Dex flick + toe-stall-finish","xdex-topology","atomic|nuclear","atom-smasher, witchdoctor, sumo, merlin","3","6","medium — teaches the X-Dex full-circle dex variant; pt1 narrowed to specific named tricks","FM uses XDEX broadly; IFPA narrows per pt1 ruling. Federation_math_divergence source."
