variable,meaning,input_output_role,encoding_status,evidence,confidence,consequence_if_omitted
carriage_side,which side the bag is being carried on relative to the reference foot,output of DEX1 and input of DEX2,derivable-if-transition-specified,"notation writes SAME/OP as a dex output and on the terminal; the intermediate carriage has no token, so it is recoverable only if a per-dex transition function is assumed",high-that-it-is-in-the-state / medium-that-it-is-recoverable,"composability is undefined: cannot tell whether DEX2 can engage the bag where DEX1 left it"
reference_foot_identity,which foot the SAME/OP frame is measured against,frame for the side coordinate of both dexes,absent-but-required,"the positional-identity doctrine fixes side against a reference foot but never states which foot it is or whether it is invariant across a chain",high,"SAME/OP is uninterpretable across the chain; the second cube's side axis may be re-coordinatized (the product becomes a twisted bundle)"
support_free_leg_parity,which leg is planted (support) and which is free to circle,input requirement of DEX2 (needs a free circling leg),absent-but-required,"a dexterity is defined as one leg circling while the other supports, so a free leg is a precondition; no per-dex leg token exists",high,"cannot tell whether DEX2's circling leg is available; some pairs demand a leg DEX1 left as support"
stance_mode,planted / suspended (no-plant) / airborne support state,input and output; gates leg availability and the receiver relationship,sometimes-encoded,"posture markers appear per step in notation but not on every step (they are sporadic)",medium-high,"cannot distinguish a planted handoff from an airborne one; the set of legal continuations changes with stance"
far_near_receiver,whether the receiving foot is far or near at the handoff,derived relationship; a scoring cross-term,derivable,"the conditional grade fires on a far receiver; far-ness is a function of carriage_side and reference_foot, not an independent variable",high,"grade non-separability becomes invisible; if far-ness also gates well-formedness (unresolved) some pairs silently fail"
bag_vertical_phase,how high the bag is / where in its flight it is,input requirement (bag must be reachable),speculative-for-structure,"no height token exists in the notation; whether height is a structural or a physical variable is itself unsettled",low-as-structural,"if structurally required, some same-side same-carriage pairs still fail; but this may belong to the physical layer, not the grammar"
bag_trajectory,the direction and spin of the bag in flight,input requirement,speculative-for-structure,"no trajectory token exists; likely a physical-layer variable",low-as-structural,"same status as vertical phase: possibly a physical constraint the grammar does not and should not encode"
body_facing_rotational_phase,the body's rotational orientation between dexes,input and output in spinning contexts,sometimes-encoded,"a body spin is a tokenized operator, but continuous rotational phase between dexes is not",medium,"spinning handoffs are under-determined; the phase a spin leaves is not recoverable from the tokens"
cross_body_relationship,whether a contact crosses the body,property of a CONTACT, not of a pure dex-to-dex handoff,explicitly-encoded-but-not-a-handoff-variable,"the cross-body token marks a terminal or a contact; there is no contact between two chained dexes, so it does not describe the handoff",high,"none for the pure dex-to-dex handoff; relevant only if an intermediate contact is inserted"
timing_overlap,whether DEX2 follows DEX1 in sequence or overlaps it,composition-mode selector (not a state variable),sometimes-encoded,"the sequence and layered-step operators are tokenized, but the scoring of the layered case is unresolved in the grammar",high-that-it-is-encoded / unresolved-semantics,"cannot distinguish a sequential from a simultaneous two-dex movement; the scoring of the layered reading is undefined"
terminal_side,the final landing side,output of DEX2 at the endpoint (not a handoff variable),explicitly-encoded,"the terminal token carries surface and side",high,"none: it is the observable endpoint, always recorded"
