token,occurrences,distinct_names,source_systems,examples
railing,0,0,,
flailing,14,14,PB|stanford_corpus,Flailing Blacula ; Flailing Butterfly ; Flailing DOD ; Flailing Dolomite ; Flailing Ducking Butterfly
floating,2,2,stanford_corpus,Floating Butterfly ; Floating Mirage
surfing,0,0,,
splicing,0,0,,
warping,1,1,PB,"Warping Mirage, (uptime) Symp. Illusioning Illusioning Mirage, (uptime) Symp. Eggbeating Mirage"
motion,25,11,PB|fm_inventory|fm_symbolic_grammar|observational_ts|passback_intake|stanford_corpus|tracked_names_ts,"Atomic Ducking Motion ; Barraging far Motion, Nemesis Osis ; Blurry Ducking Motion ; Blurry Motion ; Motion"
os,0,0,,
xbd,21,21,PB|stanford_corpus,Blurry PS Whirling XBD Rake ; Butterfly XBD Rake ; Da Da Curve XBD Rake ; Fairy XBD Rake ; Fairy ss XBD Rake
x-body,2,1,fm_symbolic_grammar|tracked_names_ts,Stepping P.S. Whirling x-body Rake
zulu,52,33,fm_inventory|fm_symbolic_grammar|stanford_corpus|tracked_names_ts,Atomic Zulu Mirage ; Blurry Zulu Blender ; Blurry Zulu Butterfly ; Blurry Zulu Mirage ; Fairy Zulu Butterfly
warp,7,2,PB|fm_inventory|fm_symbolic_grammar|passback_intake|stanford_corpus|tracked_names_ts,Warp ; Warp Speed
nova,7,3,PB|canonical_db|fm_inventory|fm_symbolic_grammar|passback_intake|stanford_corpus,Flailing ss Nova ; Nova ; nova
star,7,2,PB|fm_symbolic_grammar|observational_ts|passback_intake|stanford_corpus|tracked_names_ts,Gyro Shooting Star ; Shooting Star
double,198,114,PB|canonical_db|fborg_insert_staging|fborg_text|fm_inventory|fm_symbolic_grammar|passback_intake|passback_source_links|stanford_corpus|tracked_names_ts,(Atomic Double Over Down) ; (Diving Down Double-Down) ; (Double Pixie) ; (Double Swirl) ; (Fairy Double Legover)
p.s,2,1,fm_symbolic_grammar|tracked_names_ts,Stepping P.S. Whirling x-body Rake
torquescrew,6,2,PB|fm_inventory|fm_symbolic_grammar|passback_intake|tracked_names_ts,"Mobiusscrew, Gyro Torquescrew ; Torquescrew"
bent,0,0,,
