pattern_class,pattern_name,blurrymoves_example,frequency,structural_role,modern_analog,notes
opening,CLIP-anchored,CLIP > ...,18 of 18,initial cross-body clipper anchor,Modern: same convention,Universal opener for blurry compounds
stepping-paradox-signature,blurry-canonical-pattern,> OP IN [DEX] > OP IN [PDX] [DEX] > ...,7 of 18 (Blur Blurrage Fog Blurry Drifter Blurry Whirl Blurry Torque Blurry Symposium Whirl Blurry Whirling Swirl Stepping Ducking Paradox Blender Gauntlet — 10 if counting),structural signature of 'Blurry X = Stepping Paradox X',Modern: Red pt11-locked,"THE structural signature of the blurry-class. First op-in-dex (stepping element); second op-in-dex with [PDX] flag (paradox element)"
stepping-paradox-signature,bedwetter-variant,> OP IN [DEX] > OP OUT [PDX] [DEX] > ...,2 of 18 (Blizzard Bedwetter),first dex in then second dex out with paradox,Modern: same pattern,Direction-flipped variant of the canonical blurry pattern
symposium-blurry,symposium-with-blurry,> (NO PLANT WHILE) OP IN [BOD] [BOD] [DEX] / variations,3 of 18 (Voodoo Symposium Blizzard Symposium Blur),symposium element added to blurry structure,Modern: same pattern with symposium operator,"Notable: Symposium Blizzard + Symposium Blur use [BOD] [DEX] [BOD] or [BOD] [BOD] [DEX] sequences. Multiple [BOD] flags in same dex segment is unusual"
blurry-blender-signature,distinctive-blurry-blender-pattern,> OP IN [DEX] > OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > SAME CLIP [XBD] [DEL],1 of 18 (Food Processor),distinctive blurry-blender structure,"Modern: same pattern; chain reading 'blurry blender' (Red pt15-locked)","Food Processor's signature. Note: [DEX] [BOD] sequence on second dex (vs [DEX] [PDX] in canonical blurry compounds)"
ducking-blurry,ducking-injected-blurry,> OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > ...,2 of 18 (Stepping Ducking Paradox Blender Gauntlet),ducking element injected after first dex,Modern: same pattern,Standard ducking-blurry signature
rake-terminal,unique-x-body-rake-compound,> OP X-BODY RAKE [XBD] [DEL] [DEX],1 of 18 (Stepping P.S. Whirling x-body Rake),unique terminal with rake element,(none in modern ATAM grammar),"UNIQUE TO blurryMoves. First 'rake' appearance in reconciliation source corpus. Modern Sprint 6 rake doctrine: rake = swing > toe = 2 ADD primitive"
alternation,in-out-dex-alternation,OP IN/OUT [DEX],1 of 18 (Symposium Blur),direction-alternation marker on dex,(not standard in modern ATAM),"FIRST appearance of in/out alternation token in any source. Modern grammar resolves to one direction"
swirl-element,op-back-swirl-dex,OP BACK SWIRL [DEX],1 of 18 (Blurry Whirling Swirl),compound swirl token,(NOT standard in modern ATAM),"5th cross-audit occurrence (3 paradoxMoves + 1 gyroMoves + 1 here). Confirms recurring source convention"
terminal,OP-TOE mirage-class,> OP TOE [DEL],7 of 18,opposite-leg toe terminal,Modern: same pattern,"Used for blur/blizzard/blurrage/voodoo/symposium-blizzard/symposium-blur/paradox-blurry-whirl endings"
terminal,OP-CLIP whirl-class,> OP CLIP [XBD] [DEL],4 of 18,opposite-leg clipper terminal,Modern: same pattern,Used for blurry-whirl/blurry-torque/blurry-symposium-whirl/gauntlet endings
terminal,SAME-CLIP drifter-class,> SAME CLIP [XBD] [DEL],4 of 18 (Blurry Drifter Food Processor Blurry Whirling Swirl Stepping Ducking Paradox Blender),same-leg clipper terminal,Modern: same pattern,"Used for drifter/blender-family endings"
terminal,SAME-TOE legover-class,> SAME TOE [DEL],2 of 18 (Fog Bedwetter),same-leg toe terminal (legover shape),Modern: same pattern,Legover-family endings
parenthetical-reading,folk-name-with-structural-reading,"Folk Name (Stepping Paradox X)",11 of 18,both name + structural reading provided,Modern chain registry preserves these,The dominant convention in this source — explicit Red pt11 'Blurry = Stepping Paradox' historical precedent
structural-form-only,blurry-without-parenthetical,Paradox Blurry Whirl / Symposium Blizzard / Symposium Blur / Stepping Ducking Paradox Blender / Stepping P.S. Whirling x-body Rake,5 of 18,structural-form name; no folk-name distinct,"Modern: typically NOT canonicalized","5 structural-form names. Modern doctrine treats these as derivable operator chains rather than canonical rows"
