compound_slug,prerequisite_base_slug,proxy_note
assassin,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
atom-bomb,symposium-mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
atom-smasher,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
barraging-osis,osis,structural prerequisite (learn base first); NOT true PassBack learn-order
bedwetter,eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
big-apple,torque,structural prerequisite (learn base first); NOT true PassBack learn-order
bladerunner,eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
blaze,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
blender,osis,structural prerequisite (learn base first); NOT true PassBack learn-order
bling-blang,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
blizzard,illusion,structural prerequisite (learn base first); NOT true PassBack learn-order
blur,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
blurrage,barrage,structural prerequisite (learn base first); NOT true PassBack learn-order
blurriest,barfly,structural prerequisite (learn base first); NOT true PassBack learn-order
chainsaw-massacre,symposium-eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
colossus,symposium-whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
darkwalk,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
dimwalk,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
dolomite,paradon,structural prerequisite (learn base first); NOT true PassBack learn-order
drifter,clipper-stall,structural prerequisite (learn base first); NOT true PassBack learn-order
eggbeater,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
ego,ducking-whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
flail,illusion,structural prerequisite (learn base first); NOT true PassBack learn-order
flurricane,flurry,structural prerequisite (learn base first); NOT true PassBack learn-order
flurry,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
flux,osis,structural prerequisite (learn base first); NOT true PassBack learn-order
fog,double-leg-over,structural prerequisite (learn base first); NOT true PassBack learn-order
food-processor,blender,structural prerequisite (learn base first); NOT true PassBack learn-order
fury,mirage,structural prerequisite (learn base first); NOT true PassBack learn-order
gangsta-party,paradox-blender,structural prerequisite (learn base first); NOT true PassBack learn-order
gary-coleman,symposium-whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
gauntlet,torque,structural prerequisite (learn base first); NOT true PassBack learn-order
goliath,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
grave-digger,torque,structural prerequisite (learn base first); NOT true PassBack learn-order
hatchet,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
high-plains-drifter,clipper-stall,structural prerequisite (learn base first); NOT true PassBack learn-order
atomic-butterfly,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
legeater,pickup,structural prerequisite (learn base first); NOT true PassBack learn-order
maelstrom,paradox-whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
magellan,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
mantis,eggbeater,structural prerequisite (learn base first); NOT true PassBack learn-order
spinning-torque,torque,structural prerequisite (learn base first); NOT true PassBack learn-order
matador,butterfly,structural prerequisite (learn base first); NOT true PassBack learn-order
merkon,legover,structural prerequisite (learn base first); NOT true PassBack learn-order
mind-bender,blender,structural prerequisite (learn base first); NOT true PassBack learn-order
mobius,torque,structural prerequisite (learn base first); NOT true PassBack learn-order
montage,whirl,structural prerequisite (learn base first); NOT true PassBack learn-order
morpheus,paradox-drifter,structural prerequisite (learn base first); NOT true PassBack learn-order
