"selection_group","canonical_slug","display_name","source","source_adds","add_formula","symbolic_notation_raw","doctrine_status","primary_operator","modifier_chain","recommended_decision","triage_rationale"
"foundational/pedagogical","around-the-world-kick","Around the World Kick","fborg","1","dex(1) --> 1 ADD","","settled","dex","","defer","Mechanically ready but page-readiness unclear — a bare 1-2 ADD kick/folk entry needs a curator call on whether it warrants a public page distinct from existing atoms."
"foundational/pedagogical","inspinning-same-side-illusion","Inspinning Same Side Illusion","fborg","3","inspinning(+1) + ss-illusion(2) --> 3 ADDs","CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL]","settled","inspinning","inspinning","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"foundational/pedagogical","inspinning-same-side-mirage","Inspinning Same Side Mirage","fborg","3","inspinning(+1) + ss-mirage(2) --> 3 ADDs","CLIP > (front) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL]","settled","inspinning","inspinning","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"foundational/pedagogical","paradox-illusion","Paradox Illusion","fborg","3","paradox(+1) + dex(1) + stall(1) --> 3 ADDs","CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL]","settled","paradox","paradox","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"foundational/pedagogical","pixie-leg-over","Pixie Leg Over","fborg","3","pixie(+1) + legover(2) --> 3 ADDs","TOE > SAME IN [DEX] > OP IN/OUT [DEX] > SAME TOE [DEL]","settled","pixie","pixie","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"foundational/pedagogical","symposium-pixie","Symposium Pixie","fborg","3","symposium(+1) + pixie(2) --> 3 ADDs","TOE (plant) > (no plant while) SAME IN [BOD] [DEX] > OP TOE [DEL]","settled","symposium","symposium","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"foundational/pedagogical","tapping-illusion","Tapping Illusion","fborg","3","tapping(+1) + illusion(2) --> 3 ADDs","TOE > OP OUT [DEX] (plant) > SAME OUT [DEX] > OP TOE [DEL]","settled","tapping","tapping","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"foundational/pedagogical","tapping-legover","Tapping Legover","passback","3","tapping(+1) + legover(2) --> 3 ADDs","","settled","tapping","tapping","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"foundational/pedagogical","toe-blizzard","Toe Blizzard","fborg","3","quantum(+1) + illusion(2) --> 3 ADDs","TOE > OP IN [DEX] > OP OUT [DEX] > OP TOE [DEL]","settled","quantum","quantum","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
"topology-critical","atomic-eclipse","Atomic Eclipse","fborg","4","atomic(+1) + eclipse(3) --> 4 ADDs","TOE > OP OUT [DEX] > (JUMP) [BOD] > OP INSIDE [DEL] > OP OUT [DEX] > (LAND)","settled","atomic","atomic","defer","Clean compound, settled doctrine — but lacks the curated description / pedagogical prose live dictionary pages carry. Promote as a reviewed family batch (SCALE-pilot model), not bulk."
