id,topic,target_glossary_section,opportunity,source_evidence,risk,priority
G-1,"ATAM grammar lineage (FM is the ATAM source document)",§7 (operational notation reference),"Add 'Historical origins' subsection noting that fundamentalmoves.txt on footbag.org is the structural-notation source from which modern ATAM grammar §13 descended. 18 fundamental moves catalog with full operational notations is the foundational corpus","FM source uses exactly the same token vocabulary (CLIP TOE OP SAME IN OUT DEX BOD XBD DEL PDX) that modern ATAM grammar §13 uses",Low,High
G-2,"set vs clip vs toe opener conventions",§3 (dex direction) or §7 (operational notation),"Document the 3 opener conventions (SET / CLIP / TOE) and when each is used (CLIP for cross-body atoms; TOE for sole-side anchors; SET for body-class base atoms where leg-anchoring varies)","FM source uses all 3 openers across the 18-move catalog",Low,Medium
G-3,"same/op grammar relator semantics",§3 (dex direction),"Document the same/op leg-anchor convention: relative to previously-referenced leg. Cross-link to Job audit §3 since Job 1995 introduced this convention","FM source uses same/op 28 times across 18 moves; Job 1995 introduced the convention",Low,High
G-4,"in/out dex direction semantics",§3 (dex direction),"Document the in/out dex direction convention and how it distinguishes mirage-family (in) from leg-over-family (out)","FM source uses IN 8 times and OUT 11 times; clearly distinguishes mirage (op in dex) from leg-over (op out dex)",Low,High
G-5,"parenthetical compact readings (FM convention)",§7 (operational notation),"Document FM's use of parenthetical compact readings: 'Torque (Stepping Opposite Osis)', 'Ripwalk (Stepping Opposite Side Butterfly)', 'Blur (Stepping Paradox Mirage)', 'Mobius (Gyro Torque)'. These are pre-modern compact form precedents","FM source provides 4 explicit parenthetical compact readings (4 of 18 moves)",Low,High
G-6,"flag-bracket vocabulary",§7 (operational notation reference),"Document the bracketed flag vocabulary: [DEX] [BOD] [PDX] [XBD] [DEL]. Each flag has a clear structural role. FM source uses them consistently","FM source uses [DEX] 14 times [BOD] 7 times [PDX] 3 times [XBD] 14 times [DEL] 18 times",Low,High
G-7,"alternation markers in formulas",§7 or §8,"Document FM's use of 'SAME or OP' and '(back or front)' alternation markers. Modern doctrine resolves to canonical; FM preserved learner choice","FM source has 3 alternation markers (Butterfly Osis Osis-spin-direction)",Low,Medium
G-8,"foundational vs compound distinction",§5 (family trees) or new §X,"Document how the 18 fundamental moves stratify by ADD count: 1-ADD surfaces (3); 2-ADD atoms + body (4); 3-ADD atoms + compounds (4); 4-ADD compounds (5); 5-ADD compounds (2). Useful pedagogical ladder","FM source organizes by ADD count implicitly",Low,Medium
G-9,"Jester / Flying Clipper alias",§11 (alphabetical reference) or trick page,"Document the Jester ↔ Flying Clipper alias relationship; FM source confirms the alias","FM source: 'This move is also called Jester'",Low,Low
G-10,"FM (back) spin = modern gyro doctrinal question",§3 (dex direction) or §7,"Document the FM/Job back/front-spin axis vs modern full/half-turn axis divergence. Cross-link to Red Wave 2 question RP-6","FM uses (back) SPIN consistently in Mobius / Spinning Osis / Paradox Torque; description references 'spin to the left (counterclockwise)' for Osis",Medium,Medium (gated on Red Wave 2 answer)
G-11,"Paradon's relationship to 'double over down'",§5 (family trees) or trick detail,"Document Paradon's structural framing per FM source: 'Same as double over down except set from one leg and circle with the other.' Provides historical-precedent for the missing double-over-down canonical row","FM source description of Paradon",Low,Medium
G-12,"video demonstration availability noted",(trick detail pages),"FM source notes 'Video demonstration available!' for 5 of 18 moves (Toe Delay, Clipper, Osis, Paradon, Spinning Osis, Torque, Ripwalk, Blur, Mobius). If videos still exist on footbag.org, opportunity for media-linking surface","FM source text",Low,Low
