canonical_name,adds,base_trick,category,aliases,modifier_links,description,review_status,is_active,review_note
toe stall,1,toe stall,surface,toe|toe delay,,Catch and balance the bag on the top of your foot.,expert_reviewed,1,"category set→surface 2026-05-03: stall is a delay surface, not a body-position set"
heel stall,2,heel stall,surface,heel delay,,Catch and balance the bag on your heel.,expert_reviewed,1,"Heel is an unusual surface, so the stall scores 2 ADD: the delay plus the unusual-surface tag (delay + UNS)."
outside stall,1,outside stall,surface,outside delay,,Catch and balance the bag on the outside of your foot.,expert_reviewed,1,"'outside' inline alias removed 2026-05-02 per alias-policy cleanup (Commit 4): conceptual term, not a one-to-one canonical mapping; category set→surface 2026-05-03"
flying inside,1,flying inside,body,,,Inside-leg jumping motion.,expert_reviewed,1,
flying outside,1,flying outside,body,,,Outside-leg jumping motion.,expert_reviewed,1,
hop over,2,hop over,body,,,Jumping leg-over motion.,expert_reviewed,1,
double spin,2,double spin,body,doublespinning kick,,Double rotational body spin.,expert_reviewed,1,
walk over,2,walk over,body,step-over,,Stepping leg-over motion.,expert_reviewed,1,
spyro,1,spyro,body,,,Gyro move where the dexing foot plants before the dex.,expert_reviewed,1,
surging,2,,compound,,,Surging primitive (decomposes informally as spinning + stepping; not modeled as a structural compound, per the review note).,expert_reviewed,1,"Surging Modeling Rule (Red pt5 + memory project_freestyle_state.md): surging is a primitive named compound and is NOT in trick_modifiers. base_trick + modifier_links cleared 2026-05-07 to prevent ADD-math validation from treating it as derivable; spinning+stepping decomposition preserved in description as informal."
sidewalk,4,butterfly,compound,,stepping,Stepping-modified same-side butterfly.,expert_reviewed,1,'same-side' qualifier not in modifiers table; capturing via alias only for now
tombstone,4,drifter,compound,stepping drifter,stepping,Stepping-modified drifter.,expert_reviewed,1,
fury,5,mirage,compound,,furious|paradox,Furious-modified paradox mirage.,expert_reviewed,1,"Red pt6 2026-05-04: Fury = Furious Paradox Mirage. Replaces pt4 paradox+barraging+mirage decomposition; ADD 5 unchanged. Math: furious(2 rot)+paradox(1)+mirage(2)=5."
vortex,4,drifter,compound,gyro drifter,gyro,Gyro-modified drifter.,expert_reviewed,1,
quantum,2,quantum,set,,,"Quantum set: upward double-dex launch. Standalone 2 ADD, parallel to atomic.",expert_reviewed,1,"Per user 2026-05-03: quantum=set, ADD=2, upward double dex, parallel to atomic launch mechanic. Modifier behavior per trick_modifiers.csv. Toe-blur alias removed 2026-05-25 (re-pointed to quantum-mirage per Red pt2 EQUIVALENCE: Toe Blur = Quantum Mirage, not the quantum set). Toe-butterfly alias dropped when quantum was converted to a set-only entry: there is no standalone quantum dictionary trick for it to resolve to."
merkon,3,legover,compound,,spinning,Spinning-modified legover.,expert_reviewed,1,"Red pt4 2026-05-02: 3 ADDs. Red pt5 2026-05-03: merkon = spinning legover; category=compound, base=legover, modifier=spinning."
terrage,4,terrage,,toe barrage|toe near barrage,,"Standalone trick; terrage is its own mechanical family parallel to barrage (e.g. Terraging Leg Over).",expert_reviewed,1,"Red pt4 2026-05-02: 4 ADDs. Red pt5 2026-05-03: terrage is its own category, not dex/compound; few terraging moves exist. Aliases by curator ruling: PassBack's own Terrage row gives its technical name as '(midtime) Toe near Barrage' — the barrage chain launched from a toe set — so the toe-barrage spellings resolve here (rebound from barrage, whose alias provenance never justified that mapping)."
barrage,3,barrage,,,,"Standalone trick distinct from the existing 'barraging' modifier; barrage is its own mechanical family. Barraging Paradox Mirage = Fury; Barraging Leg Over = Flurry.",expert_reviewed,1,"Red pt4 2026-05-02: 3 ADDs. Red pt5 2026-05-03: barrage is its own category, not dex/compound. Furious mentioned as related variant (turns Barrage into a set); pending more definition before adding. The former 'toe near barrage' alias moved to terrage by curator ruling: PassBack's Terrage row asserts that name, and the structure (toe entry, two same-side in-dexes, opposite toe catch) is terrage's, not barrage's."
royale,4,reverse-drifter,compound,paradox grifter,paradox,Paradox-modified reverse drifter.,expert_reviewed,1,"Red pt5 2026-05-03: 4 ADDs, paradox + reverse-drifter; Red also calls it 'Paradox Grifter'. Activated 2026-05-07 after reverse-drifter became canonical in pt6 (prior blocker removed). Math: paradox(+1) + reverse-drifter(3) = 4 ✓"
ripstein,4,,compound,double swirl,,Popular freestyle trick.,expert_reviewed,1,Red pt4 2026-05-02: 4 ADDs (base trick still unspecified)
flail,3,illusion,compound,symposium illusion|flail (ss),symposium,Symposium-modified illusion.,expert_reviewed,1,"Red pt6 2026-05-04: Flail = Symposium Illusion (3 ADD). Activated."
omelette,3,pickup,compound,atomic pickup,atomic,Atomic-modified pickup.,expert_reviewed,1,Red pt6 2026-05-04: Omelette = Illusioning Pickup (3 ADD). New modifier illusioning pending; modifier_links may emit SKIP warning until illusioning is wired.
sumo,5,mirage,compound,nuclear mirage|nuclear far mirage,nuclear,Nuclear-modified mirage; 5 ADD via X-Dex escalation per Red pt9.,expert_reviewed,1,"Red pt14 dex-by-dex: paradox illusion (2) + X-Dex mirage (2) + toe stall (1) = 5. Nuclear = paradox dex + downtime illusioning dex (2); the following far mirage carries the X-Dex (it lives on the second dex), making Sumo a 5 ADD move. Confirms Red pt9 ('Nuclear Mirage = Sumo gets an X dex ADD on the Mirage')."
flying clipper,2,clipper,body,jester,,Jumping body kick into clipper position.,expert_reviewed,1,"James direct adjudication 2026-05-08: TT #20 (nSnp8R-YVqU) + AnzTrikz-confirmed; category=body, base=clipper (preserves family=clipper grouping), ADD=2, alias=jester. Activated."
inside stall,1,inside stall,surface,inside delay,,Catch and balance the bag on the inside of your foot.,expert_reviewed,1,"Per pt1 endorsement of 1-ADD surface delays; TT #3 verified video evidence (MGZWuP7WlQ0)"
clipper stall,2,clipper stall,surface,clipper delay|clipper stall (ss),,"Catch the bag on your foot held across your body, sole turned inward.",expert_reviewed,1,"TT #18 (FEiAC9wfin8) title gives '(2 add)'; 2 ADD departs from 1-ADD pattern of toe/heel/inside/outside stalls. 'clipper delay' alias added 2026-05-08 (James Option 3 clipper migration): captures FB.org-equivalent name; serves as the back-compat anchor for refs that meant the stall before slug 'clipper' was reassigned to the kick. Legacy #clipper references migrated directly: sidecars retagged + records_master canonical_name normalized."
dragonfly kick,2,dragonfly kick,body,dragonfly,,Body kick.,expert_reviewed,1,"James direct adjudication 2026-05-08: TT #21 (FK2PLG-rlQ0) confirms; category=body, ADD=2, alias=dragonfly. Activated."
dada curve,4,,compound,da-da-curve,,Pending dictionary candidate; media-verified.,expert_reviewed,1,"James direct adjudication 2026-05-08: TT #40 (GFUjH3p2l0c) confirms; canonical spelling 'dada curve' (slug 'dada-curve'). ADD=4. Activated. Base/structure deferred (Red did not adjudicate decomposition). Old slug 'da-da-curve' retained as alias for media-tag back-compat."
knee stall,1,knee stall,surface,knee delay,,Catch and balance the bag on your knee.,expert_reviewed,1,"Per Red pt1 endorsement of 1-ADD surface delays; TT #5 verified video evidence (kFxOvEo15Kg)"
sole stall,2,sole stall,surface,sole delay,,Catch and balance the bag on the sole of your raised foot.,expert_reviewed,1,"FB.org-confirmed activation 2026-05-04: 2 ADD (TT #22 7ownDplKWkc 'Sole Stall (2 add)' agrees; TT #10 r-G4qBrQSN0 'Sole' is the intro/concept lesson). Supersedes pending slug 'sole-delay' from footbag.org scrape; bare 'sole' alias intentionally omitted per alias-policy."
cloud stall,2,cloud stall,surface,cloud delay,,Catch and balance the bag on the back of your shin.,expert_reviewed,1,"FB.org-confirmed activation 2026-05-04: 2 ADD (FB.org provides this exception to the universal stall=1 rule). Supersedes pending slug 'cloud-delay' from footbag.org scrape. TT #11 reattributed to cloud-kick 2026-05-08 per James direct adjudication: TT #11 'Cloud' is the kick, NOT the stall."
forehead stall,1,forehead stall,surface,forehead delay,,Balance the bag on your forehead.,expert_reviewed,1,"TT #12 (kUFtmVV38n4 'Forehead Stall'); 1 ADD per universal stall=1 rule (operator-confirmed 2026-05-03). Supersedes pending slug 'forehead-delay' from footbag.org scrape."
neck stall,1,neck stall,surface,neck delay|neck catch,,Balance the bag on the back of your neck.,expert_reviewed,1,"TT #13 (k0JwpNMVmVo 'Neck Catch'); 1 ADD per universal stall=1 rule (operator-confirmed 2026-05-03). Supersedes pending slug 'neck-delay' from footbag.org scrape."
cross-body sole stall,3,cross-body sole stall,surface,flapper delay|flapper stall|cross-body sole delay|flapper,,Catch the bag on the sole of your foot held across your body.,expert_reviewed,1,"FB.org-confirmed activation 2026-05-04: 3 ADD. FB.org alias Flapper Delay attaches here; flapper stall added per Red pt6 2026-05-04. TT #24 (SQLHKL2kdGU Cross-Body Sole (2 add)) is the lesson recording but per FB.org the canonical ADD is 3."
symposium mirage,3,mirage,compound,symposium mirage (ss),symposium,Symposium-modified mirage.,expert_reviewed,1,"FB.org-confirmed activation 2026-05-04: 3 ADD (TT #31 BEOXOHzJx68 'Symposium Mirage Stall (3 add)' agrees; ADD math symposium(+1) + mirage(2) = 3). Slug distinct from existing pending 'paradox-symposium-mirage'."
squeeze,2,,,pincher|pincher squeeze,,Squeeze trick (2 ADD).,expert_reviewed,1,"Red pt7 2026-05-04: 2 ADDs confirmed. Category and base trick remain unspecified; activated on ADD alone."
spin,1,spin,body,spinning kick,,Single rotational body spin.,expert_reviewed,1,"Activated 2026-05-04 per James direction: simple body modifier-style primitive, 1 ADD per spin (parallel spyro). TT #6 sidecar (fF9aC-RtLWU)."
pendulum,2,,,,,Pendulum trick.,expert_reviewed,1,"FB.org-confirmed activation 2026-05-04: 2 ADD (TT #25 -0ew-S_xazc 'Pendulum (2 add)' agrees). Base trick and category remain deferred — activation does not require structural decomposition."
whirling swirl,4,swirl,compound,,whirling,Whirl-modified swirl.,expert_reviewed,1,"James direct adjudication 2026-05-08: TT #41 (BGYrrhG-zag) + Norek 2010 record-confirmed; ADD=4 (whirling +1 + swirl 3 ✓); same trick as TT 'Whirling Swirl Stall' (stall implied). Activated."
bigwalk,5,butterfly,compound,surging butterfly,spinning|stepping,Surging-modified butterfly.,expert_reviewed,1,"Red pt2 2026-04-23: Bigwalk = Surging Butterfly = 5 ADDs (= spinning + stepping + butterfly)."
surge,5,mirage,compound,surging paradox mirage,spinning|stepping|paradox,Surging-modified paradox mirage.,expert_reviewed,1,"Red pt2 2026-04-23: Surge = Surging Paradox Mirage = 5 ADDs (= spinning + stepping + paradox + mirage)."
surreal,6,whirl,compound,surging paradox whirl,spinning|stepping|paradox,Surging-modified paradox whirl.,expert_reviewed,1,"Red pt2 2026-04-23: Surreal = Surging Paradox Whirl = 6 ADDs (= spinning + stepping + paradox + whirl)."
surgery,6,rev-whirl,compound,surging symposium reverse whirl,spinning|stepping|symposium,Surging-modified symposium reverse-whirl.,expert_reviewed,1,"Red pt2 2026-04-23: Surgery = Surging Symposium Reverse Whirl = 6 ADDs (= spinning + stepping + symposium + rev-whirl). base_trick=rev-whirl per direction-is-structural rule."
venom,6,barfly,compound,surging barfly|surging far double down,spinning|stepping,Surging-modified barfly.,expert_reviewed,1,"Red pt2 2026-04-23: Venom = Surging Barfly = 6 ADDs (= spinning + stepping + barfly)."
dyno,4,,compound,dyno (op),,Compound trick.,expert_reviewed,1,"FB.org: 4 ADD; description 'a blender but the dexterity direction is the other way'. base_trick deferred — reverse-blender is not canonical and FB.org alt 'back' is too generic."
paradon,4,,compound,,,Compound trick.,expert_reviewed,1,"FB.org: 4 ADD; references 'double over down' (not canonical). base_trick deferred."
high plains drifter,4,clipper stall,compound,,,Two-dex compound from clipper stall.,expert_reviewed,1,"FB.org: 4 ADD; distinct from paradox-drifter. base_trick rebased clipper→clipper stall 2026-05-08 per James Option 3 clipper migration."
reaper,3,clipper stall,compound,,,Two-dex compound from clipper stall to toe.,expert_reviewed,1,"FB.org: 3 ADD. base_trick rebased clipper→clipper stall 2026-05-08 per James Option 3 clipper migration."
magellan,3,legover,compound,pixie same legover,pixie,Pixie-modified legover.,expert_reviewed,1,"FB.org: 3 ADD; alt 'Pixie Same Legover'."
witchdoctor,4,mirage,compound,,atomic|symposium,Atomic + symposium + mirage.,expert_reviewed,1,"FB.org: 4 ADD; Red pt2 confirmed equivalence. Aliases column cleared 2026-05-26 (S3/S5 governance migration): 'atomic symposium mirage' is a historical equivalent-derivation reading owned by S9 (EQUIVALENCE_TOPOLOGY) with role='historical'; S3 must not duplicate it."
furious,2,furious,set,,,Furious set; a two-dex set carrying +2; the same two-dex pattern as barraging.,expert_reviewed,1,"Red pt6 2026-05-04: Furious is a SET (distinct from Fury the move). Modifier behavior derived from Fury = furious+paradox+mirage = 2+1+2 = 5."
pogo,0,pogo,set,,,A no-plant suspension set; 0 ADD as a standalone set.,expert_reviewed,1,"Standalone pogo set is 0 ADD. As a modifier on a base, pogo contributes +1 (see trick_modifiers.csv), a curator adjudication overriding the earlier Red pt6 0-ADD modifier reading; corroborated by every active pogo compound, footbag.org, and FootbagMoves."
terraging,3,terraging,modifier,,,Body modifier; +3 ADD contribution.,expert_reviewed,1,"Red pt8 2026-05-06: Terraging is 3 ADDs. Red corrects pt6 phrasing — NOT 'parallel barraging'. Activated; trick_modifiers row added."
reverse drifter,3,reverse-drifter,dex,grifter,,Direction-reversed drifter; separate canonical from drifter per direction-is-structural rule.,expert_reviewed,1,"Red pt6 2026-05-04: Reverse drifter is a separate canonical (not a qualifier of drifter)."
refraction,3,refraction,dex,,,"Dexterity, 3 ADD.",expert_reviewed,1,"Red pt6 2026-05-04: Refraction confirmed dex (not compound), 3 ADD."
knee clipper,2,knee-clipper,compound,,,Jump and contact the footbag with the knee tucked behind the jumping leg.,expert_reviewed,1,"Knee Clipper is a flying clipper: a jump-kick contacting the bag cross-body with the knee, the knee-surface sibling of flying-clipper (inside) and toe-clipper (toe). 2 ADD = [BOD] + [XBD]; not a stall."
fog,5,double-leg-over,compound,,stepping|paradox,Stepping-modified paradox double leg over.,expert_reviewed,1,"Red pt6 2026-05-04 MODEL_CHANGE: Fog does NOT contain an eggbeater (Bedwetter does). Decomposition: stepping+paradox+dlo. Math: 1+1+3=5. Overrides earlier 'Blurry-modified eggbeater.' from noise/tricks.csv via UPSERT."
