id,question,doctrinal_area,cross_reference,priority
FRP-1,"Is FM's parenthetical compact reading 'Stepping Opposite Osis' (for Torque) the canonical chain reading, or is modern 'miraging osis' canonical? Both are structurally valid",chain-reading-canonical-choice,"modern: freestyleSymbolicEquivalences.ts; FM: source line 91",High
FRP-2,"Is FM's parenthetical compact reading 'Stepping Opposite Side Butterfly' (for Ripwalk) authoritative, or is modern compressed 'Stepping Butterfly' canonical? FM has the 'Opposite Side' qualifier; modern dropped it",chain-reading-canonical-choice,"modern: freestyleSymbolicEquivalences.ts ripwalk entry; FM: source line 100",Medium
FRP-3,"FM source uses [PDX] BEFORE [DEX] in operational notation (e.g. 'SAME IN [PDX] [DEX]'); modern DB has [DEX] BEFORE [PDX] in some rows. Which flag order is canonical for ATAM grammar §13?",notation-grammar-flag-order,"D-3 in discrepancy queue; ATAM grammar style guide",Medium
FRP-4,"FM source uses single '>' between dex segments; modern DB blur uses '>>' between dexes as a stepping marker. Is '>>' the canonical stepping marker per ATAM grammar §13, or should single '>' be sufficient?",notation-grammar-step-marker,"D-2 in discrepancy queue; matador phoenix tripwalk blur all use '>>'",Medium
FRP-5,"FM uses '(back) SPIN' / '(front) SPIN' axis; modern doctrine distinguishes spinning (full turn 360°) from gyro (half turn 180°). Same distinction expressed differently, or genuinely different? Cross-references Job notation audit RP-6",operator-axis-doctrine,"D-9 in discrepancy queue; FM source Osis Spinning-Osis Mobius Paradox-Torque",High
FRP-6,"For surface stalls (inside-stall outside-stall toe-stall clipper-stall) the FM source uses 'CLIP [XBD] [DEL]' style and the modern DB uses '[set] > clipper' style. Which is canonical for surface-stall operational notation?",surface-stall-operational-form,"D-1 in discrepancy queue; clipper-stall is the load-bearing example",Medium
FRP-7,"FM allows back/front spin alternation for Osis base atom; later compounds (Spinning Osis Mobius Paradox Torque) use (back) only. Should Osis's canonical form preserve the alternation or commit to one direction?",alternation-resolution,"D-4 in discrepancy queue",Low
FRP-8,"FM allows SAME or OP OUT [DEX] alternation for Butterfly base atom. Should Butterfly's canonical form pick one or preserve the alternation marker?",alternation-resolution,"D-6 in discrepancy queue",Low
FRP-9,"FM allows SAME or OP CLIP terminal alternation for Osis. Should Osis's canonical terminal commit to one form?",alternation-resolution,"D-5 in discrepancy queue",Low
FRP-10,"FM provides TWO complete operational forms for Spinning Osis (CLIP-start and TOE-start). Should canonical pick one or preserve both as legitimate variants?",dual-form-resolution,"D-7 in discrepancy queue",Low
FRP-11,"FM source description of Paradon: 'Same as double over down except set from one leg and circle with the other.' Does this confirm 'double over down' as a canonical base trick (independent of plasma)?",canonicalization-of-double-over-down,"FM source line 64; Job audit RP-4 (cross-reference)",Medium
