name,slug,heading,source,sources,parser,doctrine,ledger,ledger_sub,resolves_to,complete_trick,exec_known,decomp_known,add_derivable,actionable,question,owner,disposition
Atomic Ducking Double Legover,atomic-ducking-double-legover,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Butterfly Dragon,butterfly-dragon,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/B,,,Y,Y,Y,Y,Y,identity ruled 2026-07-13; needs the dragon-catch JOB token fixed,James,AUTHOR-CANDIDATE (James sets catch token)
Clipper far triple-dex Butterfly,clipper-far-triple-dex-butterfly,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Clipper set Double Mirage,clipper-set-double-mirage,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Bubba,double-bubba,Needs Authoring,SG,stanford,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Drifter,double-drifter,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Dyno,double-dyno,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,Y,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Guay,double-guay,Needs Authoring,SG,stanford,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Reverse Guay,double-reverse-guay,Needs Authoring,SG,stanford,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Reverse Swirl,double-reverse-swirl,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Spinning Rake,double-spinning-rake,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,Y,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Swirl Dragon,double-swirl-dragon,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/B,,,Y,Y,Y,Y,Y,identity ruled 2026-07-13; needs the dragon-catch JOB token fixed,James,AUTHOR-CANDIDATE (James sets catch token)
Double Torque,double-torque,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Double Twirl,double-twirl,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
double-dex Butterfly,double-dex-butterfly,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
double-dex Illusion,double-dex-illusion,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
double-dex Legover,double-dex-legover,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
double-dex Mirage,double-dex-mirage,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
double-dex Swirl,double-dex-swirl,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
double-dex Torque,double-dex-torque,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
double-dex Whirl,double-dex-whirl,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Hopover Swirl Dragon,hopover-swirl-dragon,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/B,,,Y,Y,Y,Y,Y,identity ruled 2026-07-13; needs the dragon-catch JOB token fixed,James,AUTHOR-CANDIDATE (James sets catch token)
"POD, Pixie Over Down",pod-pixie-over-down,Needs Authoring,PB,passback,ambiguous-terminal-mechanic,policy-dependent,authoring/B,,,Y,Y,Y,Y,Y,identity ruled from footage 2026-07-13; author the notation,James,AUTHOR-CANDIDATE
Reverse Swirl Dragon,reverse-swirl-dragon,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/B,,,Y,Y,Y,Y,Y,identity ruled 2026-07-13; needs the dragon-catch JOB token fixed,James,AUTHOR-CANDIDATE (James sets catch token)
Swirl Dragon,swirl-dragon,Needs Authoring,FM,footbagmoves,unknown-modifier-token,stable,authoring/B,,,Y,Y,Y,Y,Y,identity ruled 2026-07-13; needs the dragon-catch JOB token fixed,James,AUTHOR-CANDIDATE (James sets catch token)
triple-dex Legover,triple-dex-legover,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
triple-dex Mirage,triple-dex-mirage,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
triple-dex Swirl,triple-dex-swirl,Needs Authoring,PB,passback,unknown-modifier-token,stable,authoring/C,rider:double/count-quantifier(FS-26),,Y,N,N,N,Y,how a bare double/triple count scores; drafted disposition routes these to internal cleanup,James+Red (Scoring paper),DOCTRINE (R1 count-quantifier)
Alpine Blurry Whirl,alpine-blurry-whirl,Awaiting Doctrine,PB,passback,compression-ambiguity,blocked,doctrine/C,doctrine:blurry_expansion,,Y,N,N,Y,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry (Stepping Paradox),blurry-stepping-paradox,Awaiting Doctrine,FB,fborg,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,N,the bare blurry operator definition; home is the operator reference,mechanical,NOT-A-TRICK (operator/term)
Blurry Barfly Swirl (Blurriest Swirl),blurry-barfly-swirl-blurriest-swirl,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,,Y,N,N,N,Y,does the blurry form carry the paradox term?,James+Red (Scoring paper),DOCTRINE (R1 blurry predicate)
Blurry Barrage,blurry-barrage,Awaiting Doctrine,FM,footbagmoves,,stable,doctrine/C,doctrine:blurry_expansion,,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate) (duplicate spelling of the resolved twin row)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Barrage (Blurrage),blurry-barrage-blurrage,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:blurrage,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Butterfly (Ripwalk),blurry-butterfly-ripwalk,Awaiting Doctrine,SG,stanford,,stable,doctrine/C,doctrine:blurry_expansion,canon:ripwalk,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
Blurry Butterfly Swirl (Riptide),blurry-butterfly-swirl-riptide,Awaiting Doctrine,SG,stanford,compression-ambiguity,stable,doctrine/C,doctrine:blurry_expansion,alias:riptide->stepping_butterfly_swirl,Y,Y,Y,Y,Y,"is the blurry-form name an alias of the live canonical, or a distinct +PDX variant? (R1 predicate)",James+Red (Scoring paper),LIVE-IDENT + NAME-QUESTION
