candidate_name,candidate_slug,source,external_formula,external_add,proposed_base_trick,proposed_modifiers,reason_safe,notes
Assassin,assassin,footbagmoves,Pixie Ducking Mirage,4,mirage,pixie|ducking|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Blaze,blaze,footbagmoves,Blazing Mirage,4,mirage,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Mantis,mantis,footbagmoves,Gyro Eggbeater,4,eggbeater,spinning|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Nova,nova,footbagmoves,Symposium Double Legover,4,double-leg-over,symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Slapdown,slapdown,footbagmoves,Slapping Butterfly,4,butterfly,quantum|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Swifter,swifter,footbagmoves,Drifter Swirl,4,swirl,stepping|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Tapdown,tapdown,footbagmoves,Tapping Butterfly,4,butterfly,atomic|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Whirlwalk,whirlwalk,footbagmoves,Blazing Paradox Whirl,5,whirl,whirling|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Big Apple,big-apple,footbagmoves,Gyro Symposium Torque,6,mobius,spinning|paradox|symposium|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Colossus,colossus,footbagmoves,Spyro Diving Symposium Whirl,6,whirl,spinning|diving|paradox|symposium,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Fission,fission,footbagmoves,Furious Illusion,6,illusion,barraging|paradox,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Irish Cream,irish-cream,footbagmoves,Neutron Torque,6,mobius,atomic|gyro|tapping,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
Superduperfly,superduperfly,footbagmoves,Spinning Symposium Double Over Down,6,superfly,spinning,multi-source-supported or Slice R canonical-gap; no Wave 2 op,DO NOT add without explicit curator approval
