trick_name,operational_notation,flag_count,source_or_modern_add,doctrine_alignment,notes
Pixie,TOE > SAME IN [DEX] > OP TOE [DEL],2 ([DEX] [DEL]),2,exact_match,"Pixie audit: confirms 2 ADD = 2 flags"
Mirage,SET > OP IN [DEX] > OP TOE [DEL],2 ([DEX] [DEL]),2,exact_match,"FM audit: confirms 2 ADD = 2 flags"
Leg Over,SET > OP OUT [DEX] > SAME TOE [DEL],2 ([DEX] [DEL]),2,exact_match,"FM audit"
Around the World (modern),toe > ss(midtime) in dex > ss toe,2 ([DEX] [DEL] implicit via 'toe' terminal),2,exact_match,"FM + Pixie audits"
Clipper,CLIP [XBD] [DEL],2 ([XBD] [DEL]),2,exact_match,"FM audit"
Butterfly,SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],3 ([DEX] [XBD] [DEL]),3,exact_match,"FM audit"
Osis,SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],3 ([BOD] [XBD] [DEL]),3,exact_match,"FM audit"
Paradox Mirage,CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL],3 ([PDX] [DEX] [DEL]),3,exact_match,"paradoxMoves audit"
Symposium Mirage,SET > (no plant while) OP IN [BOD] [DEX] > OP TOE [DEL],3 ([BOD] [DEX] [DEL]),3,exact_match,"FM audit"
Eggbeater,TOE > OP OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],3 ([DEX] [DEX] [DEL]),3,exact_match,"FM audit"
Smear (Pixie Mirage),TOE > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],3 ([DEX] [DEX] [DEL]),3,exact_match,"pixieMoves audit"
Smudge (Pixie Illusion),TOE > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],3 ([DEX] [DEX] [DEL]),3,exact_match,"pixieMoves audit"
Terrage (Double Pixie source),TOE > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],3 ([DEX] [DEX] [DEL]),3 (source),exact_match-against-source,"pixieMoves audit: source 3 ADD matches flag count = 3. Modern DB terrage at 4 ADD = MISMATCH. Confirms PXW2-2 / SD-2 discrepancy"
Paradon,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],4 ([DEX] [DEX] [XBD] [DEL]),4,exact_match,"FM audit"
Ripwalk,CLIP > OP IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],4 ([DEX] [DEX] [XBD] [DEL]),4,exact_match,"FM + paradoxMoves + blurryMoves audits"
Blur (Stepping Paradox Mirage),CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],4 ([DEX] [PDX] [DEX] [DEL]),4,exact_match,"paradoxMoves + blurryMoves audits"
Pogo Paradox Mirage,CLIP > (no plant while) OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],4 ([DEX] [PDX] [DEX] [DEL]),4 (source),exact_match-against-source,"paradoxMoves audit: source 4 ADD matches flag count. Modern multiplier doctrine pogo(+0)+paradox(+1)+mirage(2)=3 = MISMATCH. RESOLVED: flag count is canonical; modern modifier values are pedagogical approximations"
Mobius (Gyro Torque),CLIP > (BACK) SPIN [BOD] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],5 ([BOD] [DEX] [BOD] [XBD] [DEL]),5,exact_match,"gyroMoves audit"
Vortex (Gyro Drifter),CLIP > (back) SPIN [BOD] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],4 ([BOD] [DEX] [XBD] [DEL]),4,exact_match,"gyroMoves audit"
Big Apple (Gyro Symposium Torque),CLIP > (back) SPIN [BOD] > (no plant while) SAME IN [BOD] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],6 ([BOD] [BOD] [DEX] [BOD] [XBD] [DEL]),6,exact_match,"gyroMoves audit"
Gauntlet (Stepping Ducking Paradox Torque),CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],7 ([DEX] [BOD] [PDX] [DEX] [BOD] [XBD] [DEL]),7,exact_match,"paradoxMoves + blurryMoves audits"
Stepping P.S. Whirling x-body Rake,CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP X-BODY RAKE [XBD] [DEL] [DEX],7 ([DEX] [PDX] [BOD] [DEX] [XBD] [DEL] [DEX]),7,exact_match,"blurryMoves audit; RAKE element historical-precedent for Sprint 6"
