name,base,asserted_side,bucket,detail
Atomic far Blender,atomic-blender,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Atomic far Butterfly,atomic-butterfly,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Atomic Ducking far Torque,atomic-ducking-torque,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Atomic far Eggbeater,atomic-eggbeater,far,A,"well-formed, redundant (qualifier already satisfied) (3 dex+catch; >=2 dexes)"
Barraging far Eggbeater,barraging-eggbeater,far,A,"well-formed, unique target (4 dex+catch; >=2 dexes)"
Barraging far Illusion,barraging-illusion,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Barraging far Legover,barraging-legover,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Barraging far Mirage,barraging-mirage,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Barraging far Osis,barraging-osis,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Barraging far Whirl,barraging-whirl,far,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Butterfly (same side),butterfly,same,A,"well-formed, unique target (1 dex+catch; ambiguous slot)"
Far Double Over Down,double-over-down,far,A,"well-formed, redundant (qualifier already satisfied) (2 dex+catch; >=2 dexes)"
Fairy ss Barrage,fairy-barrage,same,A,"well-formed, redundant (qualifier already satisfied) (3 dex+catch; >=2 dexes)"
Fairy ss Blender,fairy-blender,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Butterfly,fairy-butterfly,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Double Pickup,fairy-double-pickup,same,A,"well-formed, unique target (3 dex+catch; >=2 dexes)"
Fairy ss Drifter,fairy-drifter,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Dyno,fairy-dyno,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Guay,fairy-guay,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy Illusion (same side),fairy-illusion,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy far Illusion,fairy-illusion,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Illusion,fairy-illusion,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy Legover (same side),fairy-legover,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Legover,fairy-legover,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy Mirage (same side),fairy-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy Same Side Mirage,fairy-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy far Mirage,fairy-mirage,far,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
Fairy ss Mirage,fairy-mirage,same,A,"well-formed, unique target (2 dex+catch; >=2 dexes)"
