"trick_name","ifpa_slug","ifpa_adds","symbolic_notation","start_contact","uptime","midtime","downtime","final_contact","notes","observational_status"
"toe stall","toe-stall","1","[set]>op toe","set","","","","op toe","Pure delay surface. No dex; the bag is positioned on a set and recaught on the opposite toe. Foundational primitive; symbolic notation reduces to set + delay only.","observational"
"clipper","clipper","1","[set]>op clip","set","","","","op clip","Body kick into clipper position. Pure delay surface, structurally parallel to toe stall with the clipper foot as the receiving surface.","observational"
"ATW (around the world)","around-the-world","2","[set]>leggy circle>op toe","set","leggy circle","","","op toe","Full leg circle around the bag, recaught on opposite toe. Single sustained leg-pass that traces a complete arc around the rising bag.","observational"
"orbit","(not in dictionary)","(observational)","[set]>same-side leggy circle>same toe","set","same-side leggy circle","","","same toe","NOT in freestyle_tricks. Observational entry only. Community usage suggests a same-side variant of ATW where the leg circle stays on one side of the body (vs ATW's cross-body circle).","observational_only"
"legover","legover","2","[set]>leggy pass>op toe","set","leggy pass","","","op toe","Leg passes over the bag once, recaught on opposite toe. Distinguished from ATW by not completing a full circle around the bag.","observational"
"pickup","pickup","2","[set]>under-foot scoop>op toe","set","under-foot scoop","","","op toe","Bag caught from below via under-foot scoop motion. The set lands low; the trick foot reaches under and lifts the bag to the recovery delay.","observational"
"mirage","mirage","2","[set]>hippy in dex>op toe","set","hippy in dex","","","op toe","Toe-set dex'd outside the supporting leg, recaught on the opposite toe (in-to-out dex). James's canonical symbolic example — the template for all hippy-dex primitives.","observational"
"illusion","illusion","2","[set]>hippy out dex>op toe","set","hippy out dex","","","op toe","Toe-set dex'd from outside back across to the inside, recaught on the opposite toe (out-to-in dex). Mirror of mirage: same hippy-dex mechanic, opposite directional travel.","observational"
"butterfly","butterfly","3","[set]>op out dex>op clip (xbd)","set","op out dex","","","op clip (xbd)","Wing-motion dex with cross-body clipper recovery. The set lands outside; the dex flick sustains the outside arc; the recovery crosses the body to the opposite clipper. Anchor row for the butterfly-walking equivalence family.","observational"
"osis","osis","3","[set]>hippy in osis dex>op toe","set","hippy in osis dex","","","op toe","Inside-to-outside delay combination on the hippy-dex axis. Mechanically distinct from mirage's single-dex pattern: osis carries an extended dex arc that landings on the same trajectory side as the starting hippy motion.","observational"
"whirl","whirl","3","[set]>front spin dex>op toe","set","front spin dex","","","op toe","Rotational body-spin dex; anchor of the whirl family. The body executes a front-direction rotation during the dex moment, the kicking foot tracing through the rotation's arc.","observational"
"swirl","swirl","3","[set]>back spin dex>op toe","set","back spin dex","","","op toe","Reverse-direction rotational dex; anchor of the swirl family. Mirror of whirl: same rotational mechanic, opposite directional travel (back vs front spin).","observational"
