id,topic,target_glossary_section,opportunity,source_evidence,risk,priority
SG-1,Dual identity of 4 set primitives (pixie/fairy/quantum/atomic),§6 (modifier feel cards) or §7,"CRITICAL: Document the 4-primitive dual-identity pattern. Each is BOTH a +1/+2 set modifier AND a 2-ADD canonical trick form. Source-confirmed via 4 set definitions with identical operational shape (TOE + leg-quadrant + IN/OUT [DEX])",footbag-sets source 4 entries + pixieMoves audit + modern DB,Low,CRITICAL
SG-2,Set as 'uptime work' pedagogy,§4 (timing clock) or §6,"Document the 'new school' doctrine: sets are uptime work — extra difficulty performed while the bag is on its way up before the downtime trick. Source provides the foundational pedagogical framing",footbag-sets opening paragraphs (lines 12-18),Low,High
SG-3,'Prefix' tricks doctrine,§7 or §8,"Document sets as PREFIXES (operators) that compose with downtime tricks. The 50+ source set definitions are all prefix-form (ending at > marker without [DEL] terminal)","footbag-sets all 50 entries are prefix-form",Low,High
SG-4,Set primitives 4-quadrant direction matrix,§3 (dex direction) or §6,"Document the direction-quadrant pattern: pixie (same-in) fairy (same-out) quantum (op-in) atomic (op-out). All 4 are TOE-anchored with the dex direction defining the primitive",footbag-sets 4 set primitives + pixie audit user clarification,Low,High
SG-5,Spinning vs Gyro structural distinction (anchor + continuation),§3 or §6,"Document the source-supported distinction: spinning = anchor-agnostic back-spin; gyro = clip-anchored back-spin with same-dex continuation. THIS IS NEW EVIDENCE for the 5-audit Wave 2 question",footbag-sets components section,Medium (gated on Red Wave 2),CRITICAL
SG-6,Inspinning operator family,§3 or §6,"Document inspinning as the front-spin variant. Source explicitly defines inspinning in components section. Cross-references 4-audit inspinning-gap question",footbag-sets components section,Medium (gated on Red Wave 2),High
SG-7,Set primitive folk-name lineage,§5 or §7,"Document the 20+ set folk-name/structural-reading pairs: Atomic (Toe set Illusion); Tapping (Atomic same side); Terraging (Double Pixie); Barraging (High Stepping); Sailing (Pixie Illusion); Blurry (Stepping Paradox); Frantic (pixie-quantum); Flailing (Symposium Reverse Miraging); Shooting (Stepping Paradox Illusion); Furious (Barraging Paradox Miraging); Fairy Spinning; Pixie Inspinning; Sonic (double spinning); Peeking (double spinning); Leaning (stepping inspinning); Go-Go (stepping backspinning); Surging (spinning miraging); Twinspinning (nuclear inspinning); Neutron (Atomic spin); Pogo (Symposium Whirling); Blistering (Whirling Gyro); Finchy (Pinching Fairy); Twisted (Dragon Swirling Paradox); Snapping (Dragon Swirling); Arctic (frigidosis Pixie)",footbag-sets 25+ folk-name pairs,Low,High
SG-8,Set/component distinction,§7 or §8,"Document the source's set/component distinction: components (ducking diving spinning inspinning gyro) compose INTO larger sets. Sets are composite; components are simpler. Useful pedagogical pattern",footbag-sets 'Components of sets but not necessarily sets' section,Low,Medium
SG-9,Antisymposium / rooted doctrine,§3 or §6,"Document the antisymposium framing: rooted means the setting foot stays on the ground (opposite of symposium's no-plant). The zero-ADD pattern emerges from this",footbag-sets antisymposium section,Low,Medium
SG-10,Direction-reversed whirling family (scattered shattered broken),§3 or §6,"Document the source's 'Reverse Whirling' variants. Cross-references rev(+0) doctrine but specifically for whirling family — direction-variant whirling has 3 source-named variants",footbag-sets whirl/swirl section,Medium (gated on Red Wave 2),Medium
SG-11,Pogo as 'Symposium Whirling',§6 or §3,"Document pogo's source structural identity: 'Symposium Whirling' compound. Modern doctrine flattens to +0 modifier; source preserves the structural framing",footbag-sets Pogo entry,Medium (gated on Red Wave 2),Medium
SG-12,UNS (unusual surface) sets historical naming,§7 or §11 (alphabetical),"Document the 5 UNS sets (finchy pixie-pinching twisted snapping arctic) as historical naming examples. PINCH DRAGON FRIGIDOSIS are unusual-surface anchor tokens",footbag-sets UNS section,Low,Low
SG-13,Chris Holden authorship attribution,glossary footer or doc credits,"Document Chris Holden's compilation effort. NOTE: per feedback_no_individual_names_freestyle_views attribution should NOT propagate to public freestyle pages — attribute to 'the 2003 footbag.org sets reference'",footbag-sets header attribution,Low,Low
