"symbolic_group_id","display_name","classification_axis","description","representative_examples","confidence_level","source_basis","review_status"
"butterfly-wing-topology","Butterfly wing topology","topology","Tricks whose execution traces butterfly's outside-wing motion with cross-body clipper recovery.","butterfly, ripwalk, dimwalk, sidewalk, bigwalk, parkwalk, phoenix, dada-curve, matador","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"whirl-rotational-topology","Whirl rotational topology","topology","Tricks whose primary uptime mechanic is a full-body rotational dex on the whirl arc.","whirl, spinning-whirl, ducking-whirl, paradox-whirl, stepping-whirl, atomic-whirl, hatchet","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"swirl-rotational-topology","Swirl rotational topology","topology","Mirror of whirl topology — reverse-direction rotational dex.","swirl, whirling-swirl, paradon-swirl","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"osis-rotational-topology","Osis rotational topology","topology","Tricks whose primary uptime mechanic is the osis hippy-in-dex extended arc.","osis, stepping-osis, ducking-osis, miraging-osis (=torque)","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"torque-rotational-topology","Torque rotational topology","topology","Torque = miraging osis canonical reading; rotational topology variant.","torque, spinning-torque, atomic-torque, blurry-torque, mobius","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"blender-rotational-topology","Blender rotational topology","topology","Blender = whirling osis canonical reading; rotational topology variant.","blender, paradox-blender, spender, food-processor","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"legover-topology","Legover topology","topology","Tricks whose primary uptime mechanic is a single leg-pass over the bag.","legover, eggbeater, pigbeater, scrambled-eggbeater, flurry, smog","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"pickup-topology","Pickup topology","topology","Tricks whose primary uptime mechanic is an under-foot scoop from below.","pickup, paste, legeater, scrambled-eggbeater, omelette","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"mirage-topology","Mirage hippy-in-dex topology","topology","Tricks whose primary uptime dex is mirage's in-to-out hippy motion.","mirage, smear, blur, atom-smasher, sumo, paradox-mirage, stepping-mirage","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"illusion-topology","Illusion hippy-out-dex topology","topology","Tricks whose primary uptime dex is illusion's out-to-in hippy motion (mirror of mirage).","illusion, smudge, flail","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"drifter-miraging-clipper-topology","Drifter (miraging-clipper) topology","topology","Drifter = miraging clipper canonical reading; topology mirror of clipper-stall family.","drifter, reverse-drifter, paradox-drifter, smoke, royale","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"atw-leg-circle-topology","ATW leg-circle topology","topology","Tricks whose primary uptime mechanic is a full-circle leg pass around the bag.","around-the-world, double-around-the-world, reverse-around-the-world","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"barfly-double-loop-topology","Barfly double-loop topology","topology","Two-infinity-loop body pattern (barfly base).","barfly, superfly, nemesis, venom, barfry","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"double-dex-topology","Double-dex topology","topology","Two consecutive dex flicks; no body action between them.","barrage, barfly, barfry, bubba-beater","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
"multi-dex-topology","Multi-dex topology","topology","Three-or-more dex chain; rapid sequential dex sequence.","enterrage, flaming-homer, flurry, flog","high","SYMBOLIC-GRAMMAR-1 topology families + GRAMMAR-GLOSSARY-1 decomposition registry + CORE_TRICK_SYMBOLIC_TABLE","observational"
