subject,source_doctrine,modern_doctrine,agreement_status,discrepancy_type,curator_action,notes
5 ADD categories (del/dex/uns/bod/xbd),"Each is 'one Add (element of difficulty)'. The 5 categories are: DELAY DEXTERITY UNUSUAL SURFACE BODY CROSS BODY",Modern operational notation uses these exact 5 bracketed flag tokens,exact_agreement,none,document,"FOUNDATIONAL DOCTRINE ALIGNED across 23 years. The 5-category taxonomy directly maps to operational notation flag vocabulary"
flag-count-equals-ADD principle,"'Each of these is equal to one Add' — each bracketed flag = 1 ADD; total ADD = total flag count",Modern multiplier doctrine uses modifier-stack math which is pedagogically derived,partial_alignment-different-frames,counting-frame-difference,document,"CRITICAL: Source says flag-count IS the ADD math. Modern multiplier doctrine is a pedagogical representation that should mathematically equal flag count when correctly modeled. When the two diverge the flag count is canonical per this source"
Ducking and Diving distinction,"Ducking = head goes under THEN trick on OTHER side. Diving = head goes under THEN trick on SAME side.",Modern: ducking and diving both +1 body modifiers; distinction not explicit in modifier table,partial_alignment,distinction-not-captured,document,"Modern modifier table treats them as functionally equivalent +1/+1 body modifiers; source's 'other side vs same side' distinction is structural but not preserved in modifier values"
Paradox = body category ADD,"Source: paradox 'adds a level of difficulty in the body category because of the pivot required'",Modern: paradox=+1 body modifier,exact_agreement,none,document,"Source frames paradox as body category — matches modern modifier_type='body'. Resolves paradox-tutorial.txt's '6th category' colloquial framing"
Pixie definition,"Source: 'quick inside-out dexterity directly following a set from a toe stall into another move'",Modern: pixie=+1 set modifier AND 2-ADD canonical trick,exact_agreement-dual-identity,none,document,"Source's 'A pixie toe stall is the simplest form of this type of move' directly supports user's 2026-05-19 dual identity doctrine"
Fairy = reverse-direction pixie,"Source: 'A reverse direction Pixie set is called a Fairy'",Modern: fairy=+1 set modifier AND 2-ADD canonical trick,exact_agreement-dual-identity,none,document,"Source establishes fairy as a direction-variant of pixie. Modern doctrine confirms via 4-primitive direction-quadrant matrix"
Pogo ADD value,"Source: pogo 'is usually worth 2 adds more than its non-pogo namesake' (= +1 dex + +1 body)",Modern: pogo=+0/+0 set modifier (Red pt5-locked),divergent-but-reconcilable,counting-frame-difference,"surface as Red Wave 2 with reconciliation explanation","CRITICAL DOCTRINAL FINDING: Source says pogo adds +2; modern pt5 says +0. Reconciliation via flag-count doctrine: modern pogo=+0 is the modifier-table incremental value (the +2 source-described is already counted via operational notation flags). NOT a true divergence but a counting-frame difference"
Slur = released-bag pogo,"Source: 'when this happens its a Slur which is only worth one add'",Modern: 'slur' NOT in modifier table OR canonical tricks,missing-from-modern-doctrine,missing-concept,"surface as Red Wave 2: should slur be added as a +1 modifier or canonical trick?","NEW CONCEPT: source defines slur as 'failed pogo' (bag not released before dex). Modern dictionary doesn't capture this concept"
Shooting = double-leg-pogo,"Source: shooting is like pogo but set goes under BOTH legs",Modern: shooting=+3/+3 set modifier,partial-alignment-with-magnitude,no-structural-mapping,document,"Source provides structural definition (under both legs); modern doctrine treats it as +3 set modifier without preserving the under-both-legs framing"
Stomping concept,"Source: 'planting both feet at once after setting the footbag then executing the desired move'",Modern: NOT in modifier table,missing-from-modern-doctrine,missing-modifier,"surface as Red Wave 2: should stomping be added as a body modifier?","NEW CONCEPT: source defines stomping as a distinct move element with a worked example (Stomping Double Leg-Over). Modern dictionary doesn't capture this"
Symposium definition,"Source: 'leg performing a dexterity is planted immediately before AND after the dexterity while the other (setting) leg does not touch the ground'",Modern: symposium=+1 body modifier,exact_agreement,none,document,"Source provides PRECISE kinematic definition of symposium. Modern doctrine treats as +1 body modifier — aligned"
Down Diver Down trick,"Source: example trick = 'Down Diver Down' (same as Down Double Down except dive under bag before double dex)",Modern: 'down-diver-down' NOT in DB,missing-canonical-row,missing-canonical,"curator decision: canonicalize down-diver-down?","NEW CANONICAL CANDIDATE: source explicitly names this trick. Cross-references Job audit's 'Double Over Down' question"
