"family_slug","axis","description","sample_members","approx_member_count","source","observational_status"
"spinning-family","modifier","Tricks whose execution carries a spinning rotational modifier (full-body twist around vertical axis). Observational classification by spinning-token presence in notation OR canonical name.","Alex Zerbe, Blender, Blister, Dyno (far)","115 (FM notation corpus)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"paradox-family","modifier","Tricks carrying a paradox modifier (PDX flag in operational notation OR paradox token in canonical name). Inward-then-outward dex pair body mechanic.","Royale, Whisk, Snowflake","4 narrow + many embedded","SYMBOLIC_GRAMMAR_MASTER + token matrix","observational"
"pixie-family","modifier","Tricks carrying a pixie modifier (+1 universal set modifier per modifier table). Compact dex variant.","dimwalk, smoke, phoenix, paste, pigbeater, smear, magellan, parkwalk","9+ (SCALE pilot rows)","SCALE pilot cohort data","observational"
"ducking-family","modifier","Tricks carrying a ducking body modifier (duck body action between dex steps).","Assassin, Cascade, Guillotine, Puck, Wahnsinn","39 (FM corpus) / 8 (SCALE pilot)","SYMBOLIC_GRAMMAR_MASTER topology + SCALE","observational"
"diving-family","modifier","Tricks carrying a diving body modifier (forward-downward dive action).","Hatchet, Red Ribbon, Zulu Le Loup, Arachnophobia","10 (FM corpus)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"symposium-family","modifier","Tricks carrying a symposium modifier (no-plant-while body frame held open across the trick).","matador, mullet, montage, spinal-tap, superfly","9+ (SCALE pilot rows)","SCALE pilot cohort data","observational"
"stepping-family","modifier","Tricks carrying a stepping body modifier (step action interleaved between dexes).","ripwalk, sidewalk, stepping-osis, stepping-whirl, surreal","12+ (SCALE pilot rows)","SCALE pilot cohort data","observational"
"tapping-family","modifier","Tricks carrying a tapping modifier (foot-pattern variant; distinct from stepping per pt3).","tap, spinal-tap, tapping-whirl","3+ (SCALE pilot rows)","SCALE pilot cohort data","observational"
"atomic-family","modifier","Tricks carrying an atomic modifier (set primitive; +1 non-rotational / +2 rotational).","scrambled-eggbeater, atomic-butterfly, atom-smasher, atomic-torque","5+ (SCALE pilot rows)","SCALE pilot cohort data","observational"
"furious-family","modifier","Tricks carrying a furious modifier (set primitive parallel to atomic).","fury, nemesis","2 (SCALE pilot rows)","SCALE pilot cohort data","observational"
"quantum-family","modifier","Tricks carrying a quantum modifier (+1 universal set modifier per pt10).","tripwalk, legeater, plasma","3 (SCALE pilot rows)","SCALE pilot cohort data","observational"
"nuclear-family","modifier","Tricks carrying a nuclear modifier (+2 set modifier; structurally paradox+atomic per pt10).","matador, sumo","2 (SCALE pilot rows)","SCALE pilot cohort data","observational"
"gyro-family","modifier","Tricks carrying a gyro modifier (rotation modifier; body-axial rotation).","mobius, vortex","2 (SCALE pilot rows)","SCALE pilot cohort data","observational"
"whirling-family","modifier","Tricks carrying a whirling modifier (rotation modifier; +1 flat per pt10).","whirling-swirl","1+ (SCALE pilot rows)","SCALE pilot cohort data","observational"
"barraging-family","modifier","Tricks carrying a barraging modifier (+1 universal body modifier).","jani-walker, baroque-cluster (deferred)","1+ pilot; barraging-osis deferred","SCALE pilot + deferred queue","observational"
"xdex-family","topology","Tricks whose component-flag stack contains XDEX (full-circle dex variant). pt1 ruled XDEX narrow (specific tricks only).","Atomsmasher, Witchdoctor, Sumo, Merlin, Voodoo","16 (FM corpus)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"butterfly-walk-family","topology","Tricks whose canonical name contains 'walk' AND whose base or composition reads as a butterfly-wing variant. Crosses the modifier axis (stepping/pixie/blurry all produce -walk variants).","ripwalk, sidewalk, bigwalk, dimwalk, parkwalk, arcwalk, tripwalk","15 (FM corpus); 5 SCALE pilots","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"single-dex-family","topology","Tricks with exactly one DEX flag in their operational notation stack; no body action between set and recovery.","butterfly, drifter, dragster","10 (FM corpus)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"double-dex-family","topology","Tricks with exactly two DEX flags; no body action between dexes.","Barrage, Bubba Beater, Barfly, Barfry","43 (FM corpus)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"multi-dex-family","topology","Tricks with three-or-more DEX flags; no body action (rapid sequential dex chain).","Enterrage, Flaming Homer, Flog, Flurry","81 (FM corpus)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"unusual-surface-family","topology","Tricks whose final contact lands on a non-standard surface (UNS flag in operational notation; flapper / sole / unusual delay).","Buttersole, Ricochet, Singularity","3 (FM corpus)","SYMBOLIC_GRAMMAR_MASTER topology","observational"
"hippy-in-dex","dex-mechanic","Tricks whose primary uptime dex executes inside-to-outside via the hip-driven motion (mirage canonical pattern).","mirage, blur (Stepping Paradox Mirage), atom-smasher, sumo, smear","many (anchor row mirage; modifier compounds inherit)","CORE_TRICK_SYMBOLIC_TABLE + SCALE pilot data","observational"
"hippy-out-dex","dex-mechanic","Tricks whose primary uptime dex executes outside-to-inside via the hip-driven motion (illusion canonical pattern).","illusion, smudge, flail","fewer than hippy-in (illusion family less central)","CORE_TRICK_SYMBOLIC_TABLE + SCALE pilot data","observational"
"leggy-pass","dex-mechanic","Tricks whose uptime mechanic is a leg-pass over the bag without completing a full circle (legover canonical pattern).","legover, eggbeater (atomic-legover), pigbeater, scrambled-eggbeater, flurry","8+ pilot rows","CORE_TRICK_SYMBOLIC_TABLE + SCALE pilot data","observational"
"leggy-circle","dex-mechanic","Tricks whose uptime mechanic is a full leg-circle around the bag (ATW canonical pattern).","ATW, double-around-the-world","2+ pilot rows","CORE_TRICK_SYMBOLIC_TABLE + SCALE pilot data","observational"
"under-foot-scoop","dex-mechanic","Tricks whose uptime mechanic is the under-foot scoop motion (pickup canonical pattern).","pickup, paste, legeater, pigbeater, scrambled-eggbeater","5+ pilot rows","CORE_TRICK_SYMBOLIC_TABLE + SCALE pilot data","observational"
"wing-motion-dex","dex-mechanic","Tricks whose uptime dex follows the butterfly wing-motion pattern (op-out dex with cross-body recovery).","butterfly, ripwalk, sidewalk, bigwalk, dimwalk, parkwalk, dada-curve, matador","15+ (butterfly-walking + butterfly-modifier compounds)","SYMBOLIC_GRAMMAR_MASTER + CORE table","observational"
"toe-start","contact-position","Tricks whose operational notation opens with Toe as the first contact (set on a toe-stall).","Atomsmasher, Assassin, Cascade","172 (FM corpus first-token frequency)","OPERATIONAL_NOTATION_GRAMMAR + master","observational"
