pattern_class,pattern_name,paradoxmoves_example,frequency,structural_role,modern_analog,notes
opening,CLIP-anchored,CLIP > ...,55 of 57,initial cross-body clipper anchor,Modern: same convention,Dominant opening; matches FM source pattern
opening,TOE-anchored,TOE > ...,7 of 57 (alt forms),initial toe-stall anchor,Modern: same convention,Used in alt-form operational variants for spin-class compounds
opening,CLIP-with-explicit-plant,CLIP (plant) > ...,3 of 57 (Paradox Symposium Mirage PS Whirl Whirlwind alt-form),clipper opener with support-leg-plant marker,(NOT in modern grammar),"Notable: source uses '(plant)' marker to disambiguate when support leg explicitly plants. Surface to curator as ATAM grammar §13 question"
paradox-segment,paradox-from-same-leg,SAME IN [PDX] [DEX] / SAME OUT [PDX] [DEX],26 of 57,setting leg does the paradox dex,"Modern: same pattern; [PDX] flag",Dominant paradox shape
paradox-segment,paradox-from-opposite-leg,OP IN [PDX] [DEX] / OP OUT [PDX] [DEX],10 of 57,opposite leg does the paradox dex,"Modern: same pattern","Used when paradox occurs after a stepping or spinning element"
paradox-segment,paradox-after-stepping,> OP IN [DEX] > OP IN [PDX] [DEX],11 of 57 (Blurry-class),"first op-in is stepping; second is paradox","Modern: same pattern","The signature 'Blurry/Stepping Paradox' pattern. Red pt11 confirms blurry = stepping paradox"
paradox-segment,paradox-after-spin,> (back) SPIN [BOD] > OP IN [PDX] [DEX],10 of 57 (Spinning-class),"spin precedes paradox","Modern: same pattern","Spinning Paradox X compounds; cross-references the spinning axis question"
paradox-segment,paradox-after-duck,> DUCK [BOD] > OP IN [PDX] [DEX],4 of 57 (Tomahawk Symposium-Tomahawk Spike-Hammer Gauntlet),"ducking precedes paradox","Modern: same pattern","Ducking Paradox X compounds"
paradox-segment,paradox-then-spin,> SAME IN [PDX] [DEX] > (back) SPIN [BOD],5 of 57 (Paradox Torque Paradox Blender Marius),"paradox precedes spin","Modern: same pattern","Paradox X Torque/Blender compounds"
paradox-segment,paradox-then-no-plant,> SAME IN [PDX] [DEX] > (no plant while) ...,2 of 57 (Paradox Da Da Curve Paratoxic),"paradox precedes symposium element","Modern: same pattern","Paradox Symposium X compounds"
paradox-segment,paradox-with-bod-flag,SAME IN [PDX] [BOD] [DEX] / [BOD] [PDX] [DEX],6 of 57,"paradox dex with body flag attached","Modern: same pattern","Used for symposium-paradox combinations where body action is explicit"
double-paradox-encoded,paradox-then-non-paradox-dex,> SAME IN [PDX] [DEX] > SAME IN [DEX],3 of 57 (Paradox High Plains Drifter Paradox Barrage Pogo Paradox Barrage),"setting leg does TWO dexes one paradox one not","Modern: same pattern","Note: source structures this as 'paradox then barrage element' (Paradox Barrage = paradox + barraging)"
no-plant-element,single-no-plant-dex,> (no plant while) OP IN [DEX] > / similar,15 of 57,"symposium or pogo element via no-plant marker","Modern: SYMP operator (no separate POGO operator on dex)","(no plant while) appears 15+ times; sometimes 'Symposium' in name, sometimes 'Pogo'"
no-plant-element,double-no-plant-pattern,(no plant while) ... > (no plant while) ...,1 of 57 (Pogo Paradox Da Da Curve),"two distinct no-plant elements in same compound","(rare in modern grammar)","Notable structural complexity; surface as Red question"
spin-element,single-back-spin,(back) SPIN [BOD] or (BACK) SPIN [BOD],17+ of 57,"single rotation segment","Modern: (back) SPIN [BOD]","Casing inconsistency: lowercase and uppercase used interchangeably in source"
spin-element,double-back-spin-surrounding-paradox,(back) SPIN ... [PDX] [DEX] > (back) SPIN,2 of 57 (Spinning Paradox Blender Marius),"two back-spins bracket the paradox","Modern: same pattern","Used in Spinning Paradox Blender / Torque structures"
spin-element,front-spin,(front) SPIN [BOD],2 of 57 (Inspinning compounds),"forward-rotation segment","Modern: (front) SPIN [BOD] — 'inspinning' not in modifier table","Cross-references the spinning axis question"
swirl-element,op-back-swirl-dex,OP BACK SWIRL [DEX],3 of 57 (Paradox Whirling Swirl Pogo PWS Blurry PWS),"swirl element treated as dex action","Modern: less common; swirling is +1 body modifier; SWIRL atom is core","Notable: source uses 'OP BACK SWIRL [DEX]' as a single compound token. Surface to curator: is this modern grammar?"
terminal,op-toe-mirage-class,> OP TOE [DEL],22 of 57,"opposite-leg toe-stall terminal","Modern: same pattern","Used for paradox-mirage-class endings"
terminal,op-clip-whirl-class,> OP CLIP [XBD] [DEL],22 of 57,"opposite-leg clipper terminal cross-body","Modern: same pattern","Used for paradox-whirl-class endings"
terminal,same-clip-drifter-class,> SAME CLIP [XBD] [DEL],10 of 57,"same-leg clipper terminal cross-body","Modern: same pattern","Used for paradox-drifter-class endings"
terminal,same-toe-legover-class,> SAME TOE [DEL],3 of 57 (Paradox Double Leg Over Fog Bedwetter),"same-leg toe-stall terminal (legover shape)","Modern: same pattern","Used for paradox-legover compounds"
naming,parenthetical-compact-reading,"Folk Name (Structural Reading)",26 of 57,"both name + reading provided in source",Modern chain registry preserves these,"Used for 26 of 57 moves — paradoxMoves catalog is the primary source for paradox-family chain readings"
naming,structural-form-only,Paradox X / Pogo Paradox X / Spinning Paradox X,31 of 57,"structural-form name; no folk-name distinct from structure","Modern: typically NOT canonicalized","31 moves use structural-form naming; modern dictionary generally treats these as derivable operator chains rather than canonical rows"
