id,wave2_area,footbag_sets_finding,evidence_count,modern_doctrine_state,recommended_action,priority
SW2-1,Spinning vs Gyro axis (RESOLUTION CANDIDATE — 5-audit lead question),"Source distinguishes spinning vs gyro by ANCHOR + CONTINUATION, NOT direction or magnitude. Spinning: SET > (BACK) SPIN [BOD] > (any continuation). Gyro: CLIP > (BACK) SPIN [BOD] > (same dex component)",2 (components section),"Modern doctrine (symbolicModifierEducation.ts:150): 'Spinning = full turn 360°; Gyro = half turn 180°'","Surface as Red Wave 2 LEAD QUESTION: source provides NEW evidence the distinction is structural (anchor + continuation), not magnitude or direction. Reconcile with modern full-vs-half framing","CRITICAL (lead Wave 2 candidate)"
SW2-2,Dual identity of 4 set primitives (CONFIRMATION),"Source defines pixie/fairy/quantum/atomic each as TOE + leg-quadrant-dex set prefix. Modern DB has all 4 as both modifier AND canonical trick row",4 (set primitives section),"User 2026-05-19 doctrine confirmed by source",document strong 4-primitive dual identity pattern,Low (doctrinally settled)
SW2-3,Terraging Double-Pixie tangle (HIGH severity),"Source: 'Terraging (Double Pixie) = TOE > SAME IN [DEX] > SAME IN [DEX] >' implies +2 ADD",1 (terraging),"Modern: terraging=+3 modifier + 3-ADD trick + 4-ADD separate terrage row",surface as Red Wave 2 with combined evidence (this audit + pixieMoves + multiplier doctrine),HIGH
SW2-4,Surging = spinning + MIRAGING (vs Red pt2 spinning + stepping),"Source: 'Surging (spinning miraging) = SET > (BACK/FRONT) SPIN [BOD] > OP IN [DEX] >'",1 (surging),Modern Red pt2: surging = spinning + stepping,"Surface as Red Wave 2: reconcile source's spinning-miraging decomposition with Red pt2's spinning-stepping",Medium
SW2-5,Pogo structural identity (Symposium Whirling),"Source: 'Pogo (Symposium Whirling) = CLIP > (no plant while) OP IN [DEX] >'",1 (pogo),Modern: pogo=+0 set modifier with no structural composition framing,"Surface as Red Wave 2: document pogo's source structural framing",Medium
SW2-6,Inspinning operator gap (5-audit confirmation),Source explicitly defines inspinning as component-of-sets,1 (inspinning component),Modern: NOT in modifier table,"Surface as Red Wave 2: 5-audit cross-cutting question. Should inspinning be added as front-spin variant modifier?",HIGH
SW2-7,Direction-reversed whirling variants,Source defines 'Reverse Whirling' variants: scattered shattered broken,3 source entries,Modern: NOT in DB,"Surface as Red Wave 2: should these be canonicalized per direction-variant doctrine?",Medium
SW2-8,UNS (unusual surface) set primitives,Source defines 5 UNS sets with NEW PINCH/DRAGON/FRIGIDOSIS tokens,5 source entries,Modern: NOT in DB,"Surface as Red Wave 2: should UNS sets be added to modifier table?",Low
SW2-9,Sailing partial dual identity,"Source defines sailing as a SET prefix. Modern: sailing=2 ADD canonical row but NOT in modifier table",1 (sailing),Sailing partial dual identity,"Surface as curator decision: complete sailing's dual identity by adding to modifier table?",Low
SW2-10,Modern compound-operator-as-set patterns,Source has 11+ compound operators (surging twinspinning leaning go-go sonic peeking neutron etc.),11+ source entries,Modern: NOT in modifier table (compounds shouldn't be primitives),"document the compound-vs-primitive distinction; no canonical action needed",Low
SW2-11,Sets as 'uptime work' doctrine,Source provides foundational pedagogical framing: 'new school' = uptime work,1 (opening paragraphs),Modern: documented implicitly via movement-system Set/Uptime axis,"document with strong source precedent",Low (doctrinally settled by source + modern)
SW2-12,Tapping = Atomic same side (with explicit plant marker),"Source: 'Tapping (Atomic same side) = TOE > OP OUT [DEX] (plant) > (same side component)'",1 (tapping),"Modern: tapping=+1 body modifier; not framed as 'Atomic same side'","Surface as curator decision: document tapping's source structural framing",Low
SW2-13,Set component-vs-set distinction,"Source explicitly separates 'sets' from 'components of sets but not necessarily sets'",2 sections (set primitives + components),"Modern: no formal set-vs-component distinction; all in modifier table as same modifier_type",document the source's component-vs-set distinction as pedagogical content,Medium
