question_id,topic,original_framing,current_status,relevant_rulings,impacted,current_interpretation,needs_followup,recommended_action
pt1-atom-smasher,Atom Smasher ADD,Is Atom Smasher 3 or 4 ADD?,resolved,pt1 + pt2 (atomic=+1 / +2 rot per pt10),atom-smasher;x-dex;atomic,Atom Smasher = atomic mirage = 4 ADD (atomic rotational on paradox-mirage),no,canon-only
pt1-eclipse,Eclipse jump scoring,Does hop in Eclipse count as ADD?,resolved,pt1,eclipse,Yes; Eclipse = 3 ADD total,no,canon-only
pt1-body-tricks,1-2 ADD body tricks,Should body tricks be added to dictionary?,resolved,pt1,flying-inside;flying-outside;hop-over;walk-over;double-spin,Yes; all included in current competition,no,canon-only
pt1-4-5-add-selection,High-ADD trick priority,Which high-ADD tricks are most important?,obsolete,pt1 (Red deferred),various,Superseded by per-trick acceptance via Red rulings,no,no-action
pt1-spyro,Spyro body element,What is Spyro's ADD?,resolved,pt1,spyro,Spyro = 1 ADD by itself,no,canon-only
pt1-surging,Surging definition,What is Surging vs Spyro?,resolved,pt1,surging;spyro,Surging = spinning + stepping = 2 ADDs; Spyro is a trick not a concept,no,canon-only
pt1-quantum,Quantum definition,What is Quantum?,resolved,pt1 + pt10,quantum;toe-blur,Quantum = compressed atomic (toe blur lineage); +1 modifier per pt10,no,canon-only
pt1-gyro,Gyro definition,What is Gyro vs Spyro?,resolved,pt1 + pt2 (renamed Inspin),gyro;spyro;vortex,Gyro = spinning where same foot sets and dexes; Vortex = Gyro Drifter,no,canon-only
pt2-spyro-inspin,Spyro renamed,Has Spyro been replaced by Inspin?,resolved,pt2,inspin;spyro,Yes; Inspin is the current name,no,canon-only
pt2-surging-examples,Surging examples,What tricks use Surging?,resolved,pt2,bigwalk;surge;surreal;surgery;venom,5 named Surging compounds with ADDs 5-6,no,canon-only
pt2-pogo,Pogo classification,Is Pogo a modifier or set?,resolved,pt2 + pt6,pogo,Pogo is a set (no ADD bonus),no,canon-only
pt2-toe-blur-quantum,Toe Blur to Quantum,Are Toe Blur etc now called Quantum?,resolved,pt2,quantum;toe-blur;toe-ripwalk;toe-blizzard,Yes; full mapping documented,no,canon-only
pt2-gyro-instances,Gyro-modified tricks,What Gyro-modified instances exist?,resolved,pt2,gyro-butterfly;vortex;spyro-gyro;mobius;flurricane,5 named Gyro compounds documented,no,canon-only
