layer,launch,landing,dex,terminal,symbolic_formula,add,status,failure_class,reason
0-dex stall,(set),toe,none,[DEL],TOE [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),inside,none,[DEL],INSIDE [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),outside,none,[DEL],OUTSIDE [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),knee,none,[DEL],KNEE [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),shoulder,none,[DEL],SHOULDER [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),head,none,[DEL],HEAD [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),forehead,none,[DEL],FOREHEAD [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),neck,none,[DEL],NECK [DEL],1,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),peak,none,[DEL],PEAK [DEL],1,failure,unresolved-notation,peak is unresolved as a landing surface vs a timing marker; the grammar cannot say what contact this is
0-dex stall,(set),clipper,none,[XBD] [DEL],CLIPPER [XBD] [DEL],2,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),heel,none,[UNS] [DEL],HEEL [UNS] [DEL],2,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),sole,none,[UNS] [DEL],SOLE [UNS] [DEL],2,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex stall,(set),cloud,none,[UNS] [DEL],CLOUD [UNS] [DEL],2,clean,,"launch(grade 0) + delay landing(grade 1); ADD = bracket count, determinate"
0-dex body,(set),(none),none,[BOD],SPIN [BOD],1,clean,,"one body generator(grade 1), no bag contact; determinate"
0-dex body,(set),(none),none,[BOD],DUCK [BOD],1,clean,,"one body generator(grade 1), no bag contact; determinate"
0-dex body,(set),(none),none,[BOD],DIVE [BOD],1,clean,,"one body generator(grade 1), no bag contact; determinate"
0-dex body,(set),(none),none,[BOD],FLYING IN [BOD],1,clean,,"one body generator(grade 1), no bag contact; determinate"
0-dex body,(set),(none),none,[BOD],FLYING OUT [BOD],1,clean,,"one body generator(grade 1), no bag contact; determinate"
0-dex kick,(set),sole,none,[KICK],SOLE [KICK],?,failure,internal-contradiction,bare-surface strike scores 1 in the corpus but carries no scored generator; violates ADD = scored-generator count; candidate missing primitive (pogo twin)
0-dex kick,(set),cloud,none,[KICK],CLOUD [KICK],?,failure,internal-contradiction,bare-surface strike scores 1 in the corpus but carries no scored generator; violates ADD = scored-generator count; candidate missing primitive (pogo twin)
0-dex kick,(set),heel,none,[KICK],HEEL [KICK],?,failure,internal-contradiction,bare-surface strike scores 1 in the corpus but carries no scored generator; violates ADD = scored-generator count; candidate missing primitive (pogo twin)
0-dex kick,(set),toe,none,[KICK],TOE [KICK],?,failure,internal-contradiction,bare-surface strike scores 1 in the corpus but carries no scored generator; violates ADD = scored-generator count; candidate missing primitive (pogo twin)
