"curator_decision","curator_notes","canonical_slug","display_name","source","source_file","source_adds","add_formula","add_confidence","symbolic_notation_raw","parsed_symbol_sequence","decomposition_status","doctrine_status","primary_operator","modifier_chain","equivalent_to","source_description","parser_notes","provenance_notes"
"","","around-the-world-kick","Around the World Kick","fborg","fborg-1add.txt","1","dex(1) --> 1 ADD","high","","","atom","settled","dex","","","Circle the footbag in between toe kicks.","1-add kick-only motion; no closing stall in this row. Sibling 2-add Around the World (TOE > SAME IN/OUT [DEX] > SAME TOE [DEL]) is the canonical compound.",""
"","","clipper-kick","Clipper Kick","fborg","fborg-1add.txt","1","cross-body(1) --> 1 ADD","high","CLIP [XBD]","","atom","settled","xbody","","clipper-stall (live DB; with stall finish at 2 ADD)","Kick the footbag with the inside surface of the foot with the kicking leg tucked behind the support leg.","Kick form; no closing stall. Sibling 2-add Clipper (CLIP [XBD] [DEL]) is the canonical compound.",""
"","","double-knee","Double Knee","curator","manual_curator_2026-05-21","1","flying(1) --> 1 ADD","high","double knee","","atom","settled","flying","","","Single flying-body movement; missing from fborg-1add.txt ingest. Added manually as observational intake row.","Per curator adjudication 2026-05-21: flying(1) → 1 ADD; promoted to first-class. Single flying-body movement (not a compound).","manual curator addition 2026-05-21 (not in fborg-1add.txt)"
"","","peak-delay","Peak Delay","fborg","fborg-1add.txt","1","unusual surface(1) --> 1 ADD","high","PEAK [UNS] [DEL]","","atom","settled","unusual-surface","","","Delay the footbag on the peak of your cap/hat. This can be dismounted by a flick of the head or 'pinging' your peak.","Cap-peak surface stall; pt8 ruled = 1 ADD.",""
"","","bubba","Bubba","fborg","fborg-2add.txt","2","dex(1) + stall(1) --> 2 ADDs","high","CLIP > OP OUT [DEX] > OP TOE [DEL]","","atom","settled","dex","","","Clipper set Illusion. 2 adds.","Folk name (Bubba) with explicit Jobs notation in source. Reads as a clipper-set illusion variant.","source explicitly notes parenthetical alt-name: ""Clipper set Illusion"""
"","","ducking-mirage","Ducking Mirage","footbagmoves","footbagmoves-3adds.txt","3","ducking(+1) + mirage(2) --> 3 ADDs","high","","","compound","settled","ducking","ducking","ducking-mirage (live DB)","E.g.,From a right toe set, duck the bag by letting it go over your head from right to left; then immediately do a left leg in-to-out dexterity ending in a right toe delay.
*Ducking implies that the bag goes over the head on the same side from which it was set.","Ducking modifier on mirage base. pt7 ducking semantics: bag goes over head on the same side as the set.","FB.org 3-ADD confirms 'Ducking Mirage' (source_adds=3; jobs_notation_raw='SET > DUCK [BOD] > SAME or OP IN [DEX] > OP TOE [DEL]'; component_flags='[bod] [dex] [del]'); ingested 2026-05-21."
"","","inspinning-same-side-illusion","Inspinning Same Side Illusion","fborg","fborg-3add.txt","3","inspinning(+1) + ss-illusion(2) --> 3 ADDs","high","CLIP > (front) SPIN [BOD] > OP OUT [DEX] > OP TOE [DEL]","","compound","settled","inspinning","inspinning","","","pt3+pt7 inspinning is distinct from spinning (opposite spin direction). Alt notation: TOE > (front) SPIN [BOD] > SAME OUT [DEX] > OP TOE [DEL].",""
"","","inspinning-same-side-mirage","Inspinning Same Side Mirage","fborg","fborg-3add.txt","3","inspinning(+1) + ss-mirage(2) --> 3 ADDs","high","CLIP > (front) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL]","","compound","settled","inspinning","inspinning","","","pt3+pt7 inspinning. Alt notation: TOE > (front) SPIN [BOD] > SAME IN [DEX] > OP TOE [DEL].",""
"","","paradox-illusion","Paradox Illusion","fborg","fborg-3add.txt","3","paradox(+1) + dex(1) + stall(1) --> 3 ADDs","high","CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL]","","compound","settled","paradox","paradox","","A Paradox Revese Mirage. From a clipper set, set the bag about waist high. Turn toward the bag and complete an out to in dexterity with the setting foot. Complete the move by catching the bag on your opposite toe.","Paradox operator on illusion base. Source notation has typo ""[PDX[DEX]"" (missing closing bracket); intended ""[PDX] [DEX]"".",""
"","","pixie-leg-over","Pixie Leg Over","fborg","fborg-3add.txt","3","pixie(+1) + legover(2) --> 3 ADDs","high","TOE > SAME IN [DEX] > OP IN/OUT [DEX] > SAME TOE [DEL]","","compound","settled","pixie","pixie","","An around-the-world set (pixie) to the opposite leg-over. E.g., from a right toe set, quickly circle the footbag from in to out with your right foot; hop off the left leg passing this leg over the top of the bag and landing a left toe delay.","Pixie modifier on legover base.",""
