id,wave2_area,blurrymoves_finding,evidence_count,modern_doctrine_state,recommended_action,priority
BW2-1,Red pt11 blurry-equivalence cross-validation,blurryMoves source has 11 explicit 'Blurry X (Stepping Paradox X)' folk-name/structural-reading pairs,11 of 18,Red pt11 doctrine: 'Blurry = Stepping Paradox' (modern Red-confirmed),"document the SECOND source-corpus confirmation. Combined with paradoxMoves: ~22+ source folk-name/structural-reading pairs confirm Red pt11",Low (doctrinally settled),
BW2-2,Red pt15 Food Processor confirmation,Source provides 'Blurry Blender' parenthetical reading for Food Processor,1 (Food Processor),"Red pt15: Food Processor = Blurry Blender = Stepping Paradox Blender (Red 2026-05-15)","document source provides 'Blurry Blender' as the canonical alternate reading captured in modern registry",Low (doctrinally settled),
BW2-3,Rake element historical precedent (NEW),CRITICAL: Source's 'OP X-BODY RAKE [XBD] [DEL] [DEX]' single-token construct is the first 2003-era 'rake' precedent in any reconciliation source,1 (Stepping P.S. Whirling x-body Rake),"Modern: Sprint 6 (2026-05-19) introduced rake = swing > toe = 2 ADD primitive (curator-locked direction-variant pair with pendulum)","Surface as Red Wave 2: does the 2003 'x-body rake' element refer to the same primitive as Sprint 6's 2-ADD rake? If yes the source provides 23-year historical-precedent for the doctrine",HIGH
BW2-4,Symposium Blizzard / Symposium Blur canonicalization,Source provides 2 NEW 'Symposium X' compounds not in paradoxMoves,2,Modern: NOT in DB,"surface as Red Wave 2: should these be canonicalized given Symposium-Blizzard / Symposium-Blur are structurally derivable (symposium(+1) + base(4) = 5 ADD)?",Medium
BW2-5,OP IN/OUT alternation token,Source uses 'OP IN/OUT [DEX]' alternation marker (FIRST appearance in any source operational form),1 (Symposium Blur),Modern ATAM grammar §13 does not standardize alternation tokens in operational notation,"surface as ATAM grammar question: should alternation tokens be valid? Cross-references FM source 'SAME or OP' alternations (3 occurrences)",Medium
BW2-6,Paradox-without-PDX-flag pattern persistence,4 of 18 blurry compounds use paradox in name but lack [PDX] flag (consistent rate with paradoxMoves's 11 of 57),4 (Paradox Blurry Whirl Symposium Blizzard Symposium Blur Stepping Ducking Paradox Blender),Modern: convention unclear,"reinforces paradoxMoves PD-7 question; surface as ATAM grammar specification need",Medium
BW2-7,Operational token grammar (>> step marker + flag order),Same divergence pattern as paradoxMoves blur entry: DB has '>>' + [DEX] [PDX]; source has '>' + [PDX] [DEX],10+ source compounds use the consistent source form,"FM FRP-3 + FRP-4 + Paradox PD-4 surfaced this","2-source confirmation; surface for consolidated Red Wave 2 answer",Medium
BW2-8,Spinning-vs-gyro axis (cross-cutting lead question),4 source compounds use (back) SPIN [BOD],4 (Food Processor Blurry Torque Gauntlet Stepping Ducking Paradox Blender),"Gyro audit lead Wave 2 question GW2-1: source uses identical operational token for spinning AND gyro","cross-reference Gyro GW2-1 + Paradox W2-15 + Job RP-6 + FM FRP-5",HIGH (already lead Wave 2 question)
BW2-9,Symposium-with-multiple-[BOD]-flags structure,Source's Symposium Blizzard + Symposium Blur use [BOD] [DEX] [BOD] or [BOD] [BOD] [DEX] sequences,2 (Symposium Blizzard Symposium Blur),Modern: unclear if multiple [BOD] flags allowed in single dex segment,"surface as ATAM grammar question",Low-Medium
BW2-10,Complex operational forms (Stepping P.S. Whirling x-body Rake),Source has most operationally-complex compound in reconciliation corpus (multi-token terminal),1 (Stepping P.S. Whirling x-body Rake),Modern ATAM grammar undefined for this complexity,"surface as ATAM grammar question",Medium
