token,display_name,category,add_value,accounting_role,visible_in_shorthand,hidden_inside_atoms,wave2_sensitive,educational_priority,notes
toe-stall,Toe Stall,atom,1,inherited-accounting,true,false,false,foundational,"Single-component atom; render layers may suppress trivial single-line derivation"
clipper-stall,Clipper Stall,atom,1,inherited-accounting,true,false,false,foundational,"Bare ""clipper"" = clipper-stall atom (displaySlug='clipper'); +1 stall inherited"
around-the-world,Around the World,atom,2,inherited-accounting,true,false,false,foundational,"Internal: xbody(+1) + stall(+1); ATW = canonical 2-component atom"
orbit,Orbit,atom,,inherited-accounting,true,false,true,unresolved,"ADD components TBD per concept doc Open Q1; curator confirmation pending"
legover,Legover,atom,2,inherited-accounting,true,false,false,foundational,"Internal: xbody(+1) + stall(+1); leg-over body crossing"
pickup,Pickup,atom,1,inherited-accounting,true,false,false,foundational,"Surface-variant atom; stall(+1) inherited"
mirage,Mirage,atom,2,inherited-accounting,true,false,false,foundational,"Internal: dex(+1) + stall(+1)"
illusion,Illusion,atom,3,inherited-accounting,true,false,false,foundational,"Internal: dex(+1) + spin(+1) + stall(+1)"
butterfly,Butterfly,atom,3,inherited-accounting,true,false,false,foundational,"Internal: dex(+1) + xbody(+1) + stall(+1); component order distinct from whirl per mechanical difference"
osis,Osis,atom,3,inherited-accounting,true,false,false,foundational,"Internal: mirage-dex(+1) + xbody(+1) + stall(+1); mirage-dex is one compound component"
whirl,Whirl,atom,3,inherited-accounting,true,false,false,foundational,"Internal: xbody(+1) + dex(+1) + stall(+1); component order distinct from butterfly"
swirl,Swirl,atom,3,inherited-accounting,true,false,false,foundational,"Internal: xbody(+1) + dex(+1) + stall(+1); component-order semantics distinct from whirl"
torque,Torque,compound-atom,4,inherited-accounting,true,true,false,advanced,"Compression-chain compound; internal: mirage-dex(+1) + xbody(+1) + stall(+1) + spin(+1); not in 12-atom registry but visible in canonical names"
mobius,Mobius,compound-atom,5,inherited-accounting,true,true,false,advanced,"≈ Gyro Torque per pre-Red ruling; internal: spin(+1) + mirage-dex(+1) + xbody(+1) + stall(+1) + spin(+1)"
baroque,Baroque,compound-unresolved,,inherited-accounting,true,true,true,unresolved,"≈ Barraging Osis per pre-Red (5 ADD editorial); barraging internals doctrine-unresolved; suppress derivation panel per Decision 2"
paradox,Paradox,compound-unresolved,,inherited-accounting,true,true,true,unresolved,"Editorial asserted_adds varies by compound; paradox internals doctrine-unresolved; suppress derivation panel"
symposium,Symposium,compound-unresolved,,inherited-accounting,true,true,true,unresolved,"Symposium internals doctrine-unresolved; suppress derivation panel; treat as terminal compound externally"
atomsmasher,Atom Smasher,compound-unresolved,,inherited-accounting,true,true,true,unresolved,"Carries X-dex like paradox from a toe per pre-Red ruling; internals unresolved"
stall,Stall,component,1,add-bearing,partial,true,false,foundational,"Default inherited from atom; rarely written separately in canonical names; appears in derivation breakdowns as the trick-terminator component"
dex,Dex,component,1,add-bearing,partial,true,false,foundational,"The ""extra dexterity"" unit; visible in some compounds (e.g. dex-pixie family); hidden inside mirage/illusion/butterfly/whirl/swirl"
xbody,Cross-body,component,1,add-bearing,rare,true,false,foundational,"Body crossing; the operator-board glyph was renamed from XDEX to XBODY 2026-05-18; conceptually distinct from dex (body motion vs ankle dexterity)"
spin,Spin,component,1,add-bearing,partial,true,false,foundational,"Body spin; visible when introduced as gyro/turn modifier; hidden inside illusion + torque + mobius"
set,Set,component,0,add-bearing,partial,true,false,foundational,"Implicit move-initiation primitive; baseline +0; carries +1 when modified by stepping/pixie/atomic/fairy/nuclear; in derivation breakdowns appears as ""set(+1)"" when modified"
mirage-dex,Mirage-Dex,component,1,add-bearing,rare,true,false,foundational,"Compound dex unit; ONE component not two; hidden inside osis/torque/mobius; granularity decision per concept doc Open Q3"
stepping,Stepping,operator,1,add-bearing,true,false,false,common,"Walking-family modifier; in derivation breakdowns manifests as set(+1); Red ruling: Blurry Whirl = Stepping Paradox Whirl = 5"
pixie,Pixie,operator,1,add-bearing,true,false,false,common,"Pixie set primitive; in breakdown manifests as set(+1); pixie family includes ducking/sailing variants"
atomic,Atomic,operator,1,add-bearing,true,false,false,common,"Atomic set primitive; in breakdown manifests as set(+1)"
fairy,Fairy,operator,1,add-bearing,true,false,true,common,"Legit operator vocab per Red ruling; manifests as set(+1) baseline; weighting in compound contexts Wave-2 sensitive (concept doc forbids hardcoding)"
gyro,Gyro,operator,1,add-bearing,true,false,false,common,"Spin variant; in breakdown manifests as spin(+1); explicit body-rotation marker"
ducking,Ducking,operator,1,add-bearing,true,false,true,edge-case,"External +1 modifier value established; internal mechanism doctrine-unresolved; in resolved compounds treat as +1; suppress derivation panel if compound is doctrine-blocked"
nuclear,Nuclear,operator,1,add-bearing,true,false,false,common,"+1 modifier; walking-family-progression confirmed; manifests as set(+1)"
miraging,Miraging,operator,1,add-bearing,true,false,false,common,"Gerundive form of mirage modifier; in derivation breakdowns manifests as mirage-dex(+1); visible in dada-curve family"
blurry,Blurry,operator,1,add-bearing,true,false,true,unresolved,"Red ruling: Blurry Whirl = Stepping Paradox Whirl = 5; treat as alias-equivalent to stepping in unresolved compounds; do not render internal decomposition without curator review"
blender,Blender,operator,,add-bearing,true,false,true,unresolved,"Family-dual membership (torque/blender per Slice M); ADD weighting Wave-2 sensitive; suppress derivation in blender-family compounds until curator confirms"
drifter,Drifter,operator,1,add-bearing,true,false,false,common,"Confirmed +1 modifier; FAIRY DRIFTER target shipped on operator board 2026-05-18; manifests as set(+1) or xbody(+1) depending on compound context (curator confirmation needed)"
whirling,Whirling,operator,1,add-bearing,true,false,false,common,"Gerundive form of whirl modifier; rare in canonical names; in breakdown manifests as whirl(+3) when used as base reference"
sailing,Sailing,operator-alias,,add-bearing,true,false,false,edge-case,"Per legacy move sets: Sailing = Pixie Illusion; treat as alias; no direct ADD value; render via pixie + illusion composition when expanded"
terraging,Terraging,operator-alias,,add-bearing,true,false,false,edge-case,"Per legacy move sets: Terraging = Double Pixie; treat as alias; render via 2× pixie when expanded"
barraging,Barraging,operator-alias,,add-bearing,true,false,true,unresolved,"Per legacy move sets: Barraging = High Stepping; barraging compound internals (e.g. Barraging Osis = Baroque) Wave-2 sensitive; suppress derivation"
toe,Toe (surface),surface,0,inherited-accounting,true,false,false,foundational,"Surface tag; stall reading default per op-notation convention; ""toe kick"" disambiguates kick verb"
sole,Sole (surface),surface,0,inherited-accounting,true,false,false,foundational,"Surface tag; stall default; ""sole kick"" disambiguates"
inside,Inside (surface),surface,0,inherited-accounting,true,false,false,foundational,"Surface tag; +0; can also appear as positional qualifier (""inside leg"")"
outside,Outside (surface),surface,0,inherited-accounting,true,false,false,foundational,"Surface tag; +0"
cloud,Cloud (surface),surface,0,inherited-accounting,true,false,false,common,"Specialized surface; stall default; ""cloud kick"" disambiguates"
jester,Jester (surface),surface,0,inherited-accounting,true,false,false,edge-case,"Specialized surface; +0"
knee,Knee (surface),surface,0,inherited-accounting,true,false,false,edge-case,"Specialized surface; +0"
head,Head (surface),surface,0,inherited-accounting,true,false,false,edge-case,"Specialized surface; +0"
ankle,Ankle (surface),surface,0,inherited-accounting,true,false,false,edge-case,"Specialized surface; +0"
reverse,Reverse,directional,0,positional-only,true,false,false,common,"Red ruling: far/reverse = +0; positional marker only; orthogonal to ADD accounting"
far,Far,positional,0,positional-only,true,false,false,common,"+0 per Red ruling; distance variant"
near,Near,positional,0,positional-only,true,false,false,common,"+0; distance variant"
same-side,Same-side,positional,0,positional-only,true,false,false,common,"+0; body-side qualifier"
opposite-side,Opposite-side,positional,0,positional-only,true,false,false,edge-case,"+0; body-side qualifier"
under,Under,positional,0,positional-only,true,false,false,edge-case,"+0; spatial qualifier"
over,Over,positional,0,positional-only,true,false,false,edge-case,"+0; spatial qualifier"
in-dex,In-dex,directional,0,positional-only,true,false,false,common,"Glossary §3 Direction subsection; +0; in-dex contrasts with out-dex"
out-dex,Out-dex,directional,0,positional-only,true,false,false,common,"Glossary §3 Direction subsection; +0"
DATW,Double Around-the-World,structural-multiplier,,structural-wrapper,true,false,false,edge-case,"Repeats atw atom; multiplier semantics outside basic accounting; ADD = depends on base atw + repetition convention (curator)"
TATW,Triple Around-the-World,structural-multiplier,,structural-wrapper,true,false,false,edge-case,"Repeats atw atom; multiplier semantics outside basic accounting"
uptime,Uptime,timing,0,descriptive-only,true,false,false,common,"Timing-clock concept (glossary §4); +0; descriptive only"
downtime,Downtime,timing,0,descriptive-only,true,false,false,common,"Timing-clock concept; +0; descriptive only"
