id,wave2_area,paradox_moves_finding,evidence_count,modern_doctrine_state,recommended_action,priority
W2-1,paradox internals,paradox is encoded both via explicit [PDX] flag AND structurally (leg-switch pattern); 11 of 57 source moves use the latter,11 moves,Red pt7 + pt8 reference materials; current convention inconsistent in modern DB,"add Red Wave 2 question: when is [PDX] flag explicit vs implicit? Are both forms valid ATAM grammar?",High
W2-2,paradox internals,"Paradox-from-same-leg (SAME [PDX]) vs paradox-from-opposite-leg (OP [PDX]) — source has both",26 + 10 of 57,unclear if modern doctrine distinguishes these structurally,"surface as Red question: do SAME-PDX and OP-PDX produce different ADD or different canonical identities?",Medium
W2-3,symposium internals,(no plant while) parenthesized phrase usage,12 of 57,modern: symposium is +1 body modifier; pogo is +0 set modifier; same parenthesized form used for both in source,"surface as Red question (W2 packet candidate): when is (no plant while) symposium vs pogo? cross-references FM audit FRP-7 + Job RP-7",High
W2-4,symposium internals,double (no plant while) in same compound — Pogo Paradox Da Da Curve has TWO (no plant while) elements,1 of 57,modern doctrine: stacking (no plant while) is unclear,"surface as Red question: does double-no-plant produce +2 ADD or single?",Medium
W2-5,blurry / blender,blurry = stepping paradox doctrine (Red pt11),11 source moves use 'Blurry X (Stepping Paradox X)' compact-reading pattern,Modern: Red pt11-locked,"document FM precedent for Red pt11; no further action — doctrine confirmed by paradoxMoves source",Low (doctrinally settled)
W2-6,blurry / blender,Paradox Blurry Whirl (5-ADD source compound),1 of 57,"Modern: not in DB; cross-references blurry-whirl (5 ADD)","surface as Red question: is 'Paradox Blurry Whirl' distinct from 'Blurry Whirl' (= Stepping Paradox Whirl)?",Medium
W2-7,atomic / x-dex semantics,paradoxMoves does NOT mention atomic or x-dex,0 of 57,Modern doctrine: atomic + x-dex postdate this source,"no action — atomic/x-dex doctrine has no paradoxMoves precedent; doctrine remains modern-only",Low
W2-8,operator stacking,operator stacks observed up to 4 deep: 'Stepping Ducking Paradox Torque' (Gauntlet); 'Pogo Paradox Symposium Whirl' (etc.),9 source compounds at 6-7 ADD with 3-4 stacked operators,Modern: multi-op chain registry handles up to 3-deep typically,"surface as Red question: does modern multiplier doctrine permit 4-deep operator stacks?","Medium"
W2-9,multiplier doctrine,paradoxMoves source uses paradox(+1) consistently with modern Sprint 1 derivation,46 of 57 paradox-named moves,Modern: paradox is +1 body modifier (registered),"document strong source precedent for paradox(+1) doctrine; reinforces multiplier audit class C/D",Low
W2-10,multiplier doctrine,paradoxMoves source uses spinning(+1) and symposium(+1) consistently,12+ symposium 14+ spinning of 57,Modern: both +1 body modifiers,"document strong source precedent",Low
W2-11,multiplier doctrine,Surging = spinning + stepping (source compact readings explicitly use this decomposition),2 of 57 (Surge Surreal),"Modern: Red pt2-locked + 'Surging Modeling Rule' (CLAUDE.md): surging is not in modifier table, decomposes to spinning + stepping","document strong source precedent for the Surging Modeling Rule",Low
W2-12,multiplier doctrine,Furious = +1 in source (Fury = Barraging Paradox Mirage; 'furious' implicit in Fury but operational shows barraging structure),1 of 57 (Fury),"Modern: furious is +1/+2 rotational set modifier (registered); modern chain reading 'barraging paradox mirage' confirms unpacking",no action,Low
W2-13,rev(+0) doctrine,paradoxMoves uses 'Reverse Drifter' in 1 compact reading (Royale = Paradox Reverse Drifter),1 of 57,"Modern: rev(+0) operator confirmed for orbit + rev-whirl + rev-up","document precedent for direction-reversal naming convention in compound contexts",Low
W2-14,(plant) marker grammar,source uses '(plant)' marker in operational notation for 3 moves to disambiguate support-leg-plant timing,3 of 57,Modern ATAM grammar §13: no (plant) marker,"surface as ATAM grammar question (curator + Red): should ATAM adopt (plant) marker?","Medium"
W2-15,front-spin operator,source uses (front) SPIN for inspinning compounds,2 of 57 (Inspinning Paradox Illusion Inspinning Paradox Mirage),Modern: 'inspinning' not in modifier table,"surface as Red question (W2 packet): is inspinning a distinct +1 operator vs spinning?","Medium"
W2-16,Tomahawk doctrinal divergence,source reads Tomahawk = Ducking Paradox Whirl; modern chain reads = Blurry Ducking Torque,1 of 57 (Tomahawk),Modern: chain reading 'blurry ducking torque' is Red pt11-locked,"surface as Red question: source 1995-2003 framing vs modern Red pt11 framing — same trick two doctrinally-different readings","High"
W2-17,High Plains Drifter family,source canonicalizes Paradox High Plains Drifter compound,1 of 57,Modern: high-plains-drifter family-redirected to drifter-family (Slice M FAMILY_OVERRIDES),"surface as compatibility question: is the historical naming preserved canonically or rolled into drifter-family?","Low"
W2-18,OP BACK SWIRL token,source uses 'OP BACK SWIRL [DEX]' as single token,3 of 57 (Paradox Whirling Swirl + 2 pogo variants),Modern ATAM grammar: swirl is core atom; swirling is body modifier,"surface as ATAM grammar question: is 'OP BACK SWIRL [DEX]' valid grammar or should it decompose?","Medium"
