slug,adds,bucket,status,op_notation,reading,reason,confidence
clown-face,5,A,AUTHORED,TOE >> OP OUT [DEX] > OP OUT [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],furious > eggbeater,parser computed_adds==adds,0.95
genesis,5,A,AUTHORED,SET > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP CLIP [XBD] [DEL],furious > whirl,parser computed_adds==adds,0.95
nebula,5,A,AUTHORED,SET > OP IN [DEX] > OP OUT [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],furious > double-leg-over,parser computed_adds==adds,0.95
rage,5,A,AUTHORED,SET > (no plant while) OP IN [BOD] [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],furious > symposium-mirage,parser computed_adds==adds,0.95
barraging-pickup,4,A,AUTHORED,SET > OP IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],barraging > pickup,parser computed_adds==adds,0.95
fury,5,A,AUTHORED,CLIP > OP IN [DEX] > SAME IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL],paradox structural formula migrated,parser computed_adds==adds,0.95
refraction,3,A,AUTHORED,SET > OP INSIDE [DEL] > OP OUT [DEX] > OP CLIP [XBD],base-atom formula migrated,parser computed_adds==adds,0.95
double-around-the-world-heel,4,A,AUTHORED,TOE > SAME IN/OUT [DEX] > SAME IN/OUT [DEX] > SAME HEEL [UNS] [DEL],datw > heel (adds 3->4 via [UNS]),parser computed_adds==adds,0.95
jani-walker,5,B,AUTHORED,CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP CLIP [XBD] [DEL],self-contained structural formula,parser computed_adds==adds,0.95
predator,4,B,AUTHORED,TOE > OP OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],= atomic-double-leg-over (non-rotational atomic +1),parser computed_adds==adds,0.95
surging,2,B,HOLD,CLIP > (back) SPIN [BOD] > OP IN [DEX],spinning + stepping (base-less),base-less entry notation convention needed,0.50
paradox-symposium-illusion,4,B,HOLD,SET > (no plant while) OP OUT [BOD] [PDX] [DEX] > OP TOE [DEL],paradox > symposium-illusion,[PDX]-on-[BOD][DEX] parity convention needed,0.60
stepping-ducking-paradox-illusion,5,B,HOLD,CLIP > OP IN [DEX] > DUCK [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],stepping > ducking > paradox > illusion,multi-operator parity ordering review,0.60
big-apple-sauce,8,B,HOLD,-,spinning > paradox > miraging > symposium > torque,4-operator stack parity too deep to author cleanly,0.55
swirlwind,7,B,HOLD,-,spinning > paradox > symposium > whirling-swirl,multi-operator parity,0.55
margaritaville,7,B,HOLD,-,surging (=spinning+stepping) > paradox > blender,multi-operator parity (surging decomposable; paradox stack),0.50
surging-ducking-paradox-torque,8,B,HOLD,-,surging (=spinning+stepping) > ducking > paradox > torque,multi-operator parity,0.50
terrage,4,B,HOLD,-,base-atom; existing formula bracket 3 != adds 4,reconcile structure or adds,0.50
gyro-diving-clipper,3,B,HOLD,-,gyro > diving-clipper,gyro on zero-dex base collapses; ruling needed,0.50
oh-wheely,6,B,HOLD,-,nuclear > nova,no shipped nuclear-X exemplar to mirror,0.50
sole-survivor,5,B,HOLD,-,base whirl; no chain evidence,needs external sourcing,0.25
hop-over,2,B,HOLD,-,base-atom (body primitive),token-only notation; needs sourced structural form,0.40
sailing,2,B,HOLD,-,base-atom (set-system),token-only; needs structural form,0.40
spyro,1,B,HOLD,-,base-atom (inspin/plant-before-dex),token-only; needs structural form,0.40
omelette,3,C,BLOCKED,-,illusioning > pickup OR atomic > pickup,Q1 doctrine-conflicted (atomic-pickup; Red packet pending),0.40
witchdoctor,5,C,BLOCKED,-,= atomic-symposium-mirage,atomic on rotational base = X-Dex Q3 held,0.40
atomic-torque,6,C,BLOCKED,-,atomic > torque,atomic held migration (greenlight pending),0.50
plasma,5,C,BLOCKED,-,quantum > double-over-down,DOD/DDD + quantum (atomic X-Dex held),0.50
down-double-down,4,C,BLOCKED,-,CLIP > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL] (formula ready),DOD/DDD ruling,0.60
blurry-torque,6,C,BLOCKED,-,blurry > torque,blurry ruling,0.50
blurry-whirl,5,C,BLOCKED,-,blurry > whirl,blurry ruling,0.50
fairy-gyro-torque,6,C,BLOCKED,-,fairy > gyro > torque,fairy/pixie weight (Red Wave 2),0.50
fairy-merkon,4,C,BLOCKED,-,fairy > merkon,fairy/pixie weight,0.50
fairy-ripstein,5,C,BLOCKED,-,fairy > ripstein,fairy/pixie weight,0.50
pixie-spinning-paradox-blender,7,C,BLOCKED,-,pixie > spinning > paradox > blender,fairy/pixie weight,0.50
pixie-spinning-paradox-whirl,6,C,BLOCKED,-,pixie > spinning > paradox > whirl,fairy/pixie weight,0.50
pixie-spinning-paradox-symposium-whirl,7,C,BLOCKED,-,pixie > spinning > paradox > symposium > whirl,fairy/pixie weight,0.50
floatation,6,C,BLOCKED,-,floating > butterfly,floating undefined folk operator,0.50
liquifier,6,C,BLOCKED,-,splicing > blender,splicing undefined folk operator,0.50
redwetter,6,C,BLOCKED,-,shooting > eggbeater,shooting undefined folk operator,0.50
warp,5,C,BLOCKED,-,warping > mirage,warping undefined folk operator,0.50
bill-ted-s-excellent-adventure,5,C,BLOCKED,-,flailing > symposium > eggbeater,flailing undefined folk operator,0.50
