id,topic,target_glossary_section,opportunity,source_evidence,risk,priority
AG-1,5 ADD categories foundational reference,§1 (foundations) or §4 (timing clock) or §7 (operational notation),"CRITICAL: Document the 5-category ADD taxonomy as the FOUNDATIONAL doctrinal anchor for all ADD math. DELAY [del] / DEXTERITY [dex] / UNUSUAL SURFACE [uns] / BODY [bod] / CROSS BODY [xbd]. Each operational flag = 1 ADD",Add-Categories source primary doctrine,Low,CRITICAL
AG-2,Flag-count-equals-ADD principle,§7 (operational notation reference),"CRITICAL: Document that operational notation flag count = total ADD count. Modifier-stack math is pedagogical derivation that should equal flag count. When divergent flag count is canonical",Add-Categories source primary doctrine + 25+ cross-audit examples in flag_count_doctrine_audit.csv,Low,CRITICAL
AG-3,Move elements 7-concept reference,§6 (modifier feel cards) or §3 (dex direction),"Document the 7 source move elements: Ducking and Diving / Paradox / Pixie and Fairy / Pogo / Shooting / Stomping / Symposium. These are the FOUNDATIONAL operator concepts the 2003 source established",Add-Categories source move-elements section,Low,High
AG-4,Pogo doctrinal reconciliation (CRITICAL),§6 (modifier feel cards) or §7,"Document the pogo +0 vs source +2 ADD reconciliation: pogo=+0 modifier value represents the INCREMENT above what's already counted via operational flags. Source's '+2 more' reflects the structural contribution (pogo's pre-dex segment + symposium body element)",Add-Categories pogo + paradoxMoves PD-2 (5 compounds with +1 systematic divergence),Medium (gated on AW2-2 Red Wave 2 answer),CRITICAL
AG-5,Paradox = body ADD historical clarification,§6 (modifier feel cards),"Document the paradox-as-body-category doctrine: paradox adds to body category because of the hip pivot required. Reconciles paradox-tutorial.txt's '6th category' colloquial framing",Add-Categories paradox + paradox-tutorial.txt (cross-reference),Low,High
AG-6,Pixie 'directly following toe set' timing,§4 (timing clock) or §6,"Document pixie's uptime timing constraint: the dex happens DIRECTLY following the toe set (= uptime). Reinforces user's 2026-05-19 uptime-vs-midtime distinction",Add-Categories pixie + pixieMoves audit + user clarification,Low,High
AG-7,Pixie and Fairy direction-pair,§3 (dex direction) or §6,"Document the pixie/fairy direction-variant pair: pixie = inside-out from toe; fairy = outside-in from toe (reverse direction). Source establishes the pair explicitly",Add-Categories source pixie-fairy section,Low,High
AG-8,Symposium precise kinematic definition,§6 (modifier feel cards),"Document symposium's precise kinematic: dex leg plants BEFORE and AFTER dex; setting leg never touches ground. Source provides clearer definition than modern modifier_name",Add-Categories symposium,Low,Medium
AG-9,Ducking vs Diving structural distinction,§3 (dex direction) or §6,"Document the source's CLEAR distinction: Ducking = head under THEN trick on OTHER side; Diving = head under THEN trick on SAME side. Modern modifier table doesn't preserve this",Add-Categories ducking-and-diving,Low,High
AG-10,Stomping concept (NEW),§6 (modifier feel cards),"Document stomping with source's worked example 'Stomping Double Leg-Over'. NEW concept not in modern modifier table",Add-Categories stomping,Medium (gated on AW2-4 Red Wave 2),Medium
AG-11,Slur as failed-pogo concept (NEW),§6 (modifier feel cards) or §11 (alphabetical reference),"Document slur as the failed-pogo concept (+1 ADD; bag not released before dex). Pedagogically useful for explaining the pogo execution requirement",Add-Categories pogo paragraph,Medium (gated on AW2-3 Red Wave 2),Low
AG-12,Shooting = pogo under both legs,§6 (modifier feel cards),"Document shooting's structural identity: like pogo but under BOTH legs. Source provides the kinematic; modern doctrine has shooting at +3 modifier but doesn't preserve the under-both-legs framing",Add-Categories shooting,Low,Medium
AG-13,Down Diver Down trick (NEW canonical candidate),§11 (alphabetical reference) or trick-detail,"Document Down Diver Down with source's exact framing ('same as Down Double Down except dive under bag'). Cross-references Job audit's Double Over Down question",Add-Categories diving paragraph,Medium (gated on AW2-7 Red Wave 2),Low
