trick_name,source,external_formula,external_add,formula_status,blocker_type,why_observational,wave2_dependency,safe_to_publish,notes
Barrage (toe set),footbagmoves,Clipper set Double Mirage,3,observational_formula,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: clipper,set",false,false,for observational listing only; not canonical promotion
Bubba Beater,footbagmoves,Bubba Legover,3,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: bubba,false,false,for observational listing only; not canonical promotion
Alex Zerbe is the greatest,footbagmoves,Spyro Symple Drifter,4,observational_formula,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: spyro,symple",false,false,for observational listing only; not canonical promotion
Arcwalk,footbagmoves,Arctic Butterfly,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: arctic,false,false,for observational listing only; not canonical promotion
Bling Blang,footbagmoves,Whirling Reverse Whirl,4,policy_dependent_formula,wave_2_dependency,Slice R flagged pending_red,true,true,for observational listing only; not canonical promotion
Blizzard,footbagmoves,Blurry Illusion,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Buttersole,footbagmoves,Butterfly Flapper,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flapper,false,false,for observational listing only; not canonical promotion
Casket,footbagmoves,Fairy ss Drifter,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Down Double Down,footbagmoves,Clipper set ss Double Over Down,4,observational_formula,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: clipper,set,over",false,false,for observational listing only; not canonical promotion
Dragonstein,footbagmoves,Double Swirl Dragon,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,false,false,for observational listing only; not canonical promotion
Enterrage,footbagmoves,Terraging Legover,4,policy_dependent_formula,wave_2_dependency,Slice R flagged pending_red,true,true,for observational listing only; not canonical promotion
Fairy Beater,footbagmoves,Fairy Butterfly,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Fairy Symposium Mirage,footbagmoves,Fairy Flail,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Feral,footbagmoves,Fairy Whirl,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Ferocious,footbagmoves,Fairy Osis,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Flaming Homer,footbagmoves,Fairy ss Eggbeater,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Flipwalk,footbagmoves,Dragon set Stepping op Firewalk,4,observational_formula,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: dragon,set,firewalk",false,false,for observational listing only; not canonical promotion
Flog,footbagmoves,Fairy Double Legover,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Flux,footbagmoves,Reverse Torque,4,policy_dependent_formula,wave_2_dependency,Slice R flagged pending_red,true,true,for observational listing only; not canonical promotion
Freak,footbagmoves,Fairy Crossbody Rake,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Fume,footbagmoves,Fairy Drifter,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Furnace,footbagmoves,Hopover Swirl Dragon,4,observational_formula,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: hopover,dragon",false,false,for observational listing only; not canonical promotion
Glaucoma,footbagmoves,Fairy ss Double Legover,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Guillotine,footbagmoves,Fairy Ducking Mirage,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Johny Quest,footbagmoves,Neutron Mirage,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: neutron,false,false,for observational listing only; not canonical promotion
Leaning Jowler,footbagmoves,Leaning ss Mirage,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: leaning,false,false,for observational listing only; not canonical promotion
Legfreezer,footbagmoves,Frozen Butterfly,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: frozen,false,false,for observational listing only; not canonical promotion
Little Apple,footbagmoves,Spyro Symposium Mirage,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: spyro,false,false,for observational listing only; not canonical promotion
MXZYPTLK,footbagmoves,Bubba Butterfly,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: bubba,false,false,for observational listing only; not canonical promotion
Neutron Smasher,footbagmoves,Neutron Mirage,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: neutron,false,false,for observational listing only; not canonical promotion
Osmosis,footbagmoves,Slapping Osis,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: slapping,false,false,for observational listing only; not canonical promotion
Park Avenue,footbagmoves,Fairy ss Butterfly,4,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Phase,footbagmoves,Phasing ss Mirage,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: phasing,false,false,for observational listing only; not canonical promotion
Pixie Symposium Illusion,footbagmoves,Pixie Flail,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: flail,false,false,for observational listing only; not canonical promotion
Dragster,footbagmoves,Miraging Dragon,3,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,false,false,for observational listing only; not canonical promotion
Fear,footbagmoves,Fairy Mirage,3,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Firefly,footbagmoves,Butterfly Dragon,3,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,false,false,for observational listing only; not canonical promotion
Fudge,footbagmoves,Fairy Illusion,3,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Grifter,footbagmoves,Reverse Drifter,3,policy_dependent_formula,wave_2_dependency,Slice R flagged pending_red,true,true,for observational listing only; not canonical promotion
Icon,footbagmoves,Inspinning Legover,3,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: inspinning,false,false,for observational listing only; not canonical promotion
Nallegam,footbagmoves,Fairy Pickup (same side),3,policy_dependent_formula,wave_2_dependency,uses Wave-2 operator vocabulary (fairy/barraging/blurry),true,true,for observational listing only; not canonical promotion
Rake,footbagmoves,,3,policy_dependent_formula,wave_2_dependency,Slice R flagged pending_red,true,true,for observational listing only; not canonical promotion
Red Ribbon,footbagmoves,Zulu Clipper,3,observational_formula,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: zulu,clipper",false,false,for observational listing only; not canonical promotion
Snapdragon,footbagmoves,Reverse Swirl Dragon,3,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,false,false,for observational listing only; not canonical promotion
Spitfire,footbagmoves,Swirl Dragon,3,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: dragon,false,false,for observational listing only; not canonical promotion
Pteradon,footbagmoves,Toe set os Double Over Down Dragon,4,observational_formula,partial_vocabulary_recognition,"some tokens IFPA-unrecognized: toe,set,os",false,false,for observational listing only; not canonical promotion
Revstein,footbagmoves,Double Reverse Swirl,4,policy_dependent_formula,wave_2_dependency,Slice R flagged pending_red,true,true,for observational listing only; not canonical promotion
Slap,footbagmoves,Slapping Mirage,4,observational_formula,partial_vocabulary_recognition,some tokens IFPA-unrecognized: slapping,false,false,for observational listing only; not canonical promotion
