id,topic,target_glossary_section,opportunity,source_evidence,risk,priority
BG-1,Red pt11 'Blurry = Stepping Paradox' tri-source historical precedent,§3 (dex direction) or §6 (modifier feel cards),"Document Red pt11 doctrine with 2-source corpus confirmation: paradoxMoves + blurryMoves both have explicit 'Blurry X (Stepping Paradox X)' folk-name/structural-reading pairs",blurryMoves 11 pairs + paradoxMoves 11 pairs,Low,High
BG-2,Food Processor's dual chain readings (Red pt15),§7 (operational notation) or trick-detail,"Document Food Processor's modern chain registry having BOTH 'Blurry Blender' AND 'Stepping Paradox Blender' as alternate readings. Source provides primary 'Blurry Blender' reading",blurryMoves Food Processor + modern chain registry,Low,Medium
BG-3,Folk-name lineage for blurry-family (11+ compounds),§5 or §7,"Document the blurry-family folk-name lineage: Blizzard / Blur / Voodoo / Blurrage / Fog / Blurry Drifter / Bedwetter / Blurry Whirl / Food Processor / Blurry Symposium Whirl / Blurry Torque / Blurry Whirling Swirl / Gauntlet. Strong source precedent for blurry-class compounds",blurryMoves source — 11+ folk-name/structural-reading pairs,Low,High
BG-4,Rake element historical precedent (CRITICAL),§3 or §6 or §7,"Document the 2003-era 'x-body Rake' element in 'Stepping P.S. Whirling x-body Rake' as historical-precedent for the user's Sprint 6 rake doctrine. THE first 'rake' appearance in any reconciliation source",blurryMoves source — 1 compound,Medium (gated on Red BW2-3),CRITICAL
BG-5,Symposium-blurry compound family,§3 or §7,"Document the 3 symposium-blurry compounds (Voodoo Symposium Blizzard Symposium Blur). Symposium element added to blurry structure — useful pedagogical pattern",blurryMoves 3 compounds,Low,Medium
BG-6,Direction-flipped blurry (in/out vs in/in),§3 (dex direction),"Document the Blur (in/in) vs Blizzard (in/out) pattern: same blurry base structure but direction of second dex differs. Useful pedagogical contrast",blurryMoves Blizzard + Blur (line 16 source description),Low,High
BG-7,P.S. abbreviation convention,§7,"Document the 'P.S.' = Paradox Symposium abbreviation across paradoxMoves + blurryMoves sources (2-source confirmation)",paradoxMoves 'PS Whirl' + blurryMoves 'Stepping P.S. Whirling x-body Rake',Low,Low
BG-8,In/out alternation token (NEW),§7 (operational notation reference),"Document the 'OP IN/OUT [DEX]' alternation construct first appearance in reconciliation corpus. Useful for §7 grammar discussion",blurryMoves Symposium Blur,Medium,Medium
BG-9,Blurry-blender signature pattern (Food Processor),§5 (family trees) or §8,"Document Food Processor's distinctive structural signature: OP IN [DEX] > OP IN [DEX] [BOD] > (BACK) SPIN [BOD] > SAME CLIP. Useful worked example",blurryMoves Food Processor,Low,Medium
BG-10,Complex compound operational forms,§7,"Document Stepping P.S. Whirling x-body Rake as worked example of high-complexity ATAM operational notation. Pedagogical value: shows the limits of inline operational form",blurryMoves Stepping P.S. Whirling x-body Rake,Medium,Medium
