"operator","operator_family","form","example_usage","observed_role","inferred_semantics","unresolved_ambiguity"
"ss","positional","infix","Barfry | Nuclear ss Butterfly","positional + purely descriptive","+0 ADD (Red 2026-05-11 ruling); same-side body-direction marker","none — resolved"
"far","positional","infix + leading","Ripwalk | Stepping Far Butterfly; Barfly | Far Double Over Down","positional + (presumed) purely descriptive","geometric distance marker; same syntactic slot as ss; ADD weight not adjudicated but observed ADD-neutral across 14 inventory rows","ADD weight not formally adjudicated"
"near","positional","infix","Magellan | Pixie near Legover (screenshot)","positional + (presumed) purely descriptive","geometric proximity marker; contrast with far; present in screenshots, absent from scraped inventory","scraper coverage gap; ADD weight not adjudicated"
"op","directional","infix","Flipwalk | Dragon set Stepping op Firewalk","directional + positional","opposite-side variant; rare (2 inventory rows)","relationship to os unclear (possibly typo or distinct semantic)"
"os","directional","infix","Paradon | Toe set os Double Over Down","directional + positional","appears in 3 inventory rows in the same slot as ss/op","may be variant spelling of op; not adjudicated"
"set","positional","suffix on surface","Barrage | Clipper set Double Mirage; Orpheus | Toe set ss Triple Over Down","positional + compositional","marks the named surface as the trick's starting set position","Dragon set semantic undocumented"
"(uptime)","temporal","parenthesized prefix","Enterrage | (uptime) Toe near Flurry","temporal + purely descriptive","bag in upward arc at trick entry","ADD weight assumed 0; not adjudicated"
"(downtime)","temporal","parenthesized prefix","Dada Curve | (downtime) Miraging far Symp. Butterfly","temporal + purely descriptive","bag in downward arc at trick entry","ADD weight assumed 0"
"(midtime)","temporal","parenthesized prefix","Pixie (archaic) | Midtime Toe near Mirage","temporal + purely descriptive","bag mid-flight at trick entry","ADD weight assumed 0"
"(rooted)","pre-state","parenthesized prefix / standalone modifier","Hyper Sets def = Rooted Pixie","pre-state + purely descriptive (per pt8: rooted = 0-ADD set)","pt8 ruling formalized 0-ADD","none — resolved"
"(no plant while)","pre-state","operational notation pre-flag","Mullet operational notation; not in technical_name surface","pre-state + purely descriptive","no support-leg plant during segment","operational layer only"
"Ducking","body-modifier","prefix","ducking-whirl | Ducking Whirl","compositional + additive","+1 ADD universal","none"
"Paradox","body-modifier","prefix","paradox-whirl | Paradox Whirl","compositional + additive","+1 ADD universal; same-side body commitment across kick","none"
"Spinning","body-modifier","prefix; recursive Sets def: Back Spin","spinning-whirl | Spinning Whirl; Sets: Spinning = Back Spin","compositional + additive","+1 ADD body-spin","none"
"Stepping","body-modifier","prefix","stepping-whirl | Stepping Whirl","compositional + additive","+1 ADD universal; pt10 retired rotational-escalation framing","none"
"Symposium / Symp. / Symple","body-modifier","prefix; shorthand variants","Symp. Whirl; Symple Butterfly","compositional + additive","+1 ADD universal; Symp / Symple are FM orthographic shorthand","none"
"Tapping","body-modifier","prefix","tap | Tapping Mirage","compositional + additive","+1 ADD universal","none"
"Pixie","set-modifier","prefix","dimwalk | Pixie Butterfly","compositional + additive","+1 ADD universal; behind-the-leg set","none"
"Quantum","set-modifier","prefix; Sets def: Toe Miraging","tripwalk | Quantum Butterfly","compositional + additive","+1 ADD universal","none"
"Atomic","set-modifier","prefix; Sets def: Toe Illusioning","scrambled-eggbeater | Atomic Pickup","compositional + additive","+1 non-rotational / +2 rotational per pt10","none"
"Nuclear","set-modifier","prefix","Barfry | Nuclear ss Butterfly; Hurl | Nuclear ss Whirl","compositional + additive","+2 ADD (Paradox Atomic set) per pt10","Nuclear-ss rows have FM=IFPA-1 delta (federation_math_divergence, not ontology)"
