base_id,symbolic_formula,dex1,dex2,dex3,launch_surface,terminal_surface,positional_reading,normalized_terminal,normalized_formula,equivalence_group,existing_matched_object,coarticulated_in_corpus,classification,same_wording_collapses,representation_confidence,notes
SIN-SIN-SIN,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,SAME IN,SAME IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ001,triple_around_the_world|pixie_double_pickup_same_side,yes,B,,high,formula identity carried by 2 active names
SIN-SIN-SIN,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],SAME IN,SAME IN,SAME IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],EQ001,triple_around_the_world|pixie_double_pickup_same_side,yes,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SIN-SIN,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,SAME IN,SAME IN,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ002,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SIN-SIN,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],SAME IN,SAME IN,SAME IN,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],EQ002,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SIN-SOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,SAME IN,SAME OUT,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ003,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SIN-SOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],SAME IN,SAME IN,SAME OUT,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],EQ003,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SIN-SOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,SAME IN,SAME OUT,toe,toe,OP,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ004,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SIN-SOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],SAME IN,SAME IN,SAME OUT,toe,toe,FAR,OP,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],EQ004,,,C,yes,low,"FAR is receiver-distance wording for the OP terminal; collapses onto the OP reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
SIN-SIN-OIN,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,SAME IN,OP IN,toe,toe,SAME,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ005,,,D,,high,"distinct, representable formula; no active object at this identity"
SIN-SIN-OIN,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],SAME IN,SAME IN,OP IN,toe,toe,NEAR,SAME,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],EQ005,,,C,yes,low,"NEAR is receiver-distance wording for the SAME terminal; collapses onto the SAME reading, adding no representable distinction; any near/far distance beyond same/op is representation-ambiguous (E)"
