id,subject,discrepancy_class,source_form,modern_doctrine,resolution_recommendation,risk,curator_action,notes
BD-1,Red pt11 cross-validation,doctrine-confirmation,11 of 18 blurry compounds carry 'Stepping Paradox X' parenthetical readings,Red pt11 doctrine: 'Blurry = Stepping Paradox',document strong second-source confirmation (paradoxMoves + blurryMoves) of Red pt11,Low (doctrinally settled),document,"2-source corpus confirmation of Red pt11. blurryMoves source has 11 explicit 'Blurry X = Stepping Paradox X' pairs"
BD-2,Food Processor multi-reading,doctrine-confirmation,Source: Food Processor = Blurry Blender,Modern chain registry: 'blurry blender' AND 'stepping paradox blender' (Red pt15-locked),document source provides the 'Blurry Blender' reading; modern registry adds 'Stepping Paradox Blender' via Red pt11/pt15 compression,Low,document,"Source's reading is captured in modern doctrine. Confirms Red pt15"
BD-3,Symposium Blizzard / Symposium Blur canonical-row gap,canonicalization-question,Source has 2 NEW 'Symposium X' compounds (not in paradoxMoves),Modern: NOT in DB,"surface as Red Wave 2: should symposium-blizzard + symposium-blur be canonicalized? Math: symposium(+1)+blizzard(4)=5 and symposium(+1)+blur(4)=5",Medium,red-question,"UNIQUE TO blurryMoves source. Pure structural-form names; derivable per multiplier doctrine"
BD-4,Stepping P.S. Whirling x-body Rake — NEW compound with rake element,canonicalization-question + grammar-question,Source has 7-ADD compound with explicit 'rake' element in operational notation,"Modern: NOT in DB. Sprint 6 (2026-05-19) introduced rake = swing > toe = 2 ADD primitive","surface as Red Wave 2: how does the 2003 'x-body rake' element relate to the modern 2-ADD rake primitive? Are they the same element used in different structural roles?",HIGH,red-question,"CRITICAL FINDING: First 2003-era 'rake' precedent in reconciliation source corpus. Direct historical-precedent for Sprint 6 rake doctrine. Source uses 'OP X-BODY RAKE [XBD] [DEL] [DEX]' as a SINGLE compound token in a 7-ADD compound — pedagogically interesting"
BD-5,OP IN/OUT alternation token,grammar-question,Source uses 'OP IN/OUT [DEX]' alternation marker in Symposium Blur (1 of 18),Modern: ATAM grammar §13 does not standardize in/out alternation in operational notation,"surface as ATAM grammar question: should alternation tokens be valid in operational form? Or should they resolve to one canonical direction?",Medium,review,"First appearance of in/out alternation in reconciliation corpus. Same pattern as 'SAME or OP' alternations in FM source"
BD-6,P.S. abbreviation in operational notation,naming-convention,Source uses 'P.S.' in 'Stepping P.S. Whirling x-body Rake' (1 of 18; consistent with paradoxMoves 'PS Whirl'),"Modern doctrine: 'PS Whirl' → 'paradox symposium whirl' chain reading (per modern DB)","document source's P.S. abbreviation as historical-precedent for the 'paradox symposium' compression","Low",document,"2-source confirmation of P.S. abbreviation convention"
BD-7,operational-form-difference (DB vs source for blur),operational-token-difference,Source: CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP TOE [DEL] (no '>>'; [PDX] before [DEX]),Modern DB: CLIP > OP IN [DEX] >> OP IN [DEX] [PDX] > OP TOE [DEL] ('>>' between dexes; [PDX] after [DEX]),reconcile token-grammar; cross-references paradoxMoves PD-4 + FM FRP-3 + FRP-4,Medium,review,"Same divergence as paradoxMoves audit. Two-source confirmation of the modern DB form's divergence from 2003 source"
BD-8,Paradox-without-PDX-flag (4 source moves),operational-form-inconsistency,4 source moves use 'paradox' in name but operational lacks [PDX] flag (Paradox Blurry Whirl Symposium Blizzard Symposium Blur Stepping Ducking Paradox Blender),Modern: [PDX] flag should be explicit on paradox compounds,"surface as Red Wave 2: cross-references paradoxMoves PD-7 (11 of 57 source moves with same inconsistency)",Medium,review,"Pattern persists across sources. blurryMoves's 4 of 18 = 22%; paradoxMoves's 11 of 57 = 19%. Similar inconsistency rate"
BD-9,Stepping P.S. Whirling x-body Rake — complex multi-token operational form,operational-grammar-complexity,Source: CLIP > OP IN [DEX] > (no plant while) OP IN [PDX] [BOD] [DEX] > OP X-BODY RAKE [XBD] [DEL] [DEX],Modern: would decompose into separate elements,"surface as ATAM grammar question: how to handle compound multi-token operational forms with embedded 'rake' atoms?",Medium-High,review,"Single most operationally-complex compound in source corpus. 4 flags in terminal element ([XBD] [DEL] [DEX])"
BD-10,(NO PLANT WHILE) casing,stylistic-only,Source uses both '(no plant while)' and '(NO PLANT WHILE)' within same document,Modern: lowercase canonical,"document lowercase as canonical convention",Trivial,document,"Cross-references FM D-8 + paradoxMoves GD-5 — recurring across audits"
