"name","slug","governance_state","issue_type","sources","n_sources","source_adds","in_db","equivalent_to","doctrine_status","publication_status","parse_confidence","add_confidence","family","primary_operator","add_formula","parser_notes","unresolved_questions","provenance_notes"
"Around the World","around-the-world","1 Published Canonical","","fborg","1","2","True","around-the-world (live DB)","settled","first_class_ready","","high","","dex","dex(1) + stall(1) --> 2 ADDs","Canonical 2-ADD foundational atom with explicit Jobs notation in source. Reverse direction (positional reverse, +0) reaches the same 2 ADD.","",""
"Assassin","assassin","1 Published Canonical","","footbagmoves,passback","2","4,8","True","","","","high","","toe-duck-toe","","","","",""
"Atom Smasher","atom-smasher","1 Published Canonical","","fborg","1","3","True","atom-smasher (live DB; canonical 4 ADD per pt1+pt2 X-Dex)","settled","first_class_ready","","medium","","atomic","atomic(+1) + mirage(2) --> 3 ADDs (FB.org reading; IFPA canonical 4 ADD via hidden X-Dex per pt1+pt2)","Cross-source ADD divergence: FB.org-3add and FM both show 3-ADD reading; IFPA canonical is 4 ADD per pt1+pt2 hidden X-Dex from a toe ruling. Preserve source_adds=3 here.","","FB.org 3-ADD reading does not account for IFPA pt1+pt2 hidden X-Dex carry; IFPA canonical = 4 ADD."
"atomic","atomic","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Atomic Butterfly (same side)","atomic-butterfly","1 Published Canonical","","footbagmoves","1","4","True","","","","none","","no-notation","","","","",""
"atomic torque","atomic-torque","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
"Atomsmasher","atomsmasher","1 Published Canonical","","footbagmoves","1","3","True","","","","high","","toe-xdex-toe","","","","",""
"Barfly","barfly","1 Published Canonical","","footbagmoves","1","4","True","barfly (live DB; clipper-set double-out compound)","settled","first_class_ready","high","high","clip-double-dex-clip","dex","dex(1) + dex(1) + xbody(1) + stall(1) --> 4 ADDs","Alt name ""Far Double Over Down"" per FM federation. Federation_math_divergence: FM=4 vs IFPA=4 (agreement); some sources hedge.","","FB.org 4-ADD confirms 'Barfly' (source_adds=4; jobs='CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]'; component_flags='[dex] [dex] [xbd] [del]'); ingested 2026-05-21."
"Barrage","barrage","1 Published Canonical","","footbagmoves","1","3","True","barrage (live DB; pt4+followup)","settled","first_class_ready","high","high","clip-double-dex-toe","dex","dex(1) + dex(1) + stall(1) --> 3 ADDs","pt4-ruled standalone trick distinct from barraging modifier. Two-dex compound with toe terminator.","","FB.org 3-ADD confirms 'Barrage' (source_adds=3; jobs_notation_raw='SET > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL]'; component_flags='[dex] [dex] [del]'); ingested 2026-05-21."
"barraging","barraging","1 Published Canonical","","ifpa-canonical","1","","True","","","","","","","","","Live canonical row; not present in the observational master corpus.","",""
