taxonomy_class,operator_examples,defining_pattern,modern_registry_location,doctrinal_alignment,dual_identity_pattern,notes
"Set primitives (toe-anchored with same/op-leg dex)","pixie fairy quantum atomic","TOE > SAME/OP IN/OUT [DEX]","freestyle_trick_modifiers (set; +1) AND freestyle_tricks (category=set; 2 ADD)","aligned with user 2026-05-19 dual identity doctrine","DUAL IDENTITY (set modifier +1 AND 2-ADD canonical trick)","CORE pattern: 4 set primitives confirmed to have dual identity in both source and modern DB. Direction-quadrant: pixie=same-in fairy=same-out quantum=op-in atomic=op-out"
"Set primitives (clip-anchored)","nuclear stepping blurry shooting","CLIP > SAME/OP OUT/IN [DEX] +/-","freestyle_trick_modifiers (set or body; varies)","aligned with source","modifier only (no trick row)","Clip-anchored set primitives are modifier-only in modern doctrine"
"Zero-ADD set primitives","pogo rooted","no-plant pattern (pogo) or rooted-plant pattern (rooted)","freestyle_trick_modifiers (set; +0) AND freestyle_tricks (category=set; 0 ADD)","aligned","DUAL IDENTITY but with 0 ADD","Two zero-ADD set primitives in modern DB. Source: 'Pogo (Symposium Whirling)' and 'Rooted: setting foot is on the ground (antisymposium)'"
"Body modifiers (uptime-component)","spinning inspinning gyro ducking diving","SET > BOD-action [BOD]","freestyle_trick_modifiers (body; +1)","aligned for spinning/gyro/ducking/diving; inspinning gap","modifier only","Components of larger set compositions. Inspinning is the only one missing from modern modifier table"
"Body modifiers (dex-modifier)","miraging stepping swirling whirling barraging blazing tapping paradox xdex backside","SET > X-dex [DEX]","freestyle_trick_modifiers (body; +1)","aligned","modifier only","Dex-shaping body modifiers"
"Compound operators (set + body)","surging twinspinning leaning go-go sonic peeking neutron fairy-spinning pixie-inspinning fairy-atomic blistering frantic flailing","SET-primitive + SPIN/component","NOT in modifier table; some in canonical tricks","unsettled-doctrine","compound (not single-modifier)","11+ compound operators in source NOT registered in modern modifier table. These are operator compositions not single primitives"
"Direction-reversed sets","scattered shattered broken","CLIP > OP OUT [DEX]","NOT in modifier table","unsettled-doctrine","NOT registered","Source identifies 'Reverse Whirling' variants. Cross-references rev(+0) doctrine but for whirling specifically"
"Unusual surface (UNS) sets","finchy pixie-pinching twisted snapping arctic zoid","UNS-token > X","NOT in modifier table","unsettled-doctrine","NOT registered","5 source UNS sets use NEW tokens (PINCH DRAGON FRIGIDOSIS). Out-of-scope for modern doctrine"
"Modifiers-as-tricks (modifier table + tricks table with category=modifier)","barraging blazing ducking gyro spinning stepping tapping terraging","modifier row AND tricks row at category='modifier'","BOTH","partial-dual-identity-pattern","modifier-AND-modifier-as-trick","8 modifiers have BOTH modifier table entry AND tricks table row with category='modifier'. The tricks table row has adds=blank — operator-layer representation"
"Set primitives with NO modifier in DB","sailing","SET formula but no modifier table entry","tricks table only (2 ADD)","unsettled-doctrine","trick only (no modifier)","Source identifies sailing as a SET (TOE > SAME IN [DEX] > OP OUT [DEX]). Modern DB: 2 ADD canonical row but NOT in modifier table"
"Modifiers with NO trick in DB","miraging swirling whirling diving paradox blurry","modifier table only","modifier table only","modifier only","modifier only","6 modifiers in DB modifier table without canonical trick rows"
