candidate_name,source,proposed_formula,proposed_base_trick,proposed_modifiers,proposed_add,reason_safe,multi_source_evidence,notes
Assassin,footbagmoves,Pixie Ducking Mirage,mirage,pixie|ducking|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Blaze,footbagmoves,Blazing Mirage,mirage,whirling|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Mantis,footbagmoves,Gyro Eggbeater,eggbeater,spinning|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Nova,footbagmoves,Symposium Double Legover,double-leg-over,symposium,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Slapdown,footbagmoves,Slapping Butterfly,butterfly,quantum|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Swifter,footbagmoves,Drifter Swirl,swirl,stepping|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Tapdown,footbagmoves,Tapping Butterfly,butterfly,atomic|paradox,4,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Whirlwalk,footbagmoves,Blazing Paradox Whirl,whirl,whirling|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Big Apple,footbagmoves,Gyro Symposium Torque,mobius,spinning|paradox|symposium|symposium,6,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Colossus,footbagmoves,Spyro Diving Symposium Whirl,whirl,spinning|diving|paradox|symposium,6,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Irish Cream,footbagmoves,Neutron Torque,mobius,atomic|gyro|tapping,6,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Bladerunner,footbagmoves,Atomic Eggbeater,eggbeater,atomic,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Darkwalk,footbagmoves,Pixie Diving Butterfly,butterfly,pixie|diving|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Motion,footbagmoves,Double Over Downing Osis,osis,double|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
Predator,footbagmoves,Atomic Double Legover,double-leg-over,atomic|paradox,5,structurally clean; multi-source; no Wave 2,see slice P chain alignment + slice R triage,DO NOT add without explicit curator approval
