"fm_term","fm_description","canonical_ifpa_interpretation","fm_add","ifpa_add","delta","governing_rule","disposition","notes"
"Hurl","Nuclear ss Whirl","nuclear(+2) + whirl(3) + ss(+0)","4","5","-1","SS=+0 universal (Red 2026-05-11)","federation_math_divergence","Case A from RED_PT12_SS_SEMANTICS.md. Folk-alias treatment: do not adopt FM=4 into IFPA. No IFPA dictionary row to update; Hurl is not in freestyle_tricks."
"Barfry","Nuclear ss Butterfly","nuclear(+2) + butterfly(3) + ss(+0)","4","5","-1","SS=+0 universal (Red 2026-05-11)","federation_math_divergence","Case B from RED_PT12_SS_SEMANTICS.md (pt12 item 4). Curated fm_alias_terminology_extract.csv lists 'Nuclear far Butterfly' — disagrees with authoritative inventory ('Nuclear ss Butterfly'); curation review separately needed."
"Godzilla","Nuclear ss Dyno","nuclear(+2) + dyno(4) + ss(+0)","5","6","-1","SS=+0 universal (Red 2026-05-11)","federation_math_divergence","Newly surfaced by SS resolution pass. Matches Hurl/Barfry -1 delta pattern. Not in original packet."
"Maverick","Pixie ss Osis","pixie(+1) + osis(3) + ss(+0)","4","4","0","SS=+0 universal (Red 2026-05-11)","canonical_equivalent","Case D from RED_PT12_SS_SEMANTICS.md. Math agrees under SS=+0; confirms H1."
"Catacomb","Pixie ss Drifter","pixie(+1) + drifter(3) + ss(+0)","4","4","0","SS=+0 universal (Red 2026-05-11)","canonical_equivalent","Newly surfaced. Math agrees under SS=+0."
"Tap Dance","Pixie ss Original Tap","pixie(+1) + tap(3) + ss(+0)","4","4","0","SS=+0 universal (Red 2026-05-11)","canonical_equivalent","Newly surfaced. 'Original Tap' presumably maps to canonical tap (mirage+tapping, 3 ADD). Math agrees under SS=+0."
"Casket","Fairy ss Drifter","fairy(?) + drifter(3) + ss(+0)","4","?","?","SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)","unresolved_other_reason","SS rule applies; row remains blocked on fairy modifier resolution (Q4). Wave-2 Tier-3 insert deferred."
"Flaming Homer","Fairy ss Eggbeater","fairy(?) + eggbeater(3) + ss(+0)","4","?","?","SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)","unresolved_other_reason","Newly surfaced. Fairy-blocked."
"Glaucoma","Fairy ss Double Legover","fairy(?) + double-legover(3) + ss(+0)","4","?","?","SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)","unresolved_other_reason","Newly surfaced. Fairy-blocked."
"Park Avenue","Fairy ss Butterfly","fairy(?) + butterfly(3) + ss(+0)","4","?","?","SS=+0 universal (resolved) + Q4 fairy vocabulary (pending)","unresolved_other_reason","Newly surfaced. Fairy-blocked."
"Leaning Jowler","Leaning ss Mirage","leaning(?) + mirage(2) + ss(+0)","4","?","?","SS=+0 universal (resolved) + leaning modifier (FM-vocab, not in IFPA)","unresolved_other_reason","Newly surfaced. Leaning modifier needs adjudication (similar to fairy/gyro/blazing Q4 class)."
"Phase","Phasing ss Mirage","phasing(?) + mirage(2) + ss(+0)","4","?","?","SS=+0 universal (resolved) + phasing modifier (FM-vocab)","unresolved_other_reason","Newly surfaced. Phasing modifier not in IFPA table."
"Down Double Down","Clipper set ss Double Over Down","clipper-set(?) + double-over-down(?) + ss(+0)","4","?","?","SS=+0 universal (resolved) + clipper-set/double-over-down (unresolved)","unresolved_other_reason","Newly surfaced. Clipper-set is an unusual modifier convention; double-over-down is the base trick formula but unclear if canonical."
"Arch Nemesis","Barraging ss Double Double Down","barraging(?) + double-double-down(?) + ss(+0)","6","?","?","SS=+0 universal (resolved) + barraging modifier (FM-vocab)","unresolved_other_reason","Newly surfaced. Barraging modifier not in IFPA table."
"Bill & Ted's Bogus Journey","Flailing ss Symposium Double Legover","flailing(?) + symposium-double-legover(?) + ss(+0)","6","?","?","SS=+0 universal (resolved) + flailing modifier (FM-vocab; per fm_alias_terminology_extract.csv: 'Flailing = Symposium Atomic')","unresolved_other_reason","Newly surfaced. Flailing is recursive (Flailing = Symposium Atomic per FM extract); recursive resolution pending."
"Compound Fracture","Railing ss Double Legover","railing(?) + double-legover(3) + ss(+0)","6","?","?","SS=+0 universal (resolved) + railing modifier (FM-vocab)","unresolved_other_reason","Newly surfaced. Railing modifier not in IFPA table."
"Nuclear Mirage (same side)","(display-only; no FM technical_name; same-side suffix format)","nuclear(+2) + mirage(2) + ss(+0) = 4 (IFPA-additive); sumo via pt9 X-Dex = 5","4","5","-1","NOT SS — pt9 X-Dex (sumo)","unresolved_other_reason","Case C from RED_PT12_SS_SEMANTICS.md. Independent of SS ruling. Maps to IFPA sumo; sumo's IFPA-additive is 5 per pt9 X-Dex (nuclear + mirage + X-Dex). FM=4 vs IFPA=5 delta is a pt9 issue, not an SS issue."
"(54-row '(same side)' display-suffix cohort)","see legacy_data/out/footbagmoves_inventory_same_side.csv","per-row: <decomposition before suffix> + ss(+0)","various","per-row","per-row","SS=+0 universal (Red 2026-05-11)","per-row review at federation entry; most expected to resolve as canonical_equivalent","54 rows total in legacy_data/out/footbagmoves_inventory_same_side.csv. Per-row classification deferred to federation-review pipeline as each row enters scope. Nuclear Mirage (same side) is in this cohort but governed by pt9 X-Dex, not SS — see row above."
