surface,render_mode,canonical_title,slug,add_value,formula_or_chain,hashtag,aliases,family_chip,discrepancy_marker,media_indicator,context_layer_notes
trick_detail_page,trick-shell,full,full,full,full,full,full,full,full,full,"superset; all sections render fully expanded with prose context"
add_view_card,registry,title-link,data-trick-slug,add chip,inline tokenized equivalence OR op notation,not shown on card,not shown on card,not shown on card,pending pill when applicable,media chip when applicable,"single-line scan density; field order: title · formula · ADD · media · status · placeholder per PRESENTATION_OBJECT_HIERARCHY.md"
family_view_card,registry,title-link,data-trick-slug,add chip,inline tokenized equivalence,not shown on card,not shown on card,family group heading carries family identity (no per-card chip),pending pill when applicable,media chip when applicable,"same as ADD view; family-anchor underline added on matching tokens"
movement_system_view_card,registry,title-link,data-trick-slug,add chip,inline tokenized equivalence,not shown on card,not shown on card,not shown on card,pending pill when applicable,media chip when applicable,"axis context shown via group heading + body definition; per-card identity identical to other registry surfaces"
topology_view_card,registry,title-link,data-trick-slug,add chip,inline tokenized equivalence,not shown on card,not shown on card,not shown on card,pending pill when applicable,media chip when applicable,"observational badge on the view header; per-card identity unchanged"
category_view_card,registry,title-link,data-trick-slug,add chip,inline tokenized equivalence,not shown on card,not shown on card,not shown on card,pending pill when applicable,media chip when applicable,"grouped by grammatical role (dex/body/set/compound); per-card identity unchanged"
component_view_card_legacy_softretired,registry,title-link,data-trick-slug,add chip,inline tokenized equivalence,not shown on card,not shown on card,not shown on card,pending pill when applicable,media chip when applicable,"retirement notice on view body; toggle entry removed; cards themselves render identically (soft retirement)"
landing_core_tricks_grid,core-atom-symbolic,h-style displaySlug,data-trick-slug (via id),add value box (or em-dash pending),≡ readings (1-2 lines per atom),implicit via displaySlug,not shown,not shown,not shown,not shown,"compact symbolic-object pattern; intentional render-mode distinction per V2 invariant 9"
glossary_section10_foundational,core-atom-symbolic,h-style displaySlug,data-trick-slug (via id),add value box (or em-dash pending),≡ readings (1-2 lines per atom),implicit via displaySlug,not shown,not shown,not shown,not shown,"reuses landing partial; idPrefix='term-' so deep links from glossaryAnchors resolve"
related_tricks_panel_on_detail,text-link,title-link,data-trick-slug,not shown (parent surface handles),not shown,not shown,not shown,not shown,not shown,not shown,"context-only cross-link; full identity available by clicking through to /freestyle/tricks/{slug}"
glossary_section6_modifier_cards,text-link-only,not_applicable (modifier card, not trick card),not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,"modifier-feel cards link to /freestyle/tricks?view=movement-system#movement-{slug} for browse — no per-trick identity rendered"
add_analysis_worked_example,text-link,title-link,via href,visible (addLabel pre-shaped),visible (derivation string),not shown,not shown,not shown,not shown,not shown,"derivation is the central pedagogy; not a card per se; field order: heading · components · derivation · why"
combo_analysis_sequence_reference,text-link,title text only,via href,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"sequence-level surface; tricks named in prose with link-throughs"
history_page_cited_tricks,text-link,title text only,via href,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"narrative cite; identity available via click-through"
trick_detail_parallels_sidebar,text-link,title-link,via href,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"parallel-trick cross-link; identity available via click-through"
trick_detail_next_previous,text-link,title-link,via href,not shown,not shown,not shown,not shown,not shown,not shown,not shown,"family-ladder navigation; identity available via click-through"
