slug,canonical_name,adds,base_trick,trick_family,has_op_notation,descendant_count,descendant_slugs,classification,confidence,pending_red,user_named,rationale,curator_action,notes
whirl,whirl,3,whirl,whirl,True,16,blurry-whirl|ducking-whirl|hatchet|montage|mullet|paradox-symposium-whirl|paradox-whirl|rev-up|rev-whirl|spinning-symposium-whirl|spinning-whirl|stepping-whirl|surreal|symposium-whirl|tapping-whirl|tomahawk,root-terminal-family,red-locked,false,false,established root terminal family (whirl/butterfly/mirage/osis/legover/pickup/illusion),,
butterfly,butterfly,3,butterfly,butterfly,True,11,atomic-butterfly|bigwalk|dimwalk|ducking-butterfly|matador|parkwalk|phoenix|ripwalk|sidewalk|spinning-butterfly|tripwalk,root-terminal-family,red-locked,false,false,established root terminal family (whirl/butterfly/mirage/osis/legover/pickup/illusion),,
mirage,mirage,2,mirage,mirage,True,10,atom-smasher|blur|fury|paradox-mirage|smear|sumo|surge|symposium-mirage|tap|witchdoctor,root-terminal-family,red-locked,false,false,established root terminal family (whirl/butterfly/mirage/osis/legover/pickup/illusion),,
torque,torque,4,osis,osis,True,8,atomic-torque|blurry-torque|gauntlet|grave-digger|mobius|paradox-torque|spinal-tap|spinning-torque,branch-family-recognized,red-locked,false,false,Slice M dual-membership already established,,
legover,legover,2,legover,legover,True,6,double-leg-over|eggbeater|flurry|magellan|merkon|pigbeater,root-terminal-family,red-locked,false,false,established root terminal family (whirl/butterfly/mirage/osis/legover/pickup/illusion),,
osis,osis,3,osis,osis,True,6,barraging-osis|blender|ducking-osis|spinning-osis|stepping-osis|torque,root-terminal-family,red-locked,false,false,established root terminal family (whirl/butterfly/mirage/osis/legover/pickup/illusion),,
clipper-stall,Clipper Stall,2,clipper-stall,clipper-stall,True,5,drifter|ducking-clipper|high-plains-drifter|reaper|spinning-clipper,family-retired,red-locked,false,false,family retired in Slice M (browse surface only),,
barfly,barfly,4,infinity,infinity,True,4,blurriest|nemesis|superfly|venom,branch-family-candidate,speculative,true,true,"mirrors Slice M dual-membership pattern: 4 descendants, row sits in 'infinity' family while descendants reference 'barfly'. Curator must verify conserved descendant logic before promotion.",,
blender,blender,4,osis,osis,True,4,food-processor|mind-bender|paradox-blender|spender,branch-family-recognized,red-locked,false,false,Slice M dual-membership already established,,
drifter,drifter,3,clipper-stall,clipper-stall,True,4,paradox-drifter|smoke|tombstone|vortex,branch-family-recognized,red-locked,false,false,Slice M dual-membership already established,,
pickup,pickup,2,pickup,pickup,True,4,legeater|omelette|paste|scrambled-eggbeater,root-terminal-family,red-locked,false,false,established root terminal family (whirl/butterfly/mirage/osis/legover/pickup/illusion),,
double-leg-over,double leg over,3,legover,legover,False,3,fog|haze|smog,branch-family-candidate,speculative,true,false,"mirrors Slice M dual-membership pattern: 3 descendants, row sits in 'legover' family while descendants reference 'double-leg-over'. Curator must verify conserved descendant logic before promotion.",,
illusion,illusion,2,illusion,illusion,True,2,flail|smudge,root-terminal-family,red-locked,false,false,established root terminal family (whirl/butterfly/mirage/osis/legover/pickup/illusion),,
blur,blur,4,mirage,mirage,True,0,,modifier-system-derivative,pattern-derived,false,true,row is a compound expression in mirage family; no structural descendants; not a branch-family anchor.,,
ripwalk,ripwalk,4,butterfly,butterfly,True,0,,modifier-system-derivative,pattern-derived,false,true,row is a compound expression in butterfly family; no structural descendants; not a branch-family anchor.,,
phoenix,phoenix,5,butterfly,butterfly,True,0,,modifier-system-derivative,pattern-derived,false,true,row is a compound expression in butterfly family; no structural descendants; not a branch-family anchor.,,
mobius,mobius,5,torque,torque,True,0,,branch-family-member,red-locked,false,true,row is a member of the torque branch family; not its own anchor.,,
ripstein,ripstein,4,,ripstein,False,0,,naming-accident-suspect,speculative,false,true,row's trick_family equals own slug but no descendants exist. Possibly a data-debt artifact or stalled-branch intent.,,
blurry-torque,blurry torque,6,torque,torque,False,0,,branch-family-member,red-locked,false,true,row is a member of the torque branch family; not its own anchor.,,
nemesis,nemesis,6,barfly,barfly,False,0,,unclassified,speculative,true,true,no descendants; structural role unclear from DB alone.,,
