surface,information_kind,present_in_category_view,present_in_movement_system_view,present_in_family_view,present_in_add_view,present_in_topology_view,present_in_component_view,unique_to_category_view,notes
groups by dex/body/set/compound,grammatical-role bucket,YES,partial (set+body as axes; dex+compound implicit),NO,NO,NO,NO,YES,Category view is the only place that surfaces the dex/body/set/compound role axis as a top-level grouping
groups by trick family (mirage/whirl/...),family lineage,NO,NO,YES,NO,NO,NO,NO,Family view owns this
groups by ADD bucket,difficulty,NO,NO,NO,YES,NO,NO,NO,ADD view owns this
groups by operator (pixie/atomic/symposium/...),operator,NO,YES (movement-system axes),NO,NO,NO,YES (component),NO,Movement-system + component share this axis
groups by topology (rotational/translational/...),observational neighborhood,NO,NO,NO,NO,YES,NO,NO,Topology view owns this
links category groups via #category-* anchors,deep-link target,YES,NO,NO,NO,NO,NO,YES,Only inbound deep-link surface using #category-{slug} pattern
cards rendered with role-classified tokens,card primitive,YES,YES,YES,YES,YES,YES,NO,Shared dictionary-trick-card partial
modifier rows hidden (resolveTrickKind),trick-kind filter,YES,YES,YES,YES,YES,YES,NO,Shared filter across all views
section count chips,UI affordance,YES,YES,YES,YES,YES,YES,NO,Shared
shared-family terminal-structure invariant,family invariant,NO,NO,YES,NO,NO,NO,NO,Family view only (Slice I)
observational disclaimer footer,layer separation,NO,NO,NO,NO,YES,NO,NO,Topology view only
two-level axis>group grouping,nav hierarchy,NO,YES,NO,NO,NO,YES,NO,Movement-system + component share
axis-jump nav,UX affordance,NO,YES,NO,NO,NO,YES,NO,Movement-system + component share
external-link from a different view,inbound link,referenced by movement-system view in its footer,linked from category view,family-cross-link target,not linked,not linked,linked from category view,YES (other views point IN),Other views reference category view's existence
test coverage,integration test count,~14 specs in freestyle.category-view + ~6 in tricks-insights + 1-3 each in 3 other files,similar volume,similar volume,similar volume,similar volume,similar volume,NO,Category view is well-tested but the tests can move
historical role (legacy),legacy ?view=category was the original dictionary browse default,YES,N/A (newer),N/A (newer),N/A (newer),N/A (newer),N/A (newer),YES,Category view predates the other grouping views
