"equivalence_family","symbolic_normalization","member_tricks","ifpa_decomposition_variance","add_range","notes","observational_status"
"butterfly-wing-on-modifier","modifier + butterfly","ripwalk, dimwalk, sidewalk, dada-curve, matador, bigwalk, parkwalk, phoenix, tripwalk, arcwalk","stepping+butterfly (ripwalk/sidewalk per pt11); pixie+butterfly (dimwalk/parkwalk); nuclear+butterfly (matador); quantum+butterfly (tripwalk); self-atom (dada-curve); various 5-ADD multi-modifier (bigwalk, phoenix)","3-5","All members share the butterfly wing-motion mechanic + cross-body clipper recovery (xbd). IFPA decompositions vary across stepping / pixie / nuclear / quantum / multi-modifier / self-atom but the SYMBOLIC topology is the same wing-pattern.","observational"
"toe-set-hippy-in-dex","[set]>hippy in dex>op toe","mirage, atom-smasher, blur (Stepping Paradox Mirage), smear (Pixie Mirage), sumo (Nuclear Mirage + X-Dex)","mirage(2) base; +1 modifier compounds (smear 3); +2 multi-modifier (atom-smasher 4); +3 multi-modifier (sumo 5)","2-5","Mirage's canonical in-to-out hippy-dex pattern, recovered on opposite toe. All members preserve the hippy-in-dex uptime mechanic regardless of which modifiers are stacked.","observational"
"toe-set-hippy-out-dex","[set]>hippy out dex>op toe","illusion, smudge (Pixie Illusion), flail (Symposium Illusion)","illusion(2) base; +1 modifier compounds (smudge 3, flail 3)","2-3","Mirror of the hippy-in-dex family; out-to-in directional travel preserved across modifier stacks.","observational"
"clipper-set-leg-pass-toe","[set]>leggy pass>op toe","legover, eggbeater (atomic-legover), pigbeater (pixie+eggbeater), scrambled-eggbeater (atomic+pickup → legover-family), flurry (barraging+legover)","legover(2); atomic+legover=eggbeater(3); pixie+eggbeater=pigbeater(4); barraging+legover=flurry(asserted 4 vs modifier-table 3 conflict)","2-4","Leg-pass mechanic on legover base. Flurry surfaces a §3.2 disposition conflict (asserted=4 vs computed=3); other members close cleanly via modifier+base arithmetic.","observational"
"under-foot-scoop","[set]>under-foot scoop>op toe","pickup, paste (pixie+pickup), legeater (quantum+pickup), pigbeater (eggbeater-family overlap), scrambled-eggbeater (atomic+pickup)","pickup(2); pixie+pickup=paste(3); quantum+pickup=legeater(3); atomic+pickup=scrambled-eggbeater(3)","2-3","Pickup base + scoop mechanic. All compound members add +1 via set modifier (pixie/quantum/atomic-non-rot).","observational"
"leg-circle-around-bag","[set]>leggy circle>op toe","ATW (around-the-world), double-around-the-world","ATW(2) base; double-ATW(3) per pt8 multiplicity-stabilization","2-3","Full-circle leg pass around bag. The multiplicity exception (double-ATW) at +1 vs ATW's single circle.","observational"
"rotational-body-spin","[set]>spin>op toe","whirl, swirl, mobius (gyro+torque chain), surgery (rev-whirl+paradox+spinning)","whirl(3) anchor; swirl(3) reverse-direction sibling; +N modifiers produce 4-6 ADD compounds","3-6","Rotational-axis body spin during dex moment. Whirl/swirl direction-variant pair anchors; modifier stacking produces extensive compound family.","observational"
"set-arc-and-stepping","[set]>op out dex>step>op clip (xbd)","ripwalk, sidewalk, bigwalk, parkwalk (5th walking-family member)","stepping+butterfly (ripwalk/sidewalk); pixie+butterfly with ss (parkwalk); pixie+butterfly natural (dimwalk); various 5-ADD multi-modifier (bigwalk)","4-5","Butterfly-wing motion with a mid-arc stepping action OR same-side direction lock. The walking-family equivalence class — same wing topology, different support-leg behavior. Dada-curve (4-ADD self-atom) sits as the no-step variant.","observational"
"xdex-compound","[set]>op out dex>op in dex(xdex)>op toe","atom-smasher, witchdoctor, sumo, merlin, voodoo, omelette (illusioning-pickup)","XDEX flag in operational stack; pt1 ruled XDEX narrow (specific tricks only). ADD counts vary per row.","3-6","FM operational notation marks XDEX broadly; IFPA pt1 narrows XDEX to specific tricks. The equivalence-family classification is observational on the XDEX flag's presence, not on IFPA ADD-additivity.","observational"
"barfly-double-loop","[set]>same out dex>same out dex>op clip","barfly, superfly (symposium+barfly), nemesis (furious+barfly), venom (3-mod on barfly)","barfly(4) anchor; +1 single-modifier (superfly 5); +2 furious-rotational on barfly (nemesis 6); 3-modifier (venom 7)","4-7","Double-infinity body loop pattern. Modifier compounds preserve the double-loop mechanic; nemesis surfaces §3.2 row-specific furious-rotational accounting on barfly.","observational"
"stated-ADD-policy-class","[set]>(complex compound)>(complex recovery); row-asserted","nemesis, jani-walker, bullwhip","CANONICALIZATION_POLICY §3.2: stated ADD does not reduce to modifier+base arithmetic; row carries asserted value at row level.","5-6","Three published §3.2 policy-class exemplars at pilot tier. Each row's symbolic notation is a complex compound whose canonical reading is row-asserted rather than modifier-derived.","observational"
"directional-reverse-pair","[set]>(base mechanic, reverse direction)>(mirrored finish)","drifter / reverse-drifter, whirl / rev-whirl, rev-up (whirl direction-variant)","Each pair: same base mechanic, opposite directional travel. Asserted ADD identical across pair.","3","Direction-is-structural canonical-row rule. The two pilot pairs (drifter/reverse-drifter + whirl/rev-whirl) establish direction as a canonical-row determiner.","observational"
"productive-multiplicity-stabilized","[set]>(base mechanic twice off one set)>(recovery)","double-leg-over, double-around-the-world, double-spin","pt8 §10 community-stabilized exceptions only; productive multiplicity otherwise rejected.","2-3","Three stabilized doubling exceptions in IFPA. SCALE-11 promoted double-around-the-world; double-spin remains non-pilot.","observational"
"unusual-surface-recovery","[set]>(uptime mechanics)>op flapper (uns)","Buttersole, Ricochet, Singularity","UNS flag in operational stack; non-standard delay surface (flapper/sole/cloud/head/knee).","3-4 (small cohort)","FM operational notation marks UNS for unusual-surface delays. The IFPA dictionary maintains the broader stall surface taxonomy separately.","observational"
"recursive-set-name","(named-trick)>(continuation)","Dragonstein (Dragon-prefix), Arcwalk (Frigidosis-prefix), +others","Substructure-as-set pattern: a known canonical trick name appears as the leading position of another's notation, treated as the set-source for the continuing sequence.","varies","Pattern is legitimate (per OPERATIONAL_NOTATION_GRAMMAR.md F0 docs); current parser flags the leading non-contact token as 'unresolved' but it functions as a known sub-trick substitution.","observational"
"same-side-direction-cohort","[set]>(uptime mechanics ss)>(recovery ss)","sidewalk, parkwalk, ripstein (Swirl ss double), dada-curve (Dada Curve ss in records sort_name)","ss qualifier in records sort_name OR same-side execution as canonical-row identity. ss=+0 per pt12 ruling (universally).","varies","54-row same-side display-suffix cohort in records; pt12 SS ruling 2026-05-11 confirmed ss does not contribute ADD.","observational"
"spinning-stepping-surge","[set]>(spinning + stepping uptime)>(recovery)","surge, surgery, surreal","Folk surging = spinning+stepping decomposition. SCALE-8 surge + surgery (flagship rows); SCALE-9 surreal extends pattern.","5-6","Folk shorthand 'surging' = spinning+stepping in compound; expanded canonically in pilot prose.","observational"
"witchdoctor-class-atomic-symposium","[set]>(atomic + symposium uptime)>(recovery)","witchdoctor, +pending Red pt12 Q2 cohort","atomic + symposium + mirage = 4 asserted vs additive 5 (pt12 Q2 ontology question; Red-pending).","4","Single confirmed example; pt12 Q2 drafts 5 multiple-choice options for the ontology rule. Future cohort dependent on Red answer.","observational"
"blurry-transitive-cohort","[set]>(blurry uptime as transitive expansion of stepping+paradox+X)>(recovery)","blur, blurry-whirl, blurry-torque, food-processor, blurriest","pt12 Q1 transitive-blurry expansion hypothesis: blur = Stepping Paradox Mirage per pt11; equivalent compounds for blurry-whirl / blurry-torque / food-processor / blurriest pending Red.","4-6","Five Red-blocked rows pending pt12 Q1 answer. Currently approximate parser status.","observational_pending"
