pattern_class,pattern_name,fm_example,frequency,modern_analog,structural_role,notes
opening,SET-anchored opener,SET > ... > ... [DEL],4 (Leg Over Mirage Butterfly Osis Symposium-Mirage),"ATAM grammar uses both [set] (bracketed) and SET (token) as opener","Initial bag-launch position; non-leg-specific","Used for body-class atom openers where leg-anchoring is unspecified (curator or learner chooses)"
opening,CLIP-anchored opener,CLIP > ... [XBD] [DEL],11 (most compounds),"Modern operational notation typically also uses CLIP > ...","Initial cross-body clipper position","Most common opener; encodes cross-body-anchor structurally"
opening,TOE-anchored opener,TOE > ... [DEL] or > ... [XBD] [DEL],3 (Paradon Spinning-Osis-alt Symposium-Mirage-set),"Modern operational notation uses TOE > ...","Initial toe-stall position","Less common; used when the toe-position is structurally important (e.g. Paradon's toe-set requirement)"
core-segment,single-dex (one dex action),> OP IN [DEX] > / > OP OUT [DEX] >,2 (Mirage Leg Over),"Modern: same pattern","Core 2-ADD dex atom","The base atom shape"
core-segment,double-dex (two dex actions),> OP IN [DEX] > OP OUT [DEX] > / > SAME OUT [DEX] > OP OUT [DEX] >,2 (Ripwalk Paradon),"Modern: same pattern","Core 4-ADD compound shape","Two dex segments separated by single > arrow"
core-segment,paradox-dex (PDX flag on dex),> SAME IN [PDX] [DEX] > or > OP IN [PDX] [DEX] >,4 (Paradox Mirage Blur Paradox Torque),"Modern: same pattern; sometimes [PDX] AFTER [DEX]; sometimes BEFORE [DEX]","Side-change dex","Note token-order: FM source places [PDX] BEFORE [DEX]; modern DB has both orderings — token-position needs canonicalization"
core-segment,no-plant-dex,> (no plant while) OP IN [BOD] [DEX] >,1 (Symposium Mirage),"Modern: typically encoded as separate SYMP operator","Symposium element on dex","The (no plant while) parenthesized phrase + [BOD] [DEX] flags is the structural encoding"
core-segment,single-spin,> (back or front) SPIN [BOD] >,3 (Osis Torque Mobius),"Modern: (back) SPIN [BOD]","Single rotation segment","FM allows back/front choice; modern typically picks one direction or supplies parenthetical alternate"
core-segment,double-spin,> (back) SPIN [BOD] > (back) SPIN [BOD] >,2 (Spinning Osis Mobius),"Modern: (back) SPIN [BOD] > (back) SPIN [BOD]","Double rotation segment","Encodes Spinning Osis structurally + Mobius's gyro-torque core"
core-segment,spin-followed-by-dex,> (back) SPIN [BOD] > SAME IN [DEX] >,1 (Mobius),"Modern: same pattern","Combined rotation + dex","Mobius's distinctive structural element"
terminal,OP-TOE clipper-style,> OP TOE [DEL],4 (Mirage Paradox-Mirage Symposium-Mirage Blur),"Modern: same pattern","Toe-stall terminal","Used for mirage-family endings"
terminal,SAME-TOE clipper-style,> SAME TOE [DEL] / > SAME TOE [XBD] [DEL],2 (Leg Over Paradon),"Modern: same pattern","Same-side toe-stall terminal","Used for leg-over-family endings"
terminal,OP-CLIP cross-body,> OP CLIP [XBD] [DEL],12 (most compounds),"Modern: same pattern","Cross-body clipper terminal","Most common terminal; encodes the cross-body landing structurally"
terminal,SAME-CLIP cross-body,> SAME CLIP [XBD] [DEL],1 (Spinning Osis alt-form),"Modern: less common","Same-side clipper terminal","Used when the spin ends on the same leg as started"
modifier-encoding,implicit-operator-naming,Stepping Opposite Osis / Stepping Opposite Side Butterfly / Stepping Paradox Mirage / Gyro Torque,4 (Torque Ripwalk Blur Mobius),"Modern chain reading registry preserves these in 'readings' arrays","Parenthetical compact reading","FM source uses parenthetical compact readings as the bridge between fully-operational notation and shorthand. Worth preserving in glossary §7"
alternation,SAME-or-OP variant,SAME or OP OUT [DEX] / SAME or OP CLIP,2 (Butterfly Osis terminals),"Modern: does not typically encode alternation; one form is picked canonical","Either-or marker","FM allows learner choice at structural decision points; modern doctrine resolves to a single canonical (with the alternate as alias or variant)"
alternation,back-or-front spin,(back or front) SPIN [BOD],1 (Osis base atom),"Modern: typically picks one direction or notes both as legitimate","Either-or marker","Osis base atom allows back/front spin; later compounds (Spinning Osis Mobius) pick (back)"
casing-style,parenthesized-modifier lowercase,(back) / (back or front) / (no plant while),5,Modern: lowercase parenthesized modifier consistent,"Stylistic marker","Lowercase used in earlier moves"
casing-style,parenthesized-modifier uppercase,(BACK),3 (Mobius Paradox Torque Spinning Osis last variant),Modern: lowercase is canonical,"Stylistic inconsistency","FM source has lowercase/uppercase inconsistency within the document. Modern canonical convention is lowercase parenthesized modifier"
