source_section,example_name,normalized_name,source_formula,compact_notation,add_count,operator_tokens,movement_class,paradox_semantics,support_leg_semantics,notes
"3 adds",Paradox Illusion,paradox-illusion,CLIP > SAME OUT [PDX[DEX] > OP TOE [DEL],,3,"clip;same;out;pdx;dex;op;toe;del",paradox-illusion-base,"SAME OUT [PDX] [DEX] — paradox flag on out-dex from same leg","support leg planted at clip; PDX leg circles around support leg","Source: 'A Paradox Reverse Mirage. From a clipper set... out to in dexterity with the setting foot.' Source has typo '[PDX[DEX]' (missing close bracket)"
"3 adds",Paradox Mirage,paradox-mirage,CLIP > SAME IN [PDX] [DEX] > OP TOE [DEL],,3,"clip;same;in;pdx;dex;op;toe;del",paradox-mirage-base,"SAME IN [PDX] [DEX] — paradox flag on in-dex from same leg","support leg planted at clip; paradox leg completes tight S-shape","Source description: 'tight sharp S shape with the support leg in the first loop and the footbag in the second loop'"
"4 adds",Inspinning Paradox Illusion,inspinning-paradox-illusion,"CLIP > (front) SPIN [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL] OR TOE > (front) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL]",,4,"clip;toe;front;spin;bod;same;op;out;pdx;dex;op;toe;del",front-spin-paradox-illusion,"front-spin followed by paradox-out-dex","support leg used for the spin and then for the paradox dex","Source provides TWO complete operational variants (CLIP-start and TOE-start)"
"4 adds",Inspinning Paradox Mirage,inspinning-paradox-mirage,"CLIP > (front) SPIN [BOD] > SAME IN [PDX] [DEX] > OP TOE [DEL] OR TOE > (front) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL]",,4,"clip;toe;front;spin;bod;same;op;in;pdx;dex;op;toe;del",front-spin-paradox-mirage,"front-spin then paradox-in-dex",same as above,"Source provides TWO operational variants"
"4 adds",Paradox Barrage,paradox-barrage,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],,4,"clip;same;in;pdx;dex;op;toe;del",paradox-barraging-mirage,"first dex is paradox; second dex on same leg without paradox","support leg moves the body around after paradox; setting leg does double in-dex","Source: 'circle the bag with the right foot from in to out twice then end on a left foot toe delay'"
"4 adds",Paradox Blizzard,paradox-blizzard,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,,4,"clip;same;in;pdx;dex;op;out;dex;op;toe;del",paradox-mirage-then-illusion,"paradox-in-dex followed by op-out-dex on opposite leg","support leg switches between the two dex actions","Source has trailing period after [DEL]"
"4 adds",Paradox Blur,paradox-blur,CLIP > SAME IN [PDX] [DEX] > OP IN [DEX] > OP TOE [DEL],,4,"clip;same;in;pdx;dex;op;in;dex;op;toe;del",paradox-mirage-stepping-mirage,"paradox-in followed by op-in (two in-dexes; one paradox one not)","support leg switches; the second leg becomes the new support before the second dex","Note: distinct from Blur (Stepping Paradox Mirage) which is OP IN > OP IN [PDX] — same tokens different order"
"4 adds",Paradox Double Leg Over,paradox-double-leg-over,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],,4,"clip;same;in;pdx;dex;op;out;dex;same;toe;del",paradox-mirage-then-legover,"paradox-in then op-out ending same-toe (legover terminal)","setting leg does paradox then becomes support; opposite leg does legover dex","Source: 'a paradox mirage with an extra legover at the end'. Modern DB has double-leg-over with chain 'miraging legover' (Red pt4) — paradoxMoves uses different framing"
"4 adds","Royale (Paradox Reverse Drifter)",royale,CLIP > SAME OUT [PDX] [DEX] > SAME CLIP [XBD] [DEL],paradox reverse drifter,4,"clip;same;out;pdx;dex;same;clip;xbd;del",paradox-reverse-drifter,"paradox-out-dex ending same-clip (cross-body, same leg)","setting leg does the paradox out-dex and returns to clipper position",Folk-named row in DB; chain reading 'paradox reverse drifter' Red pt5-locked
"4 adds",Paradox Symposium Mirage,paradox-symposium-mirage,CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],,4,"clip;plant;no-plant;same;in;pdx;bod;dex;op;toe;del",paradox-symposium-mirage,"clip with plant marker; then no-plant paradox-in-dex with body flag","support leg plants briefly then symposium hop; setting leg does the paradox dex without landing","Source description: 'set the footbag from your right foot clipper and switch your support leg... without planting the left foot'. Note the explicit (plant) marker after CLIP"
