case_id,trick_name,ifpa_add,external_source,external_add,delta,decomposition_difference,pattern_class,red_status,safety,wording_template,wave2_dependency,notes
DC-01,Hurl,5,fm,4,-1,Nuclear ss Whirl: IFPA counts ss as +0; FM treats ss as ADD-additive,positional,settled_red_2026_05_11_ss_universal_zero,ship_now_safe,"FM decomposes this as nuclear (+2) + ss (treated as +1) + whirl (3) for 6 then subtracts; IFPA's canonical math treats same-side (ss) as +0 (Red 2026-05-11) for nuclear (+2) + whirl (3) + ss (+0) = 5.",none,Pure SS pattern; pedagogically rich because the positional-operator distinction is structural
DC-02,Barfry,5,fm,4,-1,Nuclear ss Butterfly: same SS pattern as Hurl,positional,settled_red_2026_05_11_ss_universal_zero,ship_now_safe,Same wording template as Hurl with Butterfly base substitution,none,Mirrors DC-01 on butterfly base
DC-03,Godzilla,6,fm,5,-1,Nuclear ss Dyno: same SS pattern,positional,settled_red_2026_05_11_ss_universal_zero,ship_now_safe,Same wording template as Hurl with Dyno base substitution,none,Mirrors DC-01 on dyno base
DC-04,Blurry Whirl,5,curator,5,0,Compression: blurry = stepping paradox (pt11 transitive); both readings reach 5,compression_vs_expansion,settled_red_pt11_plus_wave_1_2026_05_15,ship_now_safe,"In IFPA's framing both readings work: the compressed form 'blurry whirl' (where blurry contributes +1 through the stepping-paradox structure) and the expanded form 'stepping (+1) + paradox (+1) + whirl (3)' arrive at the same 5 ADD. The shorter folk name is what players say; the structural reading is no less correct.",none,Pt12 transitive-blurry packet resolved into this; pedagogically illustrates stopping-depth ambiguity
DC-05,Blurry Torque,6,curator,6,0,Compression: blurry transitively expands the compound torque base,compression_vs_expansion,settled_red_pt11_plus_wave_1_2026_05_15,ship_now_safe,Same compression template as Blurry Whirl with torque substitution,none,Demonstrates that the transitive-blurry rule applies to compound bases not only primitives
DC-06,Food Processor,6,curator,6,0,Compression: blurry blender ≡ stepping paradox blender ≡ stepping paradox whirling op osis,compression_vs_expansion,settled_wave_1_2026_05_15,ship_now_safe,"The trick's name is a folk compression of stepping paradox blender. Both readings reach 6: blurry (+1) + blender (4) = 5? No — blurry transitively expands so the count is 1 + 1 + blender (4) = 6 only when blurry contributes through stepping-paradox alongside an existing whirling. The Red ruling clarified this is structurally 'stepping paradox blender'.",none,The most pedagogically rich case because it cascades compression through a compound base
DC-07,Mobius,5,curator,5,0,Two valid stopping depths: gyro torque = 5; spinning ss miraging osis = 5,compression_vs_expansion,settled_red_pt11_plus_wave_1_2026_05_15,ship_now_safe,"Two valid decompositions reach the same ADD: 'gyro torque' (gyro +1 + torque 4 = 5) and the deep form 'spinning ss miraging osis' (spinning +1 + ss +0 + miraging +1 + osis 3 = 5). Players say mobius; analysts can unfold to either depth. The language picks its own stopping point.",none,The dictionary's first explicit multi-description equivalence showcase
DC-08,Atom Smasher,4,curator,4,0,Hidden X-dex carries +1 through 'atomic mirage' compound,hidden_mechanism,settled_red_2026_05_15_x_dex_from_toe,ship_now_safe,"The straight count would be atomic (+1 non-rotational on mirage) + mirage (2) = 3 — but atom smasher carries an implicit X-dex from a toe that adds +1, giving 4. This 'hidden +1' is what makes atomic-on-rotational-base = +2 rather than +1 in some contexts; the X-dex is the mechanical reason.",partial_W2_Q3_x_dex_doctrine,Wave 2 Q3 will refine the X-dex preservation rule; this row is safe to use as an example BECAUSE the Red ruling explicitly named atom-smasher
DC-09,Baroque,5,curator,5,0,Barraging contributes through dex-multiplication: 2 dexes + osis = 5,operator_class,settled_wave_1_2026_05_15_barraging_two_dexes,ship_now_safe,"Baroque (= Barraging Osis) decomposes as two dexes plus the osis base — barraging's contribution is structural (it multiplies the dex count) rather than modifier-additive. Two dexes (+2) + osis (3) = 5.",partial_W2_Q6_barraging_operator_class,Wave 2 Q6 will determine whether barraging is a body modifier or set primitive generally; the Baroque ruling is named and safe to cite
DC-10,Bladerunner,4,fm,5,1,Recursive operator: FM names 'Atomic Eggbeater' but eggbeater already IS atomic legover (pt4),recursive_operator_application,settled_pt4_eggbeater_equals_atomic_legover,ship_now_safe,"FM's 'Atomic Eggbeater' applies atomic twice — once via the canonical eggbeater (which is atomic legover per pt4) and again as the surface modifier. IFPA's canonical math doesn't apply atomic recursively: atomic (+1) + legover (3) = 4 already covers the structural meaning.",none,Cleanest illustration of recursive-operator-rejection rule
DC-11,Eggbeater,3,fm,3,0,IFPA reads as atomic legover (pt4); FM and PB both read as Illusioning Legover,operator_class_disagreement,pending_Y_Q1_atomic_vs_illusioning,controversial_defer,N/A — defer pending curator alignment on whether to surface this disagreement,Y-Q1 atomic vs illusioning conjecture,Cross-source disagreement on a pt-locked row; defer
