pattern_class,pattern_name,source_examples,frequency,modern_analog,structural_role,notes
opening-anchor,TOE-anchored set,pixie fairy quantum atomic slapping tapping terraging sailing frantic fairy-atomic fairy-spinning pixie-inspinning neutron,13 of 50 source entries,Modern: same pattern,"TOE-anchored sets are the most common — toe-set + dex execution before downtime continuation"
opening-anchor,CLIP-anchored set,nuclear stepping bubba barraging blurry shooting furious sonic leaning go-go twinspinning swirling whirling blazing scattered shattered pogo blistering broken,18 of 50 source entries,Modern: same pattern,"CLIP-anchored sets are common for stepping/whirling/blazing family compounds"
opening-anchor,SET-generic-anchored,miraging flailing peeking surging ducking diving spinning inspinning,8 of 50 source entries,Modern: same pattern,"Generic SET token — anchor-agnostic; can be toe or clip"
opening-anchor,UNS (unusual surface) anchored,finchy (PINCH) pixie-pinching (PINCH) twisted (DRAGON) snapping (DRAGON) arctic (FRIGIDOSIS) zoid (TOE+CLIP rooted),6 of 50 source entries,Modern: NOT in DB,"Unusual-surface openers (PINCH DRAGON FRIGIDOSIS) — out-of-scope for modern doctrine but historically named"
core-segment,single-dex,> SAME/OP IN/OUT [DEX] >,~25 of 50,Modern: same pattern,"Single dex action defines the simplest set primitives (pixie fairy quantum atomic)"
core-segment,double-dex,> X [DEX] > X [DEX] >,~10 of 50 (terraging barraging fairy-atomic sailing pogo blurry shooting),Modern: same pattern,"Double dex action defines higher-ADD set compounds"
core-segment,triple-dex,> X [DEX] > X [DEX] > X [DEX] >,1 of 50 (furious),Modern: same pattern,"3-dex chain — used only in furious set"
core-segment,spin-element,> (BACK/FRONT) SPIN [BOD] >,~12 of 50,Modern: (back) SPIN [BOD] aligned,"Universal spin element — back-spin for spinning/gyro/blistering; front-spin for inspinning"
core-segment,body-action (DUCK/DIVE),> DUCK [BOD] / > DIVE [BOD],2 of 50 (ducking diving),Modern: same pattern,"Body-action components for head-path family"
core-segment,no-plant-element,> (no plant while) X >,2 of 50 (flailing pogo),Modern: same pattern (with symposium ambiguity),"Symposium/pogo element — cross-references 4-audit (no plant while) doctrinal question"
core-segment,paradox-flag-element,> X [PDX][DEX] >,2 of 50 (shooting twisted),Modern: same pattern,"Paradox flag explicit in set definitions for shooting + twisted"
continuation-marker,(same side component),(same side component) trailing marker,4 of 50 (slapping tapping whirling broken),Modern: implicit via SAME/OP tokens,"Source uses explicit '(same side component)' trailing marker to indicate the continuation pattern. Modern grammar uses leg-anchor tokens"
continuation-marker,(op side component),(op side component) trailing marker,5 of 50 (quantum atomic blurry blazing neutron),Modern: implicit via SAME/OP tokens,"Op-side continuation marker"
continuation-marker,(same dex component),(same dex component) trailing marker,1 of 50 (gyro),Modern: NOT distinguished,"Unique to gyro definition — distinguishes gyro from spinning by continuation"
formula-completeness,prefix-only (no terminal),"all sets end with > (no [DEL] terminal flag)",50 of 50,Modern: same convention,"Sets are PREFIXES — they explicitly END at the > marker; the downtime (catch/kick) is the body trick that follows"
formula-completeness,no-formula-given,"infracting rooted zoid",3 of 50,—,—,"3 entries have no operational formula — defined by description only"
(plant)-marker,explicit-plant-marker,(plant) marker,1 of 50 (tapping),Modern ATAM grammar: no (plant) marker,"Tapping uses '(plant) > (same side component)' to distinguish from Atomic"
swirl-element,SAME/OP back/front SWIRL token,SAME BACK/FRONT SWIRL [DEX] or SAME FRONT SWIRL [DEX],2 of 50 (swirling snapping),Modern: less common; OP BACK SWIRL [DEX] in compounds,"Source uses leg-anchor + direction + SWIRL [DEX] as a compound construct"
