alias_text,target_slug,target_active,proposed_alias_type,proposed_alias_display,reason,action
2 bag juggle,2_bag_juggling,1,common,True,synonym,keep
3 bag juggle,3_bag_juggling,1,common,True,synonym,keep
3atw,triple_around_the_world,1,historical,False,folk-nickname,"retype historical, display curator-decide"
69,nuclear_drifter,1,historical,False,folk-nickname,"retype historical, display curator-decide"
Dasein,sailing_butterfly,1,historical,False,folk-nickname,"retype historical, display curator-decide"
Dominatrix,sailing_mirage,1,common,True,synonym,keep
Fracture,sailing_double_leg_over,1,common,True,synonym,keep
Frantic Legover,pixie_quantum_legover,1,structural,True,decomposition-phrase,keep (curator confirm display)
Godzilla,nuclear_dyno,1,common,True,synonym,keep
Merlin,miraging_symposium_mirage,1,historical,False,folk-nickname,"retype historical, display curator-decide"
Sail Down,sailing_butterfly,1,common,True,synonym,keep
Spyro Pickup,pandora,0,suppressed,False,inactive-target,suppress-or-repoint
Stepping op Squeeze,miraging_pincher,0,suppressed,False,inactive-target,suppress-or-repoint
Terminator,nuclear_double_leg_over,1,common,True,synonym,keep
alpine atomsmasher,atomic_ducking_mirage,1,common,True,synonym,keep
alpine fusion,id,1,common,True,synonym,keep
alpine plo,pixie_ducking_legover,1,technical,False,abbreviation,"retype technical, display=false"
alpine ripwalk,stepping_ducking_butterfly,1,common,True,synonym,keep
alpine sidewalk,stepping_diving_butterfly,1,common,True,synonym,keep
alpine spinning whirl,spinning_ducking_whirl,1,structural,True,decomposition-phrase,keep (curator confirm display)
alpine super mario,spinning_ducking_symposium_torque,1,common,True,synonym,keep
alpine superduperfly,spinning_ducking_superfly,1,common,True,synonym,keep
alpine void,morpheus,1,common,True,synonym,keep
alpine-big-apple,gyro_ducking_symposium_torque,1,common,True,synonym,keep
armaggedon,miraging_symposium_eggbeater,1,common,True,synonym,keep
assassin (ss),assassin_same_side,1,common,True,synonym,keep
atomic dlo,atomic_double_leg_over,0,suppressed,False,inactive-target,suppress-or-repoint
atomic dod,fusion,1,technical,False,abbreviation,"retype technical, display=false"
atomic double leg over,predator,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic double over down,fusion,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic down-over-down,fusion,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic ducking far double down,id,1,structural,True,positional-in-a-distinct-name,keep (curator confirm display)
atomic ducking whirl,ego,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic far double down,fusion,1,structural,True,positional-in-a-distinct-name,keep (curator confirm display)
atomic gyro torque,irish_cream,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic legover,eggbeater,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic mirage,atom_smasher,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic osis,flux,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomic pickup,omelette,1,structural,True,decomposition-phrase,keep (curator confirm display)
atomsmasher,atom_smasher,1,common,True,canonical-spelling-variant,keep
atw,around_the_world,1,common,True,synonym,keep
atw heel,around_the_world_heel,1,common,True,synonym,keep
atw kick,around_the_world_kick,1,structural,True,decomposition-phrase,keep (curator confirm display)
back,spyro_illusion,0,suppressed,False,inactive-target,suppress-or-repoint
backside symposium toe blur,quantum_symposium_mirage,1,structural,True,decomposition-phrase,keep (curator confirm display)
bar fly,barfly,1,common,True,canonical-spelling-variant,keep
baroque,barraging_osis,1,common,True,synonym,keep
barraging far double down,nemesis,1,structural,True,positional-in-a-distinct-name,keep (curator confirm display)
barraging near double down,archnemesis,1,structural,True,positional-in-a-distinct-name,keep (curator confirm display)
barraging whirl,genesis,1,structural,True,decomposition-phrase,keep (curator confirm display)
barroque,barraging_osis,1,common,True,synonym,keep
big applesauce,spinning_miraging_symposium_torque,1,common,True,synonym,keep
big orange,spinning_symposium_flux,1,common,True,synonym,keep
blurr-iest,blurriest,1,common,True,canonical-spelling-variant,keep
