id,wave2_area,add_categories_finding,evidence_count,modern_doctrine_state,recommended_action,priority
AW2-1,flag-count-equals-ADD foundational doctrine,Source establishes flag-count = ADD count as the canonical ADD math,1 (source primary doctrine),"Modern operational notation aligned (each flag = 1 ADD); modern multiplier doctrine layer is pedagogical","document foundational doctrine; no Red question needed (doctrinally settled)",Low (doctrinally confirmed)
AW2-2,Pogo ADD value reconciliation (CRITICAL RESOLUTION CANDIDATE for 4-audit cross-cutting question),"Source explains pogo as +2 (+1 dex from pogo segment + +1 body from symposium element); modern Red pt5 pogo=+0 represents incremental modifier value above operational flag count",4 audits (multiplier + Job + FM + paradoxMoves + footbag-sets +1 this = 5),"Modern: pogo=+0 (Red pt5-locked); BUT modifier-stack math diverges from flag-count math by exactly +2 on pogo compounds","Surface as Red Wave 2 RESOLUTION CANDIDATE: source provides explanation. Pogo=+0 modifier value + operational flag count = source's +2 source-described value. The two doctrines are reconcilable as different counting frames",CRITICAL (5-audit cross-cutting lead candidate for resolution)
AW2-3,Slur concept (NEW),"Source defines slur as 'failed pogo' (+1 ADD; bag not released before dex)",1,Modern: NOT in DB,"Surface as Red Wave 2: should slur be canonicalized or remain pedagogical-only?",Low
AW2-4,Stomping concept (NEW),"Source defines stomping as 'planting both feet at once after set' with worked example",1,Modern: NOT in modifier table,"Surface as Red Wave 2: should stomping be added as a body modifier?",Medium
AW2-5,UNS flag in operational notation,Source defines [UNS] as one of 5 ADD categories with bracketed flag,1,"Modern: operational notation typically uses surface tokens (PINCH DRAGON FRIGIDOSIS) instead of explicit [UNS] flag","Surface as ATAM grammar question: should [UNS] flag be reintroduced or remain absorbed into surface tokens?",Medium
AW2-6,Paradox = body ADD doctrinal clarification,"Source: paradox 'adds a level of difficulty in the body category because of the pivot required'",1,Modern: paradox=+1 body modifier — aligned with source,"document as exact doctrinal alignment (no Red question needed)",Low (doctrinally confirmed)
AW2-7,Down Diver Down trick (NEW canonical candidate),"Source explicitly names trick: 'Down Diver Down = Down Double Down with dive under bag'",1,Modern: NOT in DB,"Surface as Red Wave 2: cross-references Job RP-4 (Double Over Down canonicalization)",Low
AW2-8,5-category ADD taxonomy foundational reference,Source provides the canonical 5-category framework (DELAY DEXTERITY UNUSUAL SURFACE BODY CROSS BODY),1,Modern operational notation aligned,"document as foundational reference doctrine",Low (doctrinally settled)
AW2-9,Ducking vs Diving structural distinction (same-vs-other-side),"Source: Ducking = head goes under THEN trick on OTHER side; Diving = same",1,Modern: both treated as +1/+1 body modifiers without structural distinction,"document structural distinction; possible glossary content",Low
AW2-10,Pogo's 'Clipper set Symposium Mirage' structural framing,"Source: pogo is structurally a 'Clipper set Symposium Mirage done in front of another move'",1,Modern: pogo=+0 modifier with no structural composition documentation,"document as structural historical-precedent for pogo doctrine",Low
